instname,city,state,zip
Pat Goins Beauty School,Monroe,LA,71201
Pat Goins Benton Road Beauty School,Bossier City,LA,71111
Our Lady of the Lake College,Baton Rouge,LA,70808-438
Our Lady of Holy Cross College,New Orleans,LA,70131-739
Northwestern State University of Louisiana,Natchitoches,LA,71497-000
Notre Dame Seminary Graduate School of Theology,New Orleans,LA,70118-439
University of Louisiana at Monroe,Monroe,LA,71209
University of Louisiana Monroe,Monroe,LA,71209-0000
University of Louisiana-Monroe,Monroe,LA,71209-0000
Nicholls State University,Thibodaux,LA,70310
New Orleans Baptist Theological Seminary,New Orleans,LA,70126
University of New Orleans,New Orleans,LA,70148
McNeese State University,Lake Charles,LA,70609-221
Loyola University New Orleans,New Orleans,LA,70118-614
Loyola University-New Orleans,New Orleans,LA,70118-6143
Louisiana Tech University,Ruston,LA,71272
Louisiana State University-System Office,Baton Rouge,LA,70808-460
Opelousas School of Cosmetology Inc,Opelousas,LA,70570
LOUISIANA REALTORS INSTITUTE,BATON ROUGE,LA,70898
Louisiana College,Pineville,LA,71359
Louisiana Academy of Beauty,Eunice,LA,70535
Louisiana State University-Shreveport,Shreveport,LA,71115-239
Louisiana State University-Eunice,Eunice,LA,70535
Louisiana State University Eunice,Eunice,LA,70535
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,70803-275
Louisiana State University at Alexandria,Alexandria,LA,71302-912
Louisiana State University-Alexandria,Alexandria,LA,71302-9121
Louisina State University Health Sciences Center at New Orleans,New Orleans,LA,70112-222
Louisiana State University Health Sciences Center at New Orleans,New Orleans,LA,70112-2223
Louisiana State University Health Sciences Center-New Orleans,New Orleans,LA,70112-2223
KATIES SCHOOL OF BEAUTY CULTURE,NEW ORLEANS,LA,70113
John Jay Charm and Beauty College,New Orleans,LA,70124
ITI Technical College,Baton Rouge,LA,70817
Guy's Shreveport Academy of Cosmetology Inc,Shreveport,LA,71105
Grambling State University,Grambling,LA,71245
Franklin College,New Orleans,LA,70123
DONALDSON REAL ESTATE SCHOOL,METAIRIE,LA,70011
Dillard University,New Orleans,LA,70122
Denham Springs Beauty School,Denham Springs,LA,70726
Demmons School of Beauty,Lake Charles,LA,70601
Delta School of Business and Technology,Lake Charles,LA,70601
Delgado Community College,New Orleans,LA,70119
D-Jays School of Beauty Arts and Sciences,Baton Rouge,LA,70806
Crescent City Bartending School,New Orleans,LA,70119
Cloyds Beauty School 1 Inc,West Monroe,LA,71291
Centenary College of Louisiana,Shreveport,LA,71134-118
Cameron College,New Orleans,LA,70119
Bossier Parish Community College,Bossier City,LA,71111-692
BOB BROOKS SCHOOL OF REAL ESTATE AND INSURANCE INC,BATON ROUGE,LA,70817
Baton Rouge School of Computers,Baton Rouge,LA,70816-818
Baton Rouge General Medical Center-Radiologic Technology,Baton Rouge,LA,70806
Baton Rouge General Medical Center School of Nursing,Baton Rouge,LA,70806
Baton Rouge General Medical Center-School of Nursing,Baton Rouge,LA,70806
Bastrop Beauty School Inc,Bastrop,LA,71220
LOUISIANA BAPTIST UNIVERSITY,SHREVEPORT,LA,71108
Ayers Institute Inc,Shreveport,LA,71105
Ayers Career College,Shreveport,LA,71118
American School of Business,Shreveport,LA,71105-564
AMERICAN CHRISTIAN SCHOOLS OF RELIGION,MONROE,LA,71201
Alexandria Academy of Beauty Culture,Alexandria,LA,71301-573
Western Kentucky University,Bowling Green,KY,42101-100
VOGUE OF LEXINGTON MODEL AND TALENT,LEXINGTON,KY,40505
TRI-STATE BEAUTY ACADEMY INC,MOREHEAD,KY,40351-150
TRI-CITY BARBER COLLEGE,LOUISVILLE,KY,40217
Transylvania University,Lexington,KY,40508-179
Thomas More College,Crestview Hills,KY,41017-349
Sullivan University,Louisville,KY,40205-301
STATE BEAUTY SCHOOL,CAMPBELLSVILLE,KY,42718
Spencerian College,Louisville,KY,40216
Spalding University,Louisville,KY,40203-218
The Southern Baptist Theological Seminary,Louisville,KY,40280-000
SOMERSET BEAUTY COLLEGE,SOMERSET,KY,42501
Brown Mackie College-Northern Kentucky,Fort Mitchell,KY,41017
SIMMONS BIBLE COLLEGE,LOUISVILLE,KY,40210
The Hair Design School-Florence,Florence,KY,41042
Empire Beauty School-Florence,Florence,KY,41042
The Hair Design School-Dixie,Louisville,KY,40216
Empire Beauty School-Dixie,Louisville,KY,40216
The Hair Design School-Elizabethtown,Elizabethtown,KY,42701
Empire Beauty School-Elizabethtown,Elizabethtown,KY,42701
Saint Catharine College,Saint Catharine,KY,40061
The Hair Design School-Chenoweth,Louisville,KY,40207
Empire Beauty School-Chenoweth,Louisville,KY,40207
Brown Mackie College-Louisville,Louisville,KY,40213-326
PORTLAND CHRISTIAN SCHOOL OF BIBLICAL STUDIES,LOUISVILLE,KY,40212
Pikeville College,Pikeville,KY,41501
University of Pikeville,Pikeville,KY,41501
Pat Wilsons Beauty College,Henderson,KY,42420
PADUCAH BEAUTY SCHOOL,PADUCAH,KY,42001
Daymar College-Owensboro Campus,Owensboro,KY,42301
Daymar College-Owensboro,Owensboro,KY,42301
Nutek Academy of Beauty Inc,Mount Sterling,KY,40353
Northern Kentucky University,Highland Heights,KY,41099
NEW IMAGE CAREERS INC,CORBIN,KY,40701
Murray State University,Murray,KY,42071-331
Mr Jim's College of Cosmetology,Owensboro,KY,42301
Morehead State University,Morehead,KY,40351
Midway College,Midway,KY,40347-112
Mid-Continent University,Mayfield,KY,42066-900
Louisville Presbyterian Theological Seminary,Louisville,KY,40205-179
University of Louisville,Louisville,KY,40292-000
Louisville Technical Institute,Louisville,KY,40218
Sullivan College of Technology and Design,Louisville,KY,40218
Louisville Bible College,Louisville,KY,40228-247
LOCKMASTERS INCORPORATED,NICHOLASVILLE,KY,40356
Lindsey Wilson College,Columbia,KY,42728-122
Lexington Theological Seminary,Lexington,KY,40508-328
BAILEYS BARBER COLLEGE,LEXINGTON,KY,40504
LEXINGTON BAPTIST COLLEGE,LEXINGTON,KY,40510
Lexington Beauty College,Lexington,KY,40503
Kentucky Christian University,Grayson,KY,41143-119
KINGS DAUGHTERS HOSPITAL-SCHOOL OF XRAY TECHN,ASHLAND,KY,41101
University of Kentucky,Lexington,KY,40506-003
Kentucky Wesleyan College,Owensboro,KY,42302-103
Kentucky State University,Frankfort,KY,40601
Kentucky Mountain Bible College,Vancleve,KY,41385-001
National College of Business and Technology-Lexington,Lexington,KY,40508
National College-Lexington,Lexington,KY,40509
KENTUCKY COLLEGE OF BARBERING AND HAIRSTYLING,LOUISVILLE,KY,40203
Kaufman Beauty School,Lexington,KY,40502
The Salon Professional Academy-Lexington,Lexington,KY,40502-1776
Paducah Technical College,Paducah,KY,42001-825
Daymar College-Paducah Main,Paducah,KY,42001-8252
Donta School of Beauty Culture,Louisville,KY,40203
Paul Mitchell The School-Louisville,Louisville,KY,40203
HEADS BEAUTY COLLEGE OF HOPKINSVILLE,HOPKINSVILLE,KY,42240
HEADS BEAUTY COLLEGE OF PROVIDENCE,PROVIDENCE,KY,42450
PJ's College of Cosmetology,Glasgow,KY,42141
PJ's College of Cosmetology-Glasgow,Glasgow,KY,42141
Georgetown College,Georgetown,KY,40324
Frontier School of Midwifery and Family Nursing,Hyden,KY,41749
Frontier Nursing University,Hyden,KY,41749
FAMILY STYLE SCHOOL OF PROFESSIONAL LICENSING,LOUISVILLE,KY,40228
Ezell's Cosmetology School,Murray,KY,42071-253
EASTERN SCHOOL OF HAIR DESIGN,RICHMOND,KY,40475
Eastern Kentucky University,Richmond,KY,40475-310
E-Town Beauty School,Elizabethtown,KY,42701-103
Elizabethtown Beauty School,Elizabethtown,KY,42701-1038
DURHAM BEAUTY SCHOOL,DANVILLE,KY,40422
University of the Cumberlands,Williamsburg,KY,40769
Collins School of Cosmetology,Middlesboro,KY,40965
J M Academy of Cosmetology Inc,Frankfort,KY,40601-371
Paul Mitchell The School-Lexington,Lexington,KY,40514
Clear Creek Baptist Bible College,Pineville,KY,40977-975
Centre College,Danville,KY,40422-139
CENTRAL BEAUTY SCHOOL,GREENVILLE,KY,42345
Campbellsville University,Campbellsville,KY,42718-279
Brescia University,Owensboro,KY,42301-302
Berea College,Berea,KY,40404-218
Bellarmine University,Louisville,KY,40205-067
Barrett and Company School of Hair Design,Nicholasville,KY,40356-215
Asbury College,Wilmore,KY,40390-119
Asbury University,Wilmore,KY,40390-1198
Alice Lloyd College,Pippa Passes,KY,41844
EDUCATIONAL TRAINING SYSTEMS INC,LOUISVILLE,KY,40222
Wichita Technical Institute,Wichita,KS,67213-192
Wichita State University,Wichita,KS,67260-012
Wichita Area Technical College,Wichita,KS,67211-209
Washburn University,Topeka,KS,66621-000
UNITED STATES ARMY COMMAND AND GENERAL STAFF COLL,FT LEAVENWORTH,KS,660271352
TOPEKA TECHNICAL COLLEGE,TOPEKA,KS,66618
TOPEKA INSTITUTE OF REAL ESTATE,TOPEKA,KS,666142399
Tabor College,Hillsboro,KS,67063-179
Sidneys Hair Dressing College,Hutchinson,KS,67501
Seward County Community College,Liberal,KS,67901
Seward County Community College and Area Technical School,Liberal,KS,67901
Salina Area Technical School,Salina,KS,67401
Salina Area Technical College,Salina,KS,67401
University of Saint Mary,Leavenworth,KS,66048-508
REAL ESTATE SCHOOL OF LAWRENCE,LAWRENCE,KS,66046
Pratt Community College,Pratt,KS,67124
Pittsburg State University,Pittsburg,KS,66762
Northwest Kansas Technical College,Goodland,KS,67735
Northeast Kansas Technical College,Atchison,KS,66002
Northeast Kansas Technical Center,Atchison,KS,66002
North Central Kansas Technical College,Beloit,KS,67420
NORRIS TRAINING SYSTEMS,WICHITA,KS,67208
Neosho County Community College,Chanute,KS,66720
MODELS & IMAGES,WICHITA,KS,67206
MidAmerica Nazarene University,Olathe,KS,66062-189
McPherson College,McPherson,KS,67460-140
Manhattan Christian College,Manhattan,KS,66502-480
Manhattan Area Technical College,Manhattan,KS,66503-249
Southwest Kansas Technical School,Liberal,KS,67901-159
LAND INSTITUTE,SALINA,KS,67401
Labette Community College,Parsons,KS,67357-420
LaBaron Hairdressing Academy,Overland Park,KS,66204
Kaw Area Technical School,Topeka,KS,66604
Washburn Institute of Technology,Topeka,KS,66604-2117
KANSAS SCHOOL OF FLORAL DESIGN,LAWRENCE,KS,660441783
Old Town Barber and Beauty College,Wichita,KS,67211-160
Old Town Barber College,Wichita,KS,67211-1605
Newman University,Wichita,KS,67213-209
University of Kansas Medical Center,Kansas City,KS,66160-000
University of Kansas Main Campus,Lawrence,KS,66045
University of Kansas,Lawrence,KS,66045
KANSAS CITY COLLEGE AND BIBLE SCHOOL,OVERLAND PARK,KS,66204
Kansas City Kansas Community College,Kansas City,KS,66112
Concorde Career Colleges,Kansas City,MO,64111
KANSAS CITY AVIATION CENTER INC,OLATHE,KS,66051
Kansas City Ks Area Technical School,Kansas City,KS,66104-282
Kansas City Kansas Community College Technical Education Center,Kansas City,KS,66104-2821
Johnson County Community College,Overland Park,KS,66210-129
Independence Community College,Independence,KS,67301-070
Hutchinson Community College,Hutchinson,KS,67501
Highland Community College,Highland,KS,66035-416
Hesston College,Hesston,KS,67062-209
Hays Academy of Hair Design,Hays,KS,67601
Haskell Indian Nations University,Lawrence,KS,66046-480
LAWRENCE BEAUTY ACADEMY,LAWRENCE,KS,66046
Garden City Community College,Garden City,KS,67846-633
Fort Scott Community College,Fort Scott,KS,66701-314
Friends University,Wichita,KS,67213
Barclay College,Haviland,KS,67059-028
Fort Hays State University,Hays,KS,67601-409
Flint Hills Technical College,Emporia,KS,66801
Emporia State University,Emporia,KS,66801-508
Donnelly College,Kansas City,KS,66102
Dodge City Community College,Dodge City,KS,67801-239
Crums Beauty College,Manhattan,KS,66502-608
B Street Design School of International Hair Styling,Manhattan,KS,66502-6082
B Street Design School of International Hair Styling-Manhattan,Manhattan,KS,66502-6082
Cowley County Community College,Arkansas City,KS,67005
Colby Community College,Colby,KS,67701
Cloud County Community College,Concordia,KS,66901-100
Central Christian College of Kansas,McPherson,KS,67460-574
CAREER EDUCATION SYSTEM,KANSAS CITY,MO,64114
Cutting Edge Hairstyling Academy,Kansas City,KS,66102
Butler Community College,El Dorado,KS,67042-3280
Brown Mackie College-Salina,Salina,KS,67401-730
Brown Mackie College-Kansas City,Lenexa,KS,66215
Bethel College-North Newton,North Newton,KS,67117-8061
BETHANY MEDICAL CENTER SCHOOL OF RADIOLOGIC TECHN,KANSAS CITY,KS,66102
Benedictine College,Atchison,KS,66002-149
Barton County Community College,Great Bend,KS,67530
APOSTOLIC FAITH BIBLE COLLEGE,BAXTER SPRINGS,KS,66713
American Institute of Baking,Manhattan,KS,66502
AIB International,Manhattan,KS,66502
Allen County Community College,Iola,KS,66749
William Penn University,Oskaloosa,IA,52577
Western Iowa Tech Community College,Sioux City,IA,51102-519
Wartburg Theological Seminary,Dubuque,IA,52003-779
Wartburg College,Waverly,IA,50677-090
Waldorf College,Forest City,IA,50436-171
Vennard College,University Park,IA,52595-002
Upper Iowa University,Fayette,IA,52142-185
Dayton School of Hair Design,Keokuk,IA,52632
Iowa School of Beauty,Sioux City,IA,51106
Iowa School of Beauty-Sioux City,Sioux City,IA,51106
Capri College,Davenport,IA,52807-262
Capri College-Davenport,Davenport,IA,52807-3003
Saint Lukes Hospital Medical Technology Program,Cedar Rapids,IA,52402
MERCY MEDICAL CENTER-NORTH IOWA SCHOOL OF RAD TECH,MASON CITY,IA,50401
Simpson College,Indianola,IA,50125
La James International College,Iowa City,IA,52245
La James International College-Iowa City,Iowa City,IA,52245
La James International College-Davenport,Davenport,IA,52806
COVENANT MEDICAL CENTER SCHOOL OF RADIOLOGIC TECHN,WATERLOO,IA,50702
St Luke's College,Sioux City,IA,51104-026
Saint Ambrose University,Davenport,IA,52803-289
IOWA REAL ESTATE SCHOOL OF CEDAR RAPIDS,MARION,IA,52302
Palmer College of Chiropractic,Davenport,IA,52803-528
Palmer College of Chiropractic-Davenport,Davenport,IA,52803-5287
Iowa School of Beauty-Ottumwa,Ottumwa,IA,52501
Des Moines University-Osteopathic Medical Center,Des Moines,IA,50312
NORTHWEST IOWA SCHOOL OF TAXIDERMY,SPIRIT LAKE,IA,51360
Northwest Iowa Community College,Sheldon,IA,51201
University of Northern Iowa,Cedar Falls,IA,50614
North Iowa Area Community College,Mason City,IA,50401
Ashford University,Clinton,IA,52733-296
Mount Mercy College,Cedar Rapids,IA,52402-479
Mount Mercy University,Cedar Rapids,IA,52402-4797
Morningside College,Sioux City,IA,51106-175
Mercy College of Health Sciences,Des Moines,IA,50309-123
MARYCREST INTERNATIONAL UNIVERSITY,DAVENPORT,IA,52804-4096
Marshalltown Community College,Marshalltown,IA,50158
MERCY MEDICAL CENTER SCHOOL OF MEDICAL TECHNOLOGY,SIOUX CITY,IA,51101
Maharishi University of Management,Fairfield,IA,52557
Luther College,Decorah,IA,52101-104
Loras College,Dubuque,IA,52004-017
LE MARS BEAUTY COLLEGE,LE MARS,IA,51031
LARRY SLAUGHTERS UNIVERSITY AUTOMOTIVE TECH,DES MOINES,IA,50317
La James International College-Ft Dodge,Fort Dodge,IA,50501
La James College of Hairstyling and Cosmetology,Mason City,IA,50401-330
La James International College-Johnston,Johnston,IA,50131
La James International College-Cedar Falls,Cedar Falls,IA,50613
Kirkwood Community College,Cedar Rapids,IA,52406-206
KEY REAL ESTATE SCHOOL,COUNCIL BLUFFS,IA,51503
JENNIE EDMUNDSON MEMORIAL HOSPITAL-SCH OF RAD TECH,COUNCIL BLUFFS,IA,51503
University of Iowa,Iowa City,IA,52242-131
Iowa Wesleyan College,Mount Pleasant,IA,52641
Iowa State University,Ames,IA,50011
Iowa School of Beauty-Des Moines,Des Moines,IA,50322-3203
American College of Hairstyling-Des Moines,Des Moines,IA,50309
IOWA REAL ESTATE SEMINAR,WATERLOO,IA,50702
IOWA REAL ESTATE SCHOOL,WEST DES MOINES,IA,50266
Iowa Health-Des Moines School of Radiologic Technology,Des Moines,IA,50309-145
Iowa Lakes Community College,Estherville,IA,51334
Hawkeye Community College,Waterloo,IA,50701
Hamilton Technical College,Davenport,IA,52807
Grinnell College,Grinnell,IA,50112-169
Grand View College,Des Moines,IA,50316
Grand View University,Des Moines,IA,50316
Faust Institute of Cosmetology-Storm Lake,Storm Lake,IA,50588
Faith Baptist Bible College and Theological Seminary,Ankeny,IA,50023-215
Eastern Iowa Community College District,Davenport,IA,52801-122
Emmaus Bible College,Dubuque,IA,52001-309
Ellsworth Community College,Iowa Falls,IA,50126
DWYER AIRCRAFT SALES,MASON CITY,IA,50401
University of Dubuque,Dubuque,IA,52001
Drake University,Des Moines,IA,50311-450
Dordt College,Sioux Center,IA,51250-169
Divine Word College,Epworth,IA,52045
Des Moines Area Community College,Ankeny,IA,50021-399
DENISON AVIATION INC,DENISON,IA,51442
Iowa School of Beauty-Marshalltown,Marshalltown,IA,50158
Cornell College,Mount Vernon,IA,52314-109
Coe College,Cedar Rapids,IA,52402-509
Clarke College,Dubuque,IA,52001-319
Clarke University,Dubuque,IA,52001-3198
Central College,Pella,IA,50219
American College of Hairstyling-Cedar Rapids,Cedar Rapids,IA,52402
Capri College-Cedar Rapids,Cedar Rapids,IA,52404
Capri College-Dubuque,Dubuque,IA,52004-0873
Daytons School of Hair Design,Burlington,IA,52601
Briar Cliff University,Sioux City,IA,51104
AIB College of Business,Des Moines,IA,50321-179
Allen College,Waterloo,IA,50703-199
INDIANA CHRISTIAN UNIVERSITY,SOUTH BEND,IN,46614
Wabash College,Crawfordsville,IN,47933-035
VOGUE SCHOOL OF BEAUTY CULTURE,MISHAWAKA,IN,46544
Vincennes Beauty College,Vincennes,IN,47591
Valparaiso University,Valparaiso,IN,46383
Taylor University-Upland,Upland,IN,46989-100
Taylor University,Upland,IN,46989-1001
FORT WAYNE SCHOOL OF RADIOGRAPHY,FT WAYNE,IN,46802
Saint Elizabeth School of Nursing,Lafayette,IN,47904-219
Saint Meinrad School of Theology,Saint Meinrad,IN,47577
Saint Meinrad Seminary and School of Theology,Saint Meinrad,IN,47577
Sawyer College-Merrillville,Merrillville,IN,46410
Kaplan College-Merrillville,Merrillville,IN,46410
Sawyer College-Hammond,Hammond,IN,46324
Kaplan College-Hammond,Hammond,IN,46324
Saint Mary's College,Notre Dame,IN,46556
Saint Mary-of-the-Woods College,Saint Mary-Of-The-Wo,IN,47876-109
ST FRANCIS HOSPITAL AND HEALTH CENTERS,BEECH GROVE,IN,46107
University of Saint Francis-Ft Wayne,Fort Wayne,IN,46808-399
University of Saint Francis-Fort Wayne,Fort Wayne,IN,46808-3994
Rose-Hulman Institute of Technology,Terre Haute,IN,47803-399
Rogers Academy of Hair Design,Evansville,IN,47712
REID HOSPITAL & HLTH CARE SERVICE SCH OF RAD TECHN,RICHMOND,IN,47374
Ravenscroft Beauty College,Fort Wayne,IN,46815
Purdue University-North Central Campus,Westville,IN,46391-954
Purdue University-Calumet Campus,Hammond,IN,46323-209
PORTER MEMORIAL HOSPITAL SCHOOL OF RADIOGRAPHY,VALPARAISO,IN,46383
PJ's College of Cosmetology-Richmond,Richmond,IN,47374
Oakland City University,Oakland City,IN,47660-109
University of Notre Dame,Notre Dame,IN,46556
West Michigan College of Barbering and Beauty,Kalamazoo,MI,49001-370
West Michigan College of Barbering and Beauty LLC,Kalamazoo,MI,49008
Mid-America College of Funeral Service,Jeffersonville,IN,47130
MICHIGAN CITY BEAUTY COLLEGE,MICHIGAN CITY,IN,46360
Brown Mackie College-South Bend,South Bend,IN,46617
MICHAELS ACADEMY,GREENFIELD,IN,461402426
Merrillville Beauty College,Merrillville,IN,46410
Associated Mennonite Biblical Seminary,Elkhart,IN,46517-199
"Anabaptist Mennonite Biblical Seminary, Inc.",Elkhart,IN,46517-1999
Masters of Cosmetology College,Fort Wayne,IN,46809-130
Martin University,Indianapolis,IN,46218-056
Indiana Wesleyan University,Marion,IN,46953-497
CHT ACADEMY,MARION,IN,469523255
Marian College,Indianapolis,IN,46222-199
Manchester College,North Manchester,IN,46962
LOVELLS BARBER COLLEGE,GARY,IN,46407
LONG SCHOOL OF HAIR DESIGN,TERRE HAUTE,IN,47807
A Cut Above Beauty College,Indianapolis,IN,46237-324
Empire Beauty School-Indianapolis,Indianapolis,IN,46237-3249
Lafayette Beauty Academy,Lafayette,IN,47901-114
Knox Beauty College,Knox,IN,46534
JASPER BEAUTY COLLEGE,JASPER,IN,475461326
J Everett Light Career Center,Indianapolis,IN,46240
ITT Technical Institute-Indianapolis,Indianapolis,IN,46268-1119
ITT Technical Institute-Fort Wayne,Fort Wayne,IN,46825
ITT Technical Institute-Nashville,Nashville,TN,37214-3717
ITT Educational Services Inc System Office,Carmel,IN,46032-140
International Business College-Indianapolis,Indianapolis,IN,46256
International Business College,Fort Wayne,IN,46804-714
Indiana University-East,Richmond,IN,47374
Indiana University-Southeast,New Albany,IN,47150
Indiana University-Northwest,Gary,IN,46408
Indiana University-Bloomington,Bloomington,IN,47405-700
Indiana University-South Bend,South Bend,IN,46634-711
Indiana University-Kokomo,Kokomo,IN,46904-900
Indiana State University,Terre Haute,IN,47809
University of Southern Indiana,Evansville,IN,47712
Indiana Institute of Technology,Fort Wayne,IN,46803-122
INDIANA COLLEGE OF COMMERCE,HAMMOND,IN,463232226
University of Indianapolis,Indianapolis,IN,46227-369
Indiana Business College-Lafayette,Lafayette,IN,47905
Harrison College-Lafayette,Lafayette,IN,47905
Indiana Business College-Terre Haute,Terre Haute,IN,47802
Harrison College-Terre Haute,Terre Haute,IN,47803
INDIANA BUSINESS COLLEGE,VINCENNES,IN,47591
Indiana Business College-Muncie,Muncie,IN,47303
Harrison College-Muncie,Muncie,IN,47303
Indiana Business College-Columbus,Columbus,IN,47203-184
Harrison College-Columbus,Columbus,IN,47203-1843
Indiana Business College-Marion,Marion,IN,46952-233
Harrison College-Marion,Marion,IN,46952-2338
Indiana Business College-Indianapolis,Indianapolis,IN,46204
Harrison College-Indianapolis,Indianapolis,IN,46204-2611
Indiana Business College-Anderson,Anderson,IN,46013
Harrison College-Anderson,Anderson,IN,46013
INDIANA BIBLE COLLEGE,INDIANAPOLIS,IN,46227
INDIANA BARBER COLLEGE,INDIANAPOLIS,IN,462190736
HERITAGE BAPTIST UNIVERSITY,GREENWOOD,IN,46142
Indiana University-Purdue University-Indianapolis,Indianapolis,IN,46202-289
Indiana University-Purdue University-Fort Wayne,Fort Wayne,IN,46805-149
HYLES-ANDERSON COLLEGE,CROWN POINT,IN,46307
Huntington University,Huntington,IN,46750
HUNTINGTON BEAUTY COLLEGE,HUNTINGTON,IN,46750
INDIANA COSMETOLOGY ACADEMY,BLOOMINGTON,IN,47404
HAIR FORCE ACADEMY,SEYMOUR,IN,47274
PJ's College of Cosmetology-Clarksville,Clarksville,IN,47129
Holy Cross College,Notre Dame,IN,46556-030
J Michael Harrold Beauty Academy,Terre Haute,IN,47807
Hanover College,Hanover,IN,47243-010
HAIR FASHIONS BY KAYE BEAUTY COLLEGE,INDIANAPOLIS,IN,46250-1529
Hair Fashions By Kaye Beauty College-Indianapolis,Indianapolis,IN,46250
Hair Fashions By Kaye Beauty College-Noblesville,Noblesville,IN,46060-0000
Grace College and Theological Seminary,Winona Lake,IN,46590
Goshen College,Goshen,IN,46526-479
Good Samaritan Hospital School of Radiologic Technology,Vincennes,IN,47591
FOUR WINDS ACADEMY OF HAIR DESIGN,FT WAYNE,IN,46802
ANTHIS CAREER CENTER,FT WAYNE,IN,46802
Taylor University-Ft Wayne,Fort Wayne,IN,46807-219
Taylor University-Fort Wayne,Fort Wayne,IN,46807-2197
Taylor University Fort Wayne,Fort Wayne,IN,46807-2197
University of Evansville,Evansville,IN,47722
Evansville Tri-State Beauty College,Evansville,IN,47715-323
ELKHART BEAUTY COLLEGE,ELKHART,IN,46514
Earlham College,Richmond,IN,47374-409
Don Roberts Beauty School,Valparaiso,IN,46385
Don Roberts School of Hair Design,Schererville,IN,46375
DePauw University,Greencastle,IN,46135-177
Creative Hair Styling Academy Inc,Highland,IN,46322
Concordia Theological Seminary,Fort Wayne,IN,46825-499
College of Court Reporting Inc,Hobart,IN,46342
Christian Theological Seminary,Indianapolis,IN,46208-330
Calumet College of Saint Joseph,Whiting,IN,46394
Butler University,Indianapolis,IN,46208
Bethel College-Mishawaka,Mishawaka,IN,46545-5591
Ball State University,Muncie,IN,47306
Ball Memorial Hospital School of Radiologic Technology,Muncie,IN,47303
Apex Academy of Hair Design Inc,Anderson,IN,46016-115
EBBERTT EDUCATION CENTER,ANDERSON,IN,46013
Ancilla College,Donaldson,IN,46513-000
AMBERS BEAUTY SCHOOL WEST,MUNCIE,IN,47303
ZITTEL SCHOOL OF REAL ESTATE,HARWOOD HEIGHTS,IL,60706
William Rainey Harper College,Palatine,IL,60067-739
Harper College,Palatine,IL,60067-7398
PPA INTERNATIONAL SCHOOL OF PROF PHOTOGRAPHY,ATLANTA,GA,30303
Western Illinois University,Macomb,IL,61455
West Suburban College of Nursing,Oak Park,IL,60302-251
Resurrection University,Oak Park,IL,60302-2519
Waubonsee Community College,Sugar Grove,IL,60554-090
WASHBURNE TRADE SCHOOL KENNEDY KING CAMPUS,CHICAGO,IL,60623
Vandercook College of Music,Chicago,IL,60616-373
VIP SCHOOLS INC,CHICAGO,IL,606113044
UNITED STATES DENTAL INSTITUTE,NORTHBROOK,IL,60062
UNION SPECIAL CORPORATION TECHNICAL TRAINING CTR,HUNTLEY,IL,60142
University of Spa & Cosmetology Arts,Springfield,IL,62704
Triton College,River Grove,IL,60171-199
Trinity International University-Illinois,Deerfield,IL,60015-1283
Trinity Christian College,Palos Heights,IL,60463-092
Tri-County Beauty Academy,Litchfield,IL,62056
South Suburban College,South Holland,IL,60473-120
Telshe Yeshiva-Chicago,Chicago,IL,60625
SWEDISH AMERICAN HOSPITAL SCHOOL OF RADIOGRAPHY,ROCKFORD,IL,611042298
Southern Illinois University-Systems Office,Carbondale,IL,62901-680
Southern Illinois University Edwardsville,Edwardsville,IL,62026-100
Southern Illinois University Carbondale,Carbondale,IL,62901-451
Saint Anthony College of Nursing,Rockford,IL,61108-246
Springfield College in Illinois,Springfield,IL,62702
SPRINGFIELD SCHOOL OF COURT REPORTING,SPRINGFIELD,IL,627078058
Spoon River College,Canton,IL,61520-980
Spertus College,Chicago,IL,60605
Sparks College,Shelbyville,IL,62565
Spanish Coalition for Jobs Inc,Chicago,IL,60609-220
National Latino Education Institute,Chicago,IL,60609-2205
Southeastern Illinois College,Harrisburg,IL,62946
Advocate Trinity Hospital School of Radiologic Technology,Chicago,IL,60617-998
University of Saint Mary of the Lake,Mundelein,IL,60060-117
Saint Augustine College,Chicago,IL,60640-359
SIEBEL INSTITUTE OF TECHNOLOGY,CHICAGO,IL,60646
Shimer College,Waukegan,IL,60079
Shawnee Community College,Ullin,IL,62992
Seabury-Western Theological Seminary,Evanston,IL,60201
Sauk Valley Community College,Dixon,IL,61021
Saint Xavier University,Chicago,IL,60655
St Johns College,Springfield,IL,62702-538
University of St Francis,Joliet,IL,60435-618
Saint Francis Medical Center College of Nursing,Peoria,IL,61603-378
Saint Francis Hospital School of Radiologic Technology,Evanston,IL,60202
Rush University,Chicago,IL,60612
Dominican University,River Forest,IL,60305
Roosevelt University,Chicago,IL,60605-139
NATIONAL ACADEMY OF REAL ESTATE,SPRINGFIELD,IL,627024679
ROCKFORD MEMORIAL HOSP SCHOOL OF RADIOGRAPHY,ROCKFORD,IL,61103
Rockford College,Rockford,IL,61108-239
Rockford Business College,Rockford,IL,61103
Rockford Career College,Rockford,IL,61108
Rock Valley College,Rockford,IL,61114-569
Richland Community College,Decatur,IL,62521-851
REAL ESTATE EDUCATION CO,CHICAGO,IL,60610
Rend Lake College,Ina,IL,62846
REAL ESTATE INSTITUTE OF AMERICA,CALUMET CITY,IL,60409
ADVOCATE KUTSCH COLLEGE OF NURSING,CHICAGO,IL,60634-1591
