player,team,conference
Lee Walker,Colorado,Pac-12
Brant Mitchell,Georgia Tech,ACC
Austin Guido,Western Michigan,Mid-American
Brent Stockstill,Middle Tennessee,Conference USA
Colton Jackson,Arkansas,SEC
Jesse Jackson,Mississippi State,SEC
Jake Rothschiller,New Mexico,Mountain West
Isaiah Johnson,Rutgers,Big Ten
Matthew Sims,Texas,Big 12
Jalen Nixon,Louisiana,Sun Belt
Jeremy Clark,Michigan,Big Ten
Elijah St. Hilaire,Army,FBS Independents
Troy Warner,BYU,FBS Independents
Luc Bequette,California,Pac-12
Ben Holt,Western Kentucky,Conference USA
Jacorey Warrick,Texas,Big 12
Tifonte Hunt,Northern Illinois,Mid-American
Keelan Ewaliko,Hawai'i,Mountain West
Jah'Shawn Johnson,Texas Tech,Big 12
Justin Holman,UCF,American Athletic
Henri Murphy,Virginia Tech,ACC
Michael Shelton,BYU,FBS Independents
" Team",Ole Miss,SEC
Bo Bower,Iowa,Big Ten
Tyrone Riley,NC State,ACC
Ikaika Woolsey,Hawai'i,Mountain West
Thadd Smith,Boston College,ACC
Merrill Taliauli,BYU,FBS Independents
Da'Ron Payne,Alabama,SEC
Cole Christiansen,Army,FBS Independents
Jonathan Barnes,Louisiana Tech,Conference USA
Andrews Dadeboe,Buffalo,Mid-American
Sean Daniel,Virginia Tech,ACC
Lumi Kaba,Texas State,Sun Belt
Titus Failauga,Oregon State,Pac-12
Matt Guidry,UT San Antonio,Conference USA
Jeremy Timpf,Army,FBS Independents
Mike Tyson,Cincinnati,American Athletic
Kanawai Noa,California,Pac-12
Jawuan Johnson,Northern Illinois,Mid-American
Marcus Rios,UCLA,Pac-12
Anthony Young,Akron,Mid-American
Kareem Hunt,Toledo,Mid-American
Deshon Mayes,Colorado State,Mountain West
Alex Highsmith,Charlotte,Conference USA
Michael Walker,Boston College,ACC
Chris Tilbey,USC,Pac-12
Isaac Yiadom,Boston College,ACC
Niko Small,TCU,Big 12
Wayne Gallman,Clemson,ACC
Will Matthews,Kent State,Mid-American
John Trainor,Army,FBS Independents
- Team,Ole Miss,SEC
Matthew Godin,Michigan,Big Ten
Mike McCray,Michigan,Big Ten
Algernon Brown,BYU,FBS Independents
Tommy Sweeney,Boston College,ACC
Cameron Walker,California,Pac-12
Antonneous Clayton,Florida,SEC
Dawson Fletcher,Indiana,Big Ten
Andrew Kenney,New Mexico State,Sun Belt
Armunz Mathews,South Florida,American Athletic
Kalen Ballage,Arizona State,Pac-12
Zach Reuter,Kansas State,Big 12
Christian Brown,West Virginia,Big 12
Langston Newton,Purdue,Big Ten
Quintez Cephus,Wisconsin,Big Ten
Okon Godwin,Appalachian State,Sun Belt
Rick Wade,UCLA,Pac-12
Kyle Kramer,Miami (OH),Mid-American
Keon Hatcher,Arkansas,SEC
Tyler Bell,Wake Forest,ACC
Kyle Ritz,Akron,Mid-American
Marshall Wadleigh,Tulane,American Athletic
Jonathan Hodoh,Louisiana Monroe,Sun Belt
Derrick Willies,Texas Tech,Big 12
Ului Lapuaho,BYU,FBS Independents
Brycen Hopkins,Purdue,Big Ten
Drew Van Maanen,Wyoming,Mountain West
R.J. Shelton,Michigan State,Big Ten
" Team",Texas,Big 12
Marquill Osborne,Tennessee,SEC
Kaden Keon,Central Michigan,Mid-American
Logan Laurent,UMass,FBS Independents
Austin Heder,BYU,FBS Independents
Zach Smith,USC,Pac-12
Gerald Everett,South Alabama,Sun Belt
Chad Woolsey,San Diego State,Mountain West
Olamide Zaccheaus,Virginia,ACC
Chico McClatcher,Washington,Pac-12
Niles Clark,NC State,ACC
Andrew Stelter,Minnesota,Big Ten
Benny Snell Jr.,Kentucky,SEC
Dre'Mont Jones,Ohio State,Big Ten
Jake Oldroyd,BYU,FBS Independents
Penny Hart,Georgia State,Sun Belt
Trey Edmunds,Maryland,Big Ten
Dacoven Bailey,Rutgers,Big Ten
Janarion Grant,Rutgers,Big Ten
Wilton Speight,Michigan,Big Ten
Austin Cantrell,Arkansas,SEC
Donovan Wilson,Texas A&M,SEC
Jonathan Ward,Central Michigan,Mid-American
Billy Bahl,Miami (OH),Mid-American
Calvin Munson,San Diego State,Mountain West
Garrett Johnson,Kentucky,SEC
Nick True,Western Kentucky,Conference USA
Devine Ozigbo,Nebraska,Big Ten
Isaiah Oliver,Colorado,Pac-12
Terran Hasselbach,Colorado,Pac-12
Akrum Wadley,Iowa,Big Ten
Cam Stewart,UCF,American Athletic
Dalton Sneed,UNLV,Mountain West
Kiel Robinson,Colorado State,Mountain West
Peter Kalambayi,Stanford,Pac-12
Jaylynn Bailey,Oregon State,Pac-12
Clayton Johnston,USC,Pac-12
Alex Barta,Navy,American Athletic
Anthony Nelson,Iowa,Big Ten
Osaze Ogbebor,Kansas,Big 12
Josh Ehambe,Kansas,Big 12
Eric Popp,Ohio,Mid-American
Gerard Wicks,Washington State,Pac-12
T.J. Taylor,Rutgers,Big Ten
Miles Taylor,Iowa,Big Ten
Darius Harris,Middle Tennessee,Conference USA
Joe Hubener,Kansas State,Big 12
Gavin McDaniel,Washington,Pac-12
Alex Briones,Central Michigan,Mid-American
Demarrio Smith,Southern Mississippi,Conference USA
Dorian Brown,Ohio,Mid-American
Ryan Becker,SMU,American Athletic
Mason Gentry,SMU,American Athletic
Amari Coleman,Central Michigan,Mid-American
Nate Hairston,Temple,American Athletic
Jon Hernandez,South Florida,American Athletic
Kelsey Griffin,South Carolina,SEC
Christian Blake,Northern Illinois,Mid-American
Deldrick Canty,Louisiana Tech,Conference USA
Mark McLaurin,Mississippi State,SEC
Mike Stevens,NC State,ACC
Elliott Fry,South Carolina,SEC
Nate Childress,Toledo,Mid-American
Jamez Brickhouse,Old Dominion,Conference USA
Adly Enoicy,Syracuse,ACC
Nick Harvey,Texas A&M,SEC
Devin Singletary,Florida Atlantic,Conference USA
Caleb Bailey,Western Michigan,Mid-American
Anthony Jones,Florida International,Conference USA
Justin Rankin,Kent State,Mid-American
JaVonte Smith,Middle Tennessee,Conference USA
Dallin Leavitt,Utah State,Mountain West
Justin Clifton,Arkansas State,Sun Belt
Josh Banderas,Nebraska,Big Ten
Martell Pettaway,West Virginia,Big 12
Jason Thompson,Utah,Pac-12
Marquis Zimmerman,Bowling Green,Mid-American
Holton Hill,Texas,Big 12
Kenneth Goins Jr.,Maryland,Big Ten
Sam Connolly,Miami (OH),Mid-American
Alex Grace,Western Michigan,Mid-American
Brad Smith,Toledo,Mid-American
" Team",Louisville,ACC
Alex Grace,Western Michigan,Mid-American
Ryan Rubley,Tulsa,American Athletic
Chibuzo Nwokocha,California,Pac-12
Marcus McMaryion,Oregon State,Pac-12
Byron Cowart,Auburn,SEC
Joe Reed,Virginia,ACC
Cam Hilton,Missouri,SEC
Kingsley Keke,Texas A&M,SEC
Kyle Hoffman,Charlotte,Conference USA
Qendarrion Barnett,Idaho,Sun Belt
Chandler Cox,Auburn,SEC
Pat Toal,Old Dominion,Conference USA
Zach Green,Arizona,Pac-12
Marcus Davis,Auburn,SEC
Trae Philpots,Middle Tennessee,Conference USA
Nick Dowd,Miami (OH),Mid-American
Jack Flor,Air Force,Mountain West
Emilio Nadelman,South Florida,American Athletic
Darius Harris,Middle Tennessee,Conference USA
E.J. Ejiya,North Texas,Conference USA
Kerryon Johnson,Auburn,SEC
Sam Hahn,Nebraska,Big Ten
Corey Willis,Central Michigan,Mid-American
John O'Korn,Michigan,Big Ten
Kevin Olsen,Charlotte,Conference USA
Khalid Hill,Michigan,Big Ten
Robert Washington,Charlotte,Conference USA
Dontre Wilson,Ohio State,Big Ten
Austin Taylor,Florida International,Conference USA
Omaine Stephens,Connecticut,American Athletic
" Team",Oregon,Pac-12
DaQuan Hawkins-Muckle,Georgia,SEC
Jeremy Reaves,South Alabama,Sun Belt
Cethan Carter,Nebraska,Big Ten
J.T. Ibe,Rice,Conference USA
Donte Vaughn,Notre Dame,FBS Independents
Darius Anderson,TCU,Big 12
Myles Bryant,Washington,Pac-12
Ray Price,Kansas State,Big 12
Tanner Gentry,Wyoming,Mountain West
DeShon Elliott,Texas,Big 12
Brenden Schooler,Oregon,Pac-12
Drew Davis,Western Kentucky,Conference USA
Rayshad Jackson,Florida,SEC
Chris Carter,Army,FBS Independents
Terry Beckner Jr.,Missouri,SEC
Richie James,Middle Tennessee,Conference USA
Bo Hardy,Ohio,Mid-American
Montae Nicholson,Michigan State,Big Ten
Mason Rudolph,Oklahoma State,Big 12
Hernz Laguerre,Syracuse,ACC
Jeff Badet,Kentucky,SEC
Brad Tanner,Western Michigan,Mid-American
James Bowe Jr.,UMass,FBS Independents
Madigan Taulelei,Washington State,Pac-12
Glenn Smith,Georgia State,Sun Belt
Isaac Stewart,Louisville,ACC
Quinlan Carroll,Tulane,American Athletic
Chase Alford,Georgia Tech,ACC
Emmanuel Moore,Kansas,Big 12
Brad Kaaya,Miami,ACC
George Vinson,Appalachian State,Sun Belt
Corey Willis,Central Michigan,Mid-American
Stephen Roberts,Auburn,SEC
Jonah Moi,Oregon,Pac-12
Chris Platt,Baylor,Big 12
Ben Holt,Western Kentucky,Conference USA
Cole Holcomb,North Carolina,ACC
KaVontae Turpin,TCU,Big 12
M.J. Stewart,North Carolina,ACC
Ari Werts,Georgia State,Sun Belt
Robert Washington,Charlotte,Conference USA
Trevon Bradford,Oregon State,Pac-12
Jester Weah,Pittsburgh,ACC
Michael Jocz,Michigan,Big Ten
Jeff Carr,Oklahoma State,Big 12
Elroy Masters Jr.,Colorado State,Mountain West
Paul Lucas,Oregon State,Pac-12
Dylan Parsee,UTEP,Conference USA
Jordan Feuerbacher,Baylor,Big 12
Solomon Matautia,Hawai'i,Mountain West
Adonis Alexander,Virginia Tech,ACC
Chad Hendricks,Old Dominion,Conference USA
Hayden Hunt,Colorado State,Mountain West
Tre Jackson,Tulane,American Athletic
" Team",Arkansas State,Sun Belt
Isaiah Bean,Kansas,Big 12
Mylik Mitchell,Kent State,Mid-American
Rayquan Sam,Georgia Southern,Sun Belt
D.J. Killings,UCF,American Athletic
" Team",Troy,Sun Belt
Brandon Silvers,Troy,Sun Belt
Bra'Lon Cherry,NC State,ACC
Aaron Dopson,Marshall,Conference USA
Jordan Williams,East Carolina,American Athletic
Brandon Garner,North Texas,Conference USA
Jordan Glasgow,Michigan,Big Ten
Cody Barton,Utah,Pac-12
Jace Whittaker,Arizona,Pac-12
Daniel Davis,Toledo,Mid-American
Austin Cantrell,Arkansas,SEC
Robert Lewis,Washington State,Pac-12
Kenny Potter,San José State,Mountain West
Kendall Bussey,Texas A&M,SEC
Trey Sneed,Rutgers,Big Ten
Sean Christie,Maryland,Big Ten
Jarred Gipson,Nevada,Mountain West
Jordan Moore,UT San Antonio,Conference USA
Wesley Payne,Oregon State,Pac-12
Derrick Hayward,Maryland,Big Ten
Eli Brown,Kentucky,SEC
Alec Hullibarger,Eastern Michigan,Mid-American
Colin Thompson,Temple,American Athletic
T.J. Rahming,Duke,ACC
Tim White,Arizona State,Pac-12
Zander Diamont,Indiana,Big Ten
Riley Lovingood,Tennessee,SEC
Shahid Bellamy,Central Michigan,Mid-American
Troy Cassidy,San Diego State,Mountain West
Logan Cheadle,Missouri,SEC
Josh Lambert,West Virginia,Big 12
Allenzae Staggers,Southern Mississippi,Conference USA
Marcus Stamps,San Diego State,Mountain West
Praise Martin-Oguike,Temple,American Athletic
Jordan Reid,Ohio,Mid-American
Nazair Jones,North Carolina,ACC
Trey Sneed,Rutgers,Big Ten
Brisly Estime,Syracuse,ACC
DaeSean Hamilton,Penn State,Big Ten
Ty Lee,Middle Tennessee,Conference USA
Charles Williams,UNLV,Mountain West
Jarid Joseph,Nevada,Mountain West
Joe Mixon,Oklahoma,Big 12
" Team",Louisiana,Sun Belt
Anthony Hickey,UT San Antonio,Conference USA
Hyleck Foster,Marshall,Conference USA
Sean Freeman,Georgia Southern,Sun Belt
Gus Edwards,Miami,ACC
Bryce Jenkinson,Cincinnati,American Athletic
Marc Walton,Ball State,Mid-American
Jake Pruehs,Ohio,Mid-American
Tony Nicholson,Baylor,Big 12
Julien Laurent,Georgia State,Sun Belt
Tommy Stevens,Penn State,Big Ten
Ryan Glasgow,Michigan,Big Ten
Mike Molina,West Virginia,Big 12
Andrew Bergner,Colorado,Pac-12
Michael Ojemudia,Iowa,Big Ten
Tanner Reeves,Western Kentucky,Conference USA
Nick Scott,Penn State,Big Ten
John Diarse,TCU,Big 12
Nyqwan Murray,Florida State,ACC
Tanner Thrift,Baylor,Big 12
Juwuan Briscoe,Georgia,SEC
Dorian Walker,Georgia Tech,ACC
Marqez Hodge,Syracuse,ACC
Tre' Hunter,Louisiana Monroe,Sun Belt
Jordan Wyatt,SMU,American Athletic
Sam Cotton,Nebraska,Big Ten
Derrick Neal,Kansas,Big 12
Collin Scott,Louisiana Tech,Conference USA
Torry McTyer,UNLV,Mountain West
Aregeros Turner,Northern Illinois,Mid-American
Trevor Wood,Arizona,Pac-12
D.J. Wonnum,South Carolina,SEC
Ishmael Zamora,Baylor,Big 12
Damion Hobbs,Utah State,Mountain West
Ronnie Hoggins,South Florida,American Athletic
" Team",Maryland,Big Ten
Gabe Loyd,Texas State,Sun Belt
Leverick Johnson,Western Kentucky,Conference USA
James Williams,Washington State,Pac-12
Brett Kean,South Florida,American Athletic
Roy Lopez,New Mexico State,Sun Belt
Trey Turner III,California,Pac-12
Jack Freudenthal,Wake Forest,ACC
" Team",Duke,ACC
T.J. Logan,North Carolina,ACC
Dylan Sumner-Gardner,Boise State,Mountain West
Marvin Kinsey Jr.,Colorado State,Mountain West
Chris Lammons,South Carolina,SEC
Cyril Noland-Lewis,Louisiana Tech,Conference USA
Grant Perry,Michigan,Big Ten
N.J. Falo,Colorado,Pac-12
Hayes Linn,Air Force,Mountain West
Ugochukwu Amadi,Oregon,Pac-12
Blake Banham,Eastern Michigan,Mid-American
Derrick Jones,Ole Miss,SEC
Stantley Thomas-Oliver III,Florida International,Conference USA
Sony Michel,Georgia,SEC
James Sherman,Texas State,Sun Belt
Billy Nipp,New Mexico State,Sun Belt
Marcus Maye,Florida,SEC
Keenan Barnes,Louisiana,Sun Belt
Trent Sherfield,Vanderbilt,SEC
Corn Elder,Miami,ACC
Zach Wright,Rice,Conference USA
Jahray Hayes,Central Michigan,Mid-American
Shun Brown,Arizona,Pac-12
Vontarius West,Florida International,Conference USA
Ashton Lampkin,Oklahoma State,Big 12
Marquis Zimmerman,Bowling Green,Mid-American
Jacob Daniel,USC,Pac-12
Holton Hill,Texas,Big 12
Jared Folks,Temple,American Athletic
Tony Pollard,Memphis,American Athletic
D'Ondre Glenn,Georgia Southern,Sun Belt
Hayden Moore,Cincinnati,American Athletic
Ryan Harris,Navy,American Athletic
Tom Hruby,Northwestern,Big Ten
Brandon Reilly,Nebraska,Big Ten
Fred Russ,Florida International,Conference USA
Tyrian Taylor,New Mexico State,Sun Belt
Leonard Fournette,LSU,SEC
" Team",Utah,Pac-12
Joe Gaziano,Northwestern,Big Ten
Bobby Holly,Louisiana Tech,Conference USA
Cody Conway,Syracuse,ACC
Tarell Basham,Ohio,Mid-American
Josh Harshman,Wyoming,Mountain West
Quinten Pounds,Washington,Pac-12
De'Jon Wilson,Syracuse,ACC
Tyler Stehling,Rice,Conference USA
Dillon Birden,Houston,American Athletic
Gabe Loyd,Texas State,Sun Belt
Jeremi Hall,South Florida,American Athletic
Jonnu Smith,Florida International,Conference USA
Dillon Birden,Houston,American Athletic
Juwan Offray,Louisiana Monroe,Sun Belt
Jordan Wright,Louisiana,Sun Belt
Austin Teague,East Carolina,American Athletic
Patrick Scoggins,Iowa State,Big 12
Paul Swanson,Arkansas State,Sun Belt
Jacoby Wildman,Utah State,Mountain West
Conor Rhoda,Minnesota,Big Ten
Amonte Caban,Louisville,ACC
Travon Simmons,East Carolina,American Athletic
Johnathan Hawkins,Buffalo,Mid-American
Ja'karri Thomas,Vanderbilt,SEC
Vegas Harley,Georgia Southern,Sun Belt
Maurice Fleming,West Virginia,Big 12
Christian Shaver,Colorado,Pac-12
Chris Chugunov,West Virginia,Big 12
Brett Shepherd,Maryland,Big Ten
Chukwudi Chukwu,Ohio,Mid-American
Parris Campbell,Ohio State,Big Ten
Tyler Kluver,Iowa,Big Ten
Stedman Mayberry,Texas State,Sun Belt
Zach Barnes,Texas Tech,Big 12
" Team",Memphis,American Athletic
Khane Pass,Louisville,ACC
Michael Mims,Louisiana Tech,Conference USA
Tyler Rogers,New Mexico State,Sun Belt
Kenny Bynum,Tennessee,SEC
Rashad Smith,Florida Atlantic,Conference USA
Cameron Smith,USC,Pac-12
Mark Hall,Virginia,ACC
Danny Doyle,Duke,ACC
Brandon Shuman,Purdue,Big Ten
Shaun James,East Carolina,American Athletic
" Team",Ohio State,Big Ten
" Team",UMass,FBS Independents
Ryan Lewis,Pittsburgh,ACC
Noor Davis,Stanford,Pac-12
Clayton Glasper,Northern Illinois,Mid-American
Sojourn Shelton,Wisconsin,Big Ten
Tyree Jackson,Buffalo,Mid-American
Blake Gillikin,Penn State,Big Ten
Kayton Samuels,Syracuse,ACC
Nick Van Valkenburg,Fresno State,Mountain West
Malik Henry,Georgia Southern,Sun Belt
Jalen Williams,Pittsburgh,ACC
Abraham Mendivil,Arizona,Pac-12
Sean Avant,Syracuse,ACC
Brandon Williams,Buffalo,Mid-American
Brett Shepherd,Maryland,Big Ten
Zeke Walker,Indiana,Big Ten
Brendan Douglas,Georgia,SEC
Donald Stewart,Stanford,Pac-12
Joseph Melo,San José State,Mountain West
Rawleigh Williams III,Arkansas,SEC
Omar Hicks-Onu,Oregon State,Pac-12
Ben Holt,Western Kentucky,Conference USA
Jimmie Swain,Oregon,Pac-12
Deon Stewart,Arkansas,SEC
Foster Sawyer,TCU,Big 12
Jay Tyler,Stanford,Pac-12
Tracy Walker,Louisiana,Sun Belt
Harrison Butker,Georgia Tech,ACC
Dalton Sneed,UNLV,Mountain West
Michael Zunica,Kansas,Big 12
Darrynton Evans,Appalachian State,Sun Belt
Colton Moorehead,Louisiana Monroe,Sun Belt
Brad Simpson,Nebraska,Big Ten
Cole Ormsby,Connecticut,American Athletic
Austin Conway,Wyoming,Mountain West
Justin Herbert,Oregon,Pac-12
Niko Small,TCU,Big 12
Aaron Williams,Nebraska,Big Ten
Jake Schlager,Colorado State,Mountain West
Brandon Garner,North Texas,Conference USA
" Team",Akron,Mid-American
Carlos Pickett,Kent State,Mid-American
Kevin Dove,UTEP,Conference USA
Darian Yancey,Southern Mississippi,Conference USA
Chris Williams,Louisville,ACC
Keith Kirkwood,Temple,American Athletic
Matt Linehan,Idaho,Sun Belt
Sean Carter,Old Dominion,Conference USA
Fredrick Jones,Florida State,ACC
Michael Martin,Illinois,Big Ten
Trysten Hill,UCF,American Athletic
" Team",Ole Miss,SEC
Kaimana Padello,Hawai'i,Mountain West
Noke Tago,Oregon State,Pac-12
Dakota Prukop,Oregon,Pac-12
Connor Brennan,Illinois,Big Ten
Jaire Alexander,Louisville,ACC
Josh Metellus,Michigan,Big Ten
Mikial Onu,SMU,American Athletic
Teriyon Gipson,New Mexico,Mountain West
Nate Strong,Missouri,SEC
Pat Green,East Carolina,American Athletic
Dontavius Russell,Auburn,SEC
Rokeem Williams,Miami (OH),Mid-American
Keegan Metcalf,Oklahoma State,Big 12
Breon Borders,Duke,ACC
Reggie Wilkerson,Georgia,SEC
Jonathon Cooper,Ohio State,Big Ten
Jaquan Johnson,Miami,ACC
Joejuan Williams,Vanderbilt,SEC
Ito Smith,Southern Mississippi,Conference USA
Nilijah Ballew,Bowling Green,Mid-American
Adoree' Jackson,USC,Pac-12
Nico Marley,Tulane,American Athletic
Marquiss Spencer,Mississippi State,SEC
" Team",Kentucky,SEC
Tyler Conklin,Central Michigan,Mid-American
Dimitri Flowers,Oklahoma,Big 12
Stedman Mayberry,Texas State,Sun Belt
Randle Jones,Temple,American Athletic
Metuisela 'Unga,Hawai'i,Mountain West
Reese Donahue,West Virginia,Big 12
Ro'Derrick Hoskins,Florida State,ACC
Zay Jones,East Carolina,American Athletic
Jacob Nwangwa,New Mexico State,Sun Belt
Wunmi Oyetuga,Army,FBS Independents
Johnathan Calvin,Mississippi State,SEC
Trae Meadows,NC State,ACC
Kennan Gilchrist,Appalachian State,Sun Belt
Will Dissly,Washington,Pac-12
Seth Shuman,Georgia Southern,Sun Belt
Saleem Brightwell,Pittsburgh,ACC
Matt Linehan,Idaho,Sun Belt
Olasunkanmi Adeniyi,Toledo,Mid-American
Satchel Ziffer,Boston College,ACC
Malik Manciel,Middle Tennessee,Conference USA
Tanner Thrift,Baylor,Big 12
Kevin Pendleton,Missouri,SEC
Rashad Dillard,Troy,Sun Belt
Davine Tullis,Hawai'i,Mountain West
Marquez McNair,UT San Antonio,Conference USA
Olive Sagapolu,Wisconsin,Big Ten
Josh Hayes,Purdue,Big Ten
Brent Stockstill,Middle Tennessee,Conference USA
Wes Brown,Maryland,Big Ten
Shane Tripucka,Texas A&M,SEC
Dalvin Cook,Florida State,ACC
Reggie Davis,Georgia,SEC
Darrius Sapp,Georgia Southern,Sun Belt
" Team",Buffalo,Mid-American
Brendan Cope,Ohio,Mid-American
Christian Burks,SMU,American Athletic
Adam Choice,Clemson,ACC
Devon Earl,South Alabama,Sun Belt
Nick Schrage,Army,FBS Independents
Chauncey Lanier,Memphis,American Athletic
Freddie Booth-Lloyd,Temple,American Athletic
James Williams,Washington State,Pac-12
Tyrone Owens,New Mexico,Mountain West
Demari Simpkins,Utah,Pac-12
J.T. Blasingame,Rice,Conference USA
Austin Carrow,Nevada,Mountain West
Tavin Richardson,Kentucky,SEC
Brandon Stephens,UCLA,Pac-12
Grant Aasen,Georgia Tech,ACC
Jerry McBride III,Bowling Green,Mid-American
Jake Largay,UMass,FBS Independents
Blake Banham,Eastern Michigan,Mid-American
Ryan Smith,Miami (OH),Mid-American
Deltron Hopkins,Appalachian State,Sun Belt
Levarious Varnado,Louisiana,Sun Belt
Tim Cook,Oregon State,Pac-12
Hamilton Anoa'i,California,Pac-12
Keke Coutee,Texas Tech,Big 12
Damion Terry,Michigan State,Big Ten
Alec Hullibarger,Eastern Michigan,Mid-American
Anthony Jennings,Louisiana,Sun Belt
Gerald Wilbon,Texas,Big 12
Austin Joyner,Washington,Pac-12
Dylan Collie,Hawai'i,Mountain West
" Team",Stanford,Pac-12
Shelby Walker,SMU,American Athletic
Malik Henry,Georgia Southern,Sun Belt
Kenny Young,UCLA,Pac-12
Griffin Riggs,Arkansas State,Sun Belt
Michael Walsh,New Mexico,Mountain West
Anree Saint-Amour,Georgia Tech,ACC
Jerome Lane,Akron,Mid-American
Saquon Barkley,Penn State,Big Ten
Bentlee Critcher,Appalachian State,Sun Belt
Christian Philpott,Georgia Tech,ACC
Demari Simpkins,Utah,Pac-12
Chris Minter,Tulsa,American Athletic
Shy Tuttle,Tennessee,SEC
Tago Smith,Navy,American Athletic
Anthony Jennings,Louisiana,Sun Belt
Devon Allen,Oregon,Pac-12
Shawn Curtis,Ole Miss,SEC
Eddie Vanderdoes,UCLA,Pac-12
Austin Conway,Wyoming,Mountain West
DeShon Elliott,Texas,Big 12
Brian Madunezim,UTEP,Conference USA
Jaylen Johnson,Washington,Pac-12
Blake Lynch,Baylor,Big 12
Joe Sanders,Northern Illinois,Mid-American
Roman Buchanan,South Alabama,Sun Belt
John Gibson,Missouri,SEC
Richie Worship,Purdue,Big Ten
Nick Traub,Ball State,Mid-American
Sharrieff Shah Jr.,Utah,Pac-12
Tony Pollard,Memphis,American Athletic
Darian Roseboro,NC State,ACC
Jentz Painter,Utah State,Mountain West
Billy Bahl,Miami (OH),Mid-American
Jamie Sackville,SMU,American Athletic
Joel Lanning,Iowa State,Big 12
Rayquan Sam,Georgia Southern,Sun Belt
Brandon Simmons,Stanford,Pac-12
Mike Smith,Miami,ACC
Tyrian Taylor,New Mexico State,Sun Belt
Jyquis Thomas,Temple,American Athletic
Matt Linehan,Idaho,Sun Belt
Josh Woods,UCLA,Pac-12
Hayes Linn,Air Force,Mountain West
Shawn Curtis,Ole Miss,SEC
David Greene,UNLV,Mountain West
Tim White,Arizona State,Pac-12
Trey Edmunds,Maryland,Big Ten
Tyreis Thomas,South Alabama,Sun Belt
Joel Lanning,Iowa State,Big 12
Damar'ren Mitchell,Louisiana,Sun Belt
" Team",Louisiana Tech,Conference USA
" Team",Mississippi State,SEC
Chayce Crouch,Illinois,Big Ten
James Morgan,Bowling Green,Mid-American
Alex Briones,Central Michigan,Mid-American
Kwanii Figueroa,Eastern Michigan,Mid-American
Traveon Redd,Wake Forest,ACC
" Team",Wisconsin,Big Ten
Isaac Asiata,Utah,Pac-12
Jay Bowdry,Georgia Southern,Sun Belt
Ito Smith,Southern Mississippi,Conference USA
Shaq Smith,Clemson,ACC
Tyrone Owens,New Mexico,Mountain West
Deandre Baker,Georgia,SEC
Jojo Kemp,Kentucky,SEC
Zach Abey,Navy,American Athletic
Julien Lewis,Western Kentucky,Conference USA
Ryan Rubley,Tulsa,American Athletic
Evahelotu Tohi,New Mexico,Mountain West
Andre Flakes,Troy,Sun Belt
Niko Small,TCU,Big 12
Shane Hynes,Kent State,Mid-American
Kei Beckham,Kentucky,SEC
Derrick Mitchell,Western Michigan,Mid-American
Jackson Abresch,Northern Illinois,Mid-American
Mondo Williams,Appalachian State,Sun Belt
Daniel Hurd,Memphis,American Athletic
Dravious Wright,NC State,ACC
Zach Terrell,Western Michigan,Mid-American
Elliott Fry,South Carolina,SEC
Ka'Raun White,West Virginia,Big 12
Darryl Lewis,Louisiana Tech,Conference USA
Keon Hatcher,Arkansas,SEC
Keith Corbin,Houston,American Athletic
Jamal Hicks,Colorado State,Mountain West
James McFarland,TCU,Big 12
Carlton Djam,Minnesota,Big Ten
Myles Norwood,Purdue,Big Ten
Brandon Bowen,TCU,Big 12
Cody George,Baylor,Big 12
Nick Mullens,Southern Mississippi,Conference USA
Dillon Birden,Houston,American Athletic
Brian Hardy,East Carolina,American Athletic
Rafael Araujo-Lopes,Pittsburgh,ACC
Sean Riley,Syracuse,ACC
Cole Freytag,UTEP,Conference USA
Daniel Gray,Utah State,Mountain West
Christian Bertrand,Rice,Conference USA
Colby Pearson,BYU,FBS Independents
Peyton Hall,UT San Antonio,Conference USA
Greg Taboada,Stanford,Pac-12
D'Eriq King,Houston,American Athletic
Jonathan Rucker,LSU,SEC
Eric Margolis,Rutgers,Big Ten
Tshumbi Johnson,Cincinnati,American Athletic
Kendall Johnson,Nevada,Mountain West
George Frazier,Colorado,Pac-12
Nick Dowd,Miami (OH),Mid-American
Tanner Karafa,Boston College,ACC
Joe Spaziani,Virginia,ACC
Zack Mahoney,Syracuse,ACC
Raekwon McMillan,Ohio State,Big Ten
Delvon Randall,Temple,American Athletic
Ethan Aguayo,San José State,Mountain West
Van Edwards Jr.,Akron,Mid-American
Ryan Higgins,Louisiana Tech,Conference USA
Chapelle Russell,Temple,American Athletic
Gary Baker,Oregon,Pac-12
Karrington King,Charlotte,Conference USA
Jordan Chunn,Troy,Sun Belt
Evan Berry,Tennessee,SEC
Stephen Johnson,Kentucky,SEC
Romeo Finley,Miami,ACC
Austrian Robinson,Ole Miss,SEC
Mohelika Uasike,Utah State,Mountain West
Steven Parker,Oklahoma,Big 12
Thai Cottrell,San José State,Mountain West
Brandon Reilly,Nebraska,Big Ten
Trevon Diggs,Alabama,SEC
Lee McNeill,Charlotte,Conference USA
Thurman Morbley,Texas State,Sun Belt
Immanuel Turner,Louisiana Tech,Conference USA
Marcus McGill,Buffalo,Mid-American
Brian Lankford-Johnson,Purdue,Big Ten
Alfred Ansley III,Florida Atlantic,Conference USA
Marshon Lattimore,Ohio State,Big Ten
Logan Wilson,Wyoming,Mountain West
Ryan Higgins,Louisiana Tech,Conference USA
Charvarius Ward,Middle Tennessee,Conference USA
