player,team,conference
Tony Annese,Central Michigan,Mid-American
" Team",Wyoming,Mountain West
Lubern Figaro,Wisconsin,Big Ten
Duke Catalon,Houston,American Athletic
Justin Goodwin,Rutgers,Big Ten
Patrick Laird,California,Pac-12
Santo Coppola,Air Force,Mountain West
" Team",Georgia Southern,Sun Belt
Jonathan Hood,New Mexico State,Sun Belt
Woody Baron,Virginia Tech,ACC
Chason Virgil,Fresno State,Mountain West
Darrin Laufasa,UTEP,Conference USA
Niko Gonzalez,Florida International,Conference USA
Erik Powell,Washington State,Pac-12
Eddie Giles,Florida,SEC
Mitchell Paige,Indiana,Big Ten
Sherman Badie,Tulane,American Athletic
Ainslie Johnson,Illinois,Big Ten
Connor Prevost,Clemson,ACC
Khalfani Muhammad,California,Pac-12
Dede Westbrook,Oklahoma,Big 12
D'Ernest Johnson,South Florida,American Athletic
Andrew Kenney,New Mexico State,Sun Belt
Aleva Hifo,BYU,FBS Independents
Jordan Frysinger,Idaho,Sun Belt
Torrence Brown,Penn State,Big Ten
Jarred Dunn,Louisiana Monroe,Sun Belt
Corey Henderson,Buffalo,Mid-American
Christian Chapman,San Diego State,Mountain West
Jalen McCleskey,Oklahoma State,Big 12
Kellen Cleveland,Air Force,Mountain West
Jaylen Johnson,Washington,Pac-12
Ryan Watson,Air Force,Mountain West
Jake Cooper,Penn State,Big Ten
Nyqwan Murray,Florida State,ACC
Henry McGrew,Illinois,Big Ten
Robert Morgan,North Carolina,ACC
Anthony Makransky,Wyoming,Mountain West
Sean Carter,Old Dominion,Conference USA
Adam Pulsipher,BYU,FBS Independents
Steven Wright,Virginia,ACC
Justin Hobbs,Tulsa,American Athletic
Daeshon Hall,Texas A&M,SEC
Nigel Williams,Virginia Tech,ACC
KeeSean Johnson,Fresno State,Mountain West
Leon Hayes,UTEP,Conference USA
Jake Hall,Arkansas,SEC
Trey Payne,Georgia State,Sun Belt
Tyler Cogswell,Cincinnati,American Athletic
Eric Keena,North Texas,Conference USA
Javante O'Roy,Texas State,Sun Belt
Ralph Green III,Indiana,Big Ten
Nelson Adams,Mississippi State,SEC
Keith Gavin,Florida State,ACC
Budda Baker,Washington,Pac-12
Corey Xavier Sutton,Kansas State,Big 12
Jericho Worrell,Texas State,Sun Belt
Richard Thomas,Old Dominion,Conference USA
Brandon Colon,Navy,American Athletic
John Schilleci,North Texas,Conference USA
Jack Kenny,Boston College,ACC
Zach Quinn,Toledo,Mid-American
Chase Appleby,Wyoming,Mountain West
Johnathan Calvin,Mississippi State,SEC
Andrew Ford,UMass,FBS Independents
Marquez White,Florida State,ACC
Manny Bowen,Penn State,Big Ten
Trevor Wood,Arizona,Pac-12
Deatrich Wise,Arkansas,SEC
Emanuel Thompson,Troy,Sun Belt
Matt Hickman,Tulsa,American Athletic
Ryan Santos,New Mexico,Mountain West
Shawn Poindexter,Arizona,Pac-12
Sam Dobbs,Vanderbilt,SEC
Donovan Lee,Colorado,Pac-12
Mitch Hyatt,Clemson,ACC
J'Mar Smith,Louisiana Tech,Conference USA
Clinton Lynch,Georgia Tech,ACC
" Team",Eastern Michigan,Mid-American
Heath Harding,Miami (OH),Mid-American
Caleb Kelly,Oklahoma,Big 12
Ernest Calhoun,Kent State,Mid-American
Terry Ausborne Jr.,Louisiana Monroe,Sun Belt
Stanley Morgan Jr.,Nebraska,Big Ten
Trayvon Mullen,Clemson,ACC
Antwan Cordy,Syracuse,ACC
Thomas Sperbeck,Boise State,Mountain West
Brayden Beard,Cincinnati,American Athletic
John Battle,LSU,SEC
Keegan Brewer,Kansas,Big 12
Stephen Brauchle,Southern Mississippi,Conference USA
Mack Wilson,Alabama,SEC
Myles Cheatum,San Diego State,Mountain West
Zach Crouch,Central Michigan,Mid-American
Josh Anderson,Notre Dame,FBS Independents
Allan Koikoi,Miami (OH),Mid-American
Tre'Davious White,LSU,SEC
Mike Weaver,Wake Forest,ACC
Kobe McCrary,Minnesota,Big Ten
Tre'Davious White,LSU,SEC
G.G. Robinson,Louisville,ACC
JC Jackson,Maryland,Big Ten
Anthony Scott,East Carolina,American Athletic
Justin Backus,Louisiana Monroe,Sun Belt
Aaron Young,Duke,ACC
Khalia Hackett,Arkansas,SEC
Colton Jumper,Tennessee,SEC
Desmond King,Iowa,Big Ten
Nick Dowd,Miami (OH),Mid-American
Garrett Davis,Houston,American Athletic
Bobby Puyol,Connecticut,American Athletic
Immanuel Turner,Louisiana Tech,Conference USA
Phil Mayhue,Memphis,American Athletic
Matt Merimee,Miami (OH),Mid-American
Brian Reinke,Akron,Mid-American
Wade Lees,Maryland,Big Ten
Jack Lynn,Minnesota,Big Ten
Stephan Johnson,Texas State,Sun Belt
Mikal Myers,Connecticut,American Athletic
Shyheim Cullen,Syracuse,ACC
Alvin Kamara,Tennessee,SEC
Kermit Whitfield,Florida State,ACC
Brandon Byner,Arkansas State,Sun Belt
Brian Allen,Utah,Pac-12
Kevin Wilkins,Rutgers,Big Ten
Natrez Patrick,Georgia,SEC
Emeke Egbule,Houston,American Athletic
Jake Stoshak,Florida Atlantic,Conference USA
Keith Kirkwood,Temple,American Athletic
Jaylan Barbour,Appalachian State,Sun Belt
Dallin Leavitt,Utah State,Mountain West
Olive Sagapolu,Wisconsin,Big Ten
Gump Hayes,Arizona State,Pac-12
Chico McClatcher,Washington,Pac-12
Ashton Lampkin,Oklahoma State,Big 12
Anthony Scarcelli,Central Michigan,Mid-American
Quay Picou,Tennessee,SEC
George Payne,Southern Mississippi,Conference USA
Bucky Hodges,Virginia Tech,ACC
Chunky Clements,Illinois,Big Ten
Daniel Gray,Utah State,Mountain West
Marlon Gonzalez,South Florida,American Athletic
Tony Pollard,Memphis,American Athletic
Cody George,Baylor,Big 12
Daniel Crawford,Northern Illinois,Mid-American
Otha Peters,Louisiana,Sun Belt
