player,team,conference
Josh Newton,Louisiana Monroe,Sun Belt
Isaiah Gibson,Kentucky,SEC
Kylan Watkins,Memphis,American Athletic
Greg Newsome II,Northwestern,Big Ten
Randall Haynie,Vanderbilt,SEC
Cam Johnson,North Texas,Conference USA
Nick McCann,Texas Tech,Big 12
Darius Boone,Eastern Michigan,Mid-American
Latrell Jean,Florida Atlantic,Conference USA
Hunter Moreton,Arkansas State,Sun Belt
Richard Newton,Washington,Pac-12
James Blackman,Florida State,ACC
Sam Olson,San José State,Mountain West
Isaiah Connelly,Coastal Carolina,Sun Belt
Brendon Harris,Vanderbilt,SEC
Mason Mataafa,Hawai'i,Mountain West
Cuevas-Gillis A,Navy,American Athletic
Ayodele Adeoye,Texas,Big 12
Spencer Sanders,Oklahoma State,Big 12
Nikko Remigio,California,Pac-12
Aaron Jackson,Eastern Michigan,Mid-American
Zion Logue,Georgia,SEC
Jordan Young,Florida State,ACC
Michael Bollinger,Liberty,FBS Independents
Nate Weinman,Wyoming,Mountain West
Ravontae Holt,Wyoming,Mountain West
Luca Diamont,Duke,ACC
Jha'Quan Jackson,Tulane,American Athletic
Cormontae Hamilton,Ohio State,Big Ten
Sevyn Banks,Ohio State,Big Ten
Derrion Rakestraw,Colorado,Pac-12
Zach VanValkenburg,Iowa,Big Ten
Jawhar Jordan,Syracuse,ACC
Tonka Hemingway,South Carolina,SEC
Ian Shewell,New Mexico,Mountain West
Drake Nettles,Iowa State,Big 12
Levani Damuni,Stanford,Pac-12
Eric Stokes,Georgia,SEC
Jordan Myers,Rice,Conference USA
Niko Cooper,Nebraska,Big Ten
Luke Grimm,Kansas,Big 12
Tyriq Harris,Charlotte,Conference USA
Brannon Spector,Clemson,ACC
Jeremy Singleton,Houston,American Athletic
Hayden Henry,Arkansas,SEC
K.J. Costello,Mississippi State,SEC
" Team",North Carolina,ACC
Jalon Daniels,Kansas,Big 12
Elijah Gates,UCLA,Pac-12
Jordyn Riley,Akron,Mid-American
J.J. Pegues,Auburn,SEC
Jalen Cropper,Fresno State,Mountain West
Shaun Wade,Ohio State,Big Ten
Carl Poole,Liberty,FBS Independents
Kiondre Thomas,Kansas State,Big 12
Bo Calvert,UCLA,Pac-12
Alton Stephens,Texas State,Sun Belt
Kene Nwangwu,Iowa State,Big 12
Perris Jones,Virginia,ACC
Trevon Grimes,Florida,SEC
Dakota Davis,Syracuse,ACC
Sam James,West Virginia,Big 12
Pheldarius Payne,Nebraska,Big Ten
Amon-Ra St. Brown,USC,Pac-12
Bryson Cannon,Eastern Michigan,Mid-American
Johnquai Lewis,Kansas,Big 12
Erick Young,Texas A&M,SEC
Kurtis Rourke,Ohio,Mid-American
Nate Jefferson,Florida International,Conference USA
Nate Craig-Myers,Colorado State,Mountain West
Elijah Alston,Marshall,Conference USA
John Hoyland,Wyoming,Mountain West
Erik Ezukanma,Texas Tech,Big 12
Jaylin Dickerson,South Carolina,SEC
Josh Sanguinetti,Indiana,Big Ten
Ayden Eberhardt,Wyoming,Mountain West
Cade Musser,Missouri,SEC
Hunter Reynolds,Michigan,Big Ten
Jayson Oweh,Penn State,Big Ten
Jakorian Bennett,Maryland,Big Ten
Andrew Osteen,UCF,American Athletic
Adam Krumholz,Wisconsin,Big Ten
A.J. Watts,Akron,Mid-American
Aaron Moore,Colorado State,Mountain West
Bryce Bernard,South Florida,American Athletic
Danny Gray,SMU,American Athletic
Grant Miller,Vanderbilt,SEC
Xavier Martin,Texas Tech,Big 12
John Torchio,Wisconsin,Big Ten
Melquise Stovall,Hawai'i,Mountain West
Danny Davis III,Wisconsin,Big Ten
Troy Brown,Central Michigan,Mid-American
Jeremiah Burton,Ohio,Mid-American
Harrison Taylor,Western Michigan,Mid-American
Will Jones,SMU,American Athletic
Jonah White,Baylor,Big 12
Brandon Moore,UCF,American Athletic
Emmanual Sowders,Louisville,ACC
Collin Schlee,Kent State,Mid-American
Calif Gossett,Louisiana,Sun Belt
Carlos Davis,South Alabama,Sun Belt
Jo'quavious Marks,Mississippi State,SEC
CJ Schrimpf,Coastal Carolina,Sun Belt
Jacoby Hopkins,Texas State,Sun Belt
Lawrence Papillon,Marshall,Conference USA
Curtis Ryans,Georgia Tech,ACC
Talmage Gunther,BYU,FBS Independents
Rivaldo Fairweather,Florida International,Conference USA
K.D. Nixon,Colorado,Pac-12
Richard Bowens III,Central Michigan,Mid-American
Myles Fells,Navy,American Athletic
D'Sean Perry,Virginia,ACC
Jonathan Weitz,Clemson,ACC
Jason Taylor II,Oklahoma State,Big 12
Donovan Sermons,Northwestern,Big Ten
Nick Channel,Kansas,Big 12
Princeton Fant,Tennessee,SEC
Kevin Nelson,UT San Antonio,Conference USA
Jalen McMillan,Washington,Pac-12
Keenan Stewart,UTEP,Conference USA
Trenton Gillison,Michigan State,Big Ten
Tre Tucker,Cincinnati,American Athletic
Jason Maitre,Boston College,ACC
Kurt Rafdal,Nebraska,Big Ten
Bobby Cole,New Mexico,Mountain West
Spencer Sanders,Oklahoma State,Big 12
Alec Sinkfield,West Virginia,Big 12
Jabari Moore,Army,FBS Independents
Grayson Cash,UAB,Conference USA
Sean Dollars,Oregon,Pac-12
Tanner Blount,Fresno State,Mountain West
Lee Kpogba,Syracuse,ACC
Justin Rogers,UNLV,Mountain West
Keon Voisin,South Alabama,Sun Belt
Malik Heath,Mississippi State,SEC
Jalen Jackson,Georgia Southern,Sun Belt
Marcus Sheppard,Bowling Green,Mid-American
Timothy Taylor,Memphis,American Athletic
Jay Stanley,Ole Miss,SEC
Javier Neal,North Texas,Conference USA
Thomas Harper,Oklahoma State,Big 12
" Team",Illinois,Big Ten
Ryan Rehkow,BYU,FBS Independents
Jalen Holston,Virginia Tech,ACC
Errol Rogers Jr.,Louisiana,Sun Belt
Payton Wilgar,BYU,FBS Independents
Ferrod Gardner,Louisiana,Sun Belt
Demond Taylor,Northern Illinois,Mid-American
Donny Navarro,Illinois,Big Ten
Avery Roberts,Oregon State,Pac-12
Eric Najarian,Maryland,Big Ten
Reggie Roberson Jr.,SMU,American Athletic
Perris Jones,Virginia,ACC
Caden Davis,Texas A&M,SEC
Charles McClelland,Cincinnati,American Athletic
Jay Bramblett,Notre Dame,FBS Independents
Lucas Johnson,San Diego State,Mountain West
Shane Hooks,Ohio,Mid-American
Dante Lang,Florida,SEC
DaMarcus Mitchell,Purdue,Big Ten
Damani Burrell,Louisiana,Sun Belt
Jordan Myles,Louisiana Tech,Conference USA
D'Angelo Amos,Virginia,ACC
DeAndre Pierce,Arizona State,Pac-12
Tristan Armstrong,UMass,FBS Independents
Emmanuel Johnson,Georgia Tech,ACC
Xavier Williams,Kent State,Mid-American
Will Evans,Ohio,Mid-American
Chandler Morris,Oklahoma,Big 12
Tre' Ross,Troy,Sun Belt
Cade Otton,Washington,Pac-12
" Team",UAB,Conference USA
Jahmar Brown,South Carolina,SEC
Johnny Huntley III,Liberty,FBS Independents
Jack Coldiron,Miami (OH),Mid-American
Malachi Carter,Georgia Tech,ACC
Kavika Fonua,BYU,FBS Independents
Matt Ference,Northern Illinois,Mid-American
Brad Anderson,Middle Tennessee,Conference USA
Matthew Salanasky,Tennessee,SEC
Nikko Remigio,California,Pac-12
KJ Johnson II,Coastal Carolina,Sun Belt
Kris Abrams-Draine,Missouri,SEC
Keegan Jones,UCLA,Pac-12
Taulia Tagovailoa,Maryland,Big Ten
Thomas Ruocchio,NC State,ACC
Jeff Foreman,Arkansas State,Sun Belt
Andrew Van Buren,Boise State,Mountain West
Kwabena Watson,Arizona,Pac-12
EJ Muhammad,Nevada,Mountain West
Terrace Marshall Jr.,LSU,SEC
Carson Strong,Nevada,Mountain West
Tre' McKitty,Georgia,SEC
Caden Prieskorn,Memphis,American Athletic
Jalen Alexander,Duke,ACC
Amari Carter,Miami,ACC
Markenzy Pierre,Syracuse,ACC
Ryan Renick,Texas A&M,SEC
Josh Black,Syracuse,ACC
Matt Coghlin,Michigan State,Big Ten
Damian Sellers,UCLA,Pac-12
Justin Rogers,UNLV,Mountain West
Derrick McLendon II,Florida State,ACC
A.J. Thomas,Western Michigan,Mid-American
Dexter Carter Jr.,Georgia Southern,Sun Belt
Ty Danzy,Florida International,Conference USA
Drake Thomas,NC State,ACC
Eriq Gilyard,UCF,American Athletic
Garrett Wilson,Ohio State,Big Ten
Nick Tarburton,Penn State,Big Ten
Michael Fairbanks II,UAB,Conference USA
Logan Lee,Iowa,Big Ten
Julius Irvin,Washington,Pac-12
Myles Slusher,Arkansas,SEC
Aaron Pierre,Liberty,FBS Independents
Nolan Laufenberg,Air Force,Mountain West
Milo Eifler,Illinois,Big Ten
Sheldon Evans,Marshall,Conference USA
Jarett Garner,Duke,ACC
Josh Johnson,Tulsa,American Athletic
Dimitry Prophete,Florida International,Conference USA
Tiawan Mullen,Indiana,Big Ten
Thomas Odukoya,Eastern Michigan,Mid-American
Tate Rodemaker,Florida State,ACC
Jackson Burrill,San José State,Mountain West
Daequan Hardy,Penn State,Big Ten
Mason Fairchild,Kansas,Big 12
Caelan Williams,Georgia Southern,Sun Belt
Brandon McKinney,Washington,Pac-12
LaTrell Bumphus,Tennessee,SEC
Jarron Morris,Texas State,Sun Belt
Kyon Barrs,Arizona,Pac-12
Michael Hayes,Georgia State,Sun Belt
Michael Williams,SMU,American Athletic
Ricky Person Jr.,NC State,ACC
De'Rickey Wright,Vanderbilt,SEC
Greg Eisworth,Iowa State,Big 12
Trey Amos,Louisiana,Sun Belt
Marcus Hooker,Ohio State,Big Ten
Kawaan Baker,South Alabama,Sun Belt
" Team",Boise State,Mountain West
Seamus O'Kelly,Texas State,Sun Belt
Matt Harmon,Kent State,Mid-American
Kyle Harmon,San José State,Mountain West
Gerrit Prince,UAB,Conference USA
Avery Williams,Boise State,Mountain West
Landon Wolf,Oklahoma State,Big 12
Sean Ryan,West Virginia,Big 12
Luke Bolden,Miami (OH),Mid-American
Tre Caine,UNLV,Mountain West
Chance Lovertich,South Alabama,Sun Belt
Joshua Harris,NC State,ACC
Ja'Khi Douglas,Florida State,ACC
Zikerrion Baker,Ole Miss,SEC
Jake Paulson,Minnesota,Big Ten
" Team",Georgia State,Sun Belt
Amir Siddiq,Central Michigan,Mid-American
Connor Murphy,USC,Pac-12
Patrick Lupro,Western Michigan,Mid-American
Tyrell Robinson,Army,FBS Independents
Giovanni Biggers,North Carolina,ACC
Preston Fox,West Virginia,Big 12
Jaden Walley,Mississippi State,SEC
Myles Fells,Navy,American Athletic
Daniel Jackson,Iowa State,Big 12
DeAndre Torrey,North Texas,Conference USA
J.D. Head,Louisiana Tech,Conference USA
Stone Norton,Florida International,Conference USA
Dezmon Jackson,Oklahoma State,Big 12
Caziah Holmes,Penn State,Big Ten
Robert Burns,Miami,ACC
Jacob Adams,Louisiana Tech,Conference USA
Tyler Grubbs,Louisiana Tech,Conference USA
Tyrice Richie,Northern Illinois,Mid-American
" Team",Western Kentucky,Conference USA
Sam Taimani,Washington,Pac-12
Santrell Latham,Southern Mississippi,Conference USA
Kyree Campbell,Florida,SEC
Kanyon Walker,Tulane,American Athletic
Zach Hoover,Ohio State,Big Ten
Peyton Henry,Washington,Pac-12
Ladarius Tennison,Auburn,SEC
Jakeen Harris,NC State,ACC
Nick Pickett,Oregon,Pac-12
Christian Beal-Smith,Wake Forest,ACC
Pat Freiermuth,Penn State,Big Ten
Marcus Williamson,Ohio State,Big Ten
Guy Thomas,Colorado,Pac-12
Shane Illingworth,Oklahoma State,Big 12
Jonathan Garibay,Texas Tech,Big 12
Dillon Sherman,Washington State,Pac-12
Nate Stewart,Akron,Mid-American
Elorm Lumor,Rutgers,Big Ten
Marquez Stevenson,Houston,American Athletic
Caleb Huntley,Ball State,Mid-American
Micah Kelly,Toledo,Mid-American
Spencer Eason-Riddle,South Carolina,SEC
Ontario Russell,Miami (OH),Mid-American
Josh Thompson,Texas,Big 12
Chukwudifu Ogbonna,Akron,Mid-American
Mark Webb,Georgia,SEC
Al Walcott,Baylor,Big 12
Jordan Lee,Nevada,Mountain West
Lexington Joseph,Florida International,Conference USA
Shi Smith,South Carolina,SEC
T.J. Graham,Texas State,Sun Belt
Steven Jones,Appalachian State,Sun Belt
Jarrian Jones,Florida State,ACC
Jordan Mason,Georgia Tech,ACC
Chavon Mceachern,Charlotte,Conference USA
- 2b,Air Force,Mountain West
Lyn-J Dixon,Clemson,ACC
Rashad Byrd,Georgia Southern,Sun Belt
Kyle Poland,West Virginia,Big 12
Joel Wilson,Central Michigan,Mid-American
Noski Lafleur,Eastern Michigan,Mid-American
Semar Melvin,Wisconsin,Big Ten
Morgan Pyper,BYU,FBS Independents
Chris Evans,Michigan,Big Ten
Bailey Hockman,NC State,ACC
Oly Okombi,Kent State,Mid-American
Asjlin Washington,Louisiana,Sun Belt
Tate Whatley,Southern Mississippi,Conference USA
Jose Borregales,Miami,ACC
Sharod Johnson,Syracuse,ACC
Dee Winters,TCU,Big 12
Forrest Merrill,Arkansas State,Sun Belt
Ajani Carter,Utah State,Mountain West
Sincere David,Ole Miss,SEC
Jordan Addison,Pittsburgh,ACC
Bryson Powers,Tulsa,American Athletic
Marcus Clarke,Miami,ACC
Kevin Nelson,UT San Antonio,Conference USA
Justin Eboigbe,Alabama,SEC
Sam Womack,Toledo,Mid-American
Buddha Jones,Kent State,Mid-American
Dante Cephas,Kent State,Mid-American
Layne Hatcher,Arkansas State,Sun Belt
Shawn Naim,Akron,Mid-American
Leddie Brown,West Virginia,Big 12
Rishard Dames,Florida International,Conference USA
Boe Wilson,Nebraska,Big Ten
Sean Ryan,West Virginia,Big 12
Shane Irwin,Boise State,Mountain West
" Team",Wyoming,Mountain West
Jacob Sirmon,Washington,Pac-12
Robert Corner III,UTEP,Conference USA
Grant Carlson,Boston College,ACC
Jamal McMurrin,Washington State,Pac-12
Natrone Brooks,Southern Mississippi,Conference USA
Justin Harris,Vanderbilt,SEC
Dylan DeVito,Arizona State,Pac-12
Moses Douglass,Kentucky,SEC
JT Daniels,Georgia,SEC
Shawn Preston Jr.,Mississippi State,SEC
Xavier Legette,South Carolina,SEC
Jeremiah Haydel,Texas State,Sun Belt
Josh Tukes,Georgia Tech,ACC
Zach Gibson,Akron,Mid-American
John Humphreys,Stanford,Pac-12
Markenzy Pierre,Syracuse,ACC
Ben Yurosek,Stanford,Pac-12
Jonathan Hodoh,Louisiana Monroe,Sun Belt
Dante Lang,Florida,SEC
Riley Lees,Northwestern,Big Ten
Grant Misch,Virginia,ACC
Jesson Walker,Florida International,Conference USA
Travis Tisdale,Kentucky,SEC
Trace Christian,East Carolina,American Athletic
Sean Dollars,Oregon,Pac-12
Daran Branch,Georgia,SEC
Nathaniel Watson,Mississippi State,SEC
Jordan Wright,Kentucky,SEC
Marquez Stevenson,Houston,American Athletic
Matthew Quinn,UAB,Conference USA
Kameron Burton,Coastal Carolina,Sun Belt
Jarvis Brownlee,Florida State,ACC
Landen Akers,Iowa State,Big 12
Shane Lee,Alabama,SEC
Tyler Burns,Kansas State,Big 12
Deion Hair-Griffin,North Texas,Conference USA
Tae Mayo,West Virginia,Big 12
Joseph Charleston,Clemson,ACC
Ricky Pearsall,Arizona State,Pac-12
Cam Hart,Notre Dame,FBS Independents
Nathan Pickering,Mississippi State,SEC
Victor Obi,Baylor,Big 12
Hunter Smith,Louisiana Monroe,Sun Belt
B.J. Baylor,Oregon State,Pac-12
Jaylen Moody,Alabama,SEC
Aaron Young,Rutgers,Big Ten
Amari Rodgers,Clemson,ACC
Ibrahim Kante,NC State,ACC
Nick Starkel,San José State,Mountain West
Justis Borton,Wyoming,Mountain West
Adeeb Atariwa,Virginia,ACC
Maurice Bellan,Army,FBS Independents
Ralph Mency,Middle Tennessee,Conference USA
Isaiah Gay,Illinois,Big Ten
Jake Moertl,Western Michigan,Mid-American
Isaak Togia,San José State,Mountain West
Theo Jackson,Tennessee,SEC
Dominique Robinson,Miami (OH),Mid-American
Keon Voisin,South Alabama,Sun Belt
Andre Carter,Western Michigan,Mid-American
Tim Horn,Washington,Pac-12
Josh Ali,Kentucky,SEC
Frank Gore Jr.,Southern Mississippi,Conference USA
Rashawn Battle,Rutgers,Big Ten
Giles Jackson,Michigan,Big Ten
David Chapple,North Texas,Conference USA
Drayton Law,Central Michigan,Mid-American
Harrison Waylee,Northern Illinois,Mid-American
Rodjay Burns,Louisville,ACC
Carloss Crawford,Troy,Sun Belt
Cj Miller,Marshall,Conference USA
Ajani Cuevas-Gillis,Navy,American Athletic
Monte Pottebaum,Iowa,Big Ten
Jimmy Faulks,Liberty,FBS Independents
Aydan White,NC State,ACC
Ben Johnson,Ohio,Mid-American
Jamie Pettway,Missouri,SEC
Caden Sterns,Texas,Big 12
George Reid,Temple,American Athletic
Jordan Merrell,Florida Atlantic,Conference USA
Kamari Pleasant,Washington,Pac-12
Terion Stewart,Bowling Green,Mid-American
Jarrod Green,Utah State,Mountain West
Landon Guidry,Mississippi State,SEC
Broc Thompson,Marshall,Conference USA
David Perales,Fresno State,Mountain West
Sheldon Jones,UT San Antonio,Conference USA
Adarius Dent,Florida State,ACC
Tyler Venables,Clemson,ACC
Leo Chenal,Wisconsin,Big Ten
Su Agunloye,Virginia,ACC
Mike Ruane,UMass,FBS Independents
Maurice White,Memphis,American Athletic
Eric Stokes,Georgia,SEC
Jason Shelley,Utah State,Mountain West
Hayden Mitchell,Virginia,ACC
Tyler Lamm,Louisiana Monroe,Sun Belt
Preston Hutchinson,Eastern Michigan,Mid-American
Brian Battie,South Florida,American Athletic
Christian Rorie,Duke,ACC
Daniel Obarski,UCF,American Athletic
Preston Daniel,Florida State,ACC
Ronnie Rivers,Fresno State,Mountain West
Lannden Zanders,Clemson,ACC
Quian Williams,Eastern Michigan,Mid-American
Walter Dawn Jr.,UTEP,Conference USA
Dyontae Johnson,Toledo,Mid-American
Anthony Schwartz,Auburn,SEC
Blake Zubovic,Pittsburgh,ACC
Jamious Griffin,Georgia Tech,ACC
Tommy Dawkins,Appalachian State,Sun Belt
Warren McClendon,Georgia,SEC
Josh Delgado,Oregon,Pac-12
Seth Mackellar,Arizona,Pac-12
B.T. Potter,Clemson,ACC
" Team",USC,Pac-12
Savion Williams,TCU,Big 12
Tyler Glass,Louisiana Monroe,Sun Belt
Rex Culpepper,Syracuse,ACC
Melquise Stovall,Hawai'i,Mountain West
Will Martinez,Rice,Conference USA
TJ Finley,LSU,SEC
Nikko Remigio,California,Pac-12
Christopher Hinton,Michigan,Big Ten
A.J. Thomas,Western Michigan,Mid-American
Aaron Moore,Colorado State,Mountain West
Jeremiah Burton,Ohio,Mid-American
Tavian Combs,New Mexico,Mountain West
Jordan Myers,Rice,Conference USA
Garet Morrell,Marshall,Conference USA
Tomon Fox,North Carolina,ACC
Dez Fitzpatrick,Louisville,ACC
Golden Eke,Louisiana,Sun Belt
Austin Lewis,Liberty,FBS Independents
Jack Knight,Ball State,Mid-American
Michael Fletcher,Michigan State,Big Ten
Todd Sibley Jr.,Pittsburgh,ACC
Leo Lowin,Army,FBS Independents
Nate Neal,UNLV,Mountain West
Jackson Anthrop,Purdue,Big Ten
Sorrell Brown,Tulane,American Athletic
Collin Hill,South Carolina,SEC
Jamale Carothers,Navy,American Athletic
Kyle Williams,UNLV,Mountain West
Cormontae Hamilton,Ohio State,Big Ten
Tony Butler,Kent State,Mid-American
Nasir Rashid,Air Force,Mountain West
Brandon Edward Johnson,Tennessee,SEC
B.J. Foster,Texas,Big 12
Jamal McMurrin,Washington State,Pac-12
Khalil Herbert,Virginia Tech,ACC
Henry Beckett,Miami (OH),Mid-American
Nate Williams,Akron,Mid-American
Carrington Mitchell,UTEP,Conference USA
Luke Brockermeyer,Texas,Big 12
Deonte Williams,Florida State,ACC
Jaivon Heiligh,Coastal Carolina,Sun Belt
Jeremiah Hall,Oklahoma,Big 12
Tate Haynes,Boston College,ACC
La'Vontae Shenault,Colorado,Pac-12
Tristan Gebbia,Oregon State,Pac-12
Seth Robertson,Georgia Southern,Sun Belt
Terrell Dawkins,NC State,ACC
Gamari Peterson,Akron,Mid-American
D'Eriq King,Miami,ACC
Casey Legg,West Virginia,Big 12
Dante Cephas,Kent State,Mid-American
Austin Ogunmakin,North Texas,Conference USA
Ty Jordan,Utah,Pac-12
Nate Thompson,Duke,ACC
Markees Watts,Charlotte,Conference USA
Te'Cory Couch,Miami,ACC
Jose Borregales,Miami,ACC
Sam LaPorta,Iowa,Big Ten
Brant Kuithe,Utah,Pac-12
Linwood Crump,Temple,American Athletic
Rodricus Fitten,South Carolina,SEC
Anthony Richardson,Florida,SEC
" Team",North Carolina,ACC
Zahir Swann,Central Michigan,Mid-American
Nick Mardner,Hawai'i,Mountain West
Ari Broussard,Rice,Conference USA
Isaiah Williams,Illinois,Big Ten
Faatui Tuitele,Washington,Pac-12
Camerun Peoples,Appalachian State,Sun Belt
Russ Vaden,Eastern Michigan,Mid-American
A.J. Watkins,Georgia Southern,Sun Belt
Nelson Smith,Navy,American Athletic
Jackson Shupp,Baylor,Big 12
A.J. Watkins,Georgia Southern,Sun Belt
Jakorey Hawkins,Ole Miss,SEC
David Brownlee,Maryland,Big Ten
Malik Davis,Florida,SEC
Aaron Young,Rutgers,Big Ten
Devon High,Navy,American Athletic
Henry Colombi,Texas Tech,Big 12
Mataio Soli,Arkansas,SEC
Deven Thompkins,Utah State,Mountain West
Dustin Crum,Kent State,Mid-American
Travis Levy,Boston College,ACC
Jerrin Thompson,Texas,Big 12
Noah Gray,Duke,ACC
Max Melton,Rutgers,Big Ten
George Karlaftis,Purdue,Big Ten
Camron Harrell,Southern Mississippi,Conference USA
Austin Jones,Stanford,Pac-12
JahMarae Sheread,Texas State,Sun Belt
Bryson Carroll,New Mexico,Mountain West
K.J. Henry,Clemson,ACC
JJ Greenfield,Oregon,Pac-12
Pat Bartlett,Georgia State,Sun Belt
" Team",Baylor,Big 12
Hamsah Nasirildeen,Florida State,ACC
Charles Bell,Marshall,Conference USA
Quadry Jones,UCF,American Athletic
Marcus Bragg,Western Kentucky,Conference USA
Brandon Bowling,Arkansas State,Sun Belt
Jack Westover,Washington,Pac-12
Jalen Nailor,Michigan State,Big Ten
Kyi Wright,Pittsburgh,ACC
Kris Moncrief,Louisiana,Sun Belt
Sione Tupou,Texas State,Sun Belt
Tamarion McDonald,Tennessee,SEC
TJ Smith,Kansas State,Big 12
Cecil Powell,NC State,ACC
Joey Porter Jr.,Penn State,Big Ten
Christian Izien,Rutgers,Big Ten
Todd Harris Jr.,LSU,SEC
Sulaiman Kamara,Wake Forest,ACC
Manny Stokes Jr.,Coastal Carolina,Sun Belt
Shai Werts,Georgia Southern,Sun Belt
Teddy Gallagher,Coastal Carolina,Sun Belt
Marcus Williams Jr.,Appalachian State,Sun Belt
Caleb Clear,Navy,American Athletic
Brendan Bentley,Air Force,Mountain West
Kyron Cumby,Illinois,Big Ten
Markel Reed,Boise State,Mountain West
Solomon Brown,Minnesota,Big Ten
Kaulana Makaula,USC,Pac-12
Will Rogers,Mississippi State,SEC
Rashad Byrd,Georgia Southern,Sun Belt
Isaiah Richardson,San Diego State,Mountain West
Lawrence Papillon,Marshall,Conference USA
J.D. Dellinger,Purdue,Big Ten
Tevye Schuettpelz-Rohl,Air Force,Mountain West
Austin Ogunmakin,North Texas,Conference USA
Shedro Louis,Liberty,FBS Independents
Jack Westover,Washington,Pac-12
George Reid,Temple,American Athletic
Elias Neal,Marshall,Conference USA
Tahj Sykes,Southern Mississippi,Conference USA
Michael Lacey,Toledo,Mid-American
Elijah Collins,Michigan State,Big Ten
Devon High,Navy,American Athletic
Marquavius Weaver,Memphis,American Athletic
D'Eriq King,Miami,ACC
Justin Hughes,Kansas State,Big 12
Jaylon Redd,Oregon,Pac-12
" Team",Arkansas,SEC
Larry Wooden,UAB,Conference USA
Darren Evans,LSU,SEC
McKenly O'Neal,Air Force,Mountain West
Dennis Robinson,Northern Illinois,Mid-American
Grant Miller,Vanderbilt,SEC
Raymond Vohasek,North Carolina,ACC
Rakeem Boyd,Arkansas,SEC
Ekow Boye-Doe,Kansas State,Big 12
Bryce Williams,Minnesota,Big Ten
Parker Washington,Penn State,Big Ten
Roderick Hockley,Texas State,Sun Belt
Steven Scheidt,Eastern Michigan,Mid-American
Relijah Sherman,Oklahoma State,Big 12
Michael Marchese,Illinois,Big Ten
Kolby Peel,Oklahoma State,Big 12
Braxten Croteau,California,Pac-12
Marco Ortiz,Florida,SEC
Ryan Thaxton,South Florida,American Athletic
JonJon Vaughns,UCLA,Pac-12
Jerney Jones,Missouri,SEC
Montana Lemonious-Craig,Colorado,Pac-12
Russ Yeast,Louisville,ACC
Trevor Hobbs,Liberty,FBS Independents
Dorian Strong,Virginia Tech,ACC
Alvin Williams,Colorado,Pac-12
Shaddrick Lowery,New Mexico,Mountain West
Booker Ficklin,Arkansas State,Sun Belt
Sione Tonga'Uiha,UTEP,Conference USA
Bam Amina,Colorado State,Mountain West
Amare Barno,Virginia Tech,ACC
Ezekiel Barnett,Louisiana Tech,Conference USA
Isaiah Jacobs,Maryland,Big Ten
Zahran Manley,Stanford,Pac-12
Andre Crump,San José State,Mountain West
DeaMonte Trayanum,Arizona State,Pac-12
Shi Smith,South Carolina,SEC
" Team",Purdue,Big Ten
Jack Landherr IV,UCLA,Pac-12
Quavian White,Georgia State,Sun Belt
Briston Bennett,Charlotte,Conference USA
Kalil Pimpleton,Central Michigan,Mid-American
William Kwenkeu,Temple,American Athletic
Ravontae Holt,Wyoming,Mountain West
Lamin Touray,Nevada,Mountain West
Kawaan Baker,South Alabama,Sun Belt
Marco Donatelli,Akron,Mid-American
Logan Loya,UCLA,Pac-12
Payton Wilson,NC State,ACC
Aaron Blackwell,Arizona,Pac-12
Davis Allen,Clemson,ACC
Justin Henderson,Louisiana Tech,Conference USA
Upton Stout,North Texas,Conference USA
Justin Hall,Ball State,Mid-American
Tucker Finkelston,Virginia,ACC
Ja'Qurious Conley,North Carolina,ACC
Isaiah Likely,Coastal Carolina,Sun Belt
Messiah Swinson,Missouri,SEC
" Team",Arkansas,SEC
Jay Ward,LSU,SEC
Isaac Taylor-Stuart,USC,Pac-12
Zeke Brown,Baylor,Big 12
Nolan Givan,San Diego State,Mountain West
Brandon Gooding,Air Force,Mountain West
Jordan Magee,Temple,American Athletic
Jacobi Francis,Memphis,American Athletic
Lachlan Wilson,Tulsa,American Athletic
Velus Jones Jr.,Tennessee,SEC
Darius Lewis,Georgia Southern,Sun Belt
Gavin Sharp,UT San Antonio,Conference USA
Greg McCrae,UCF,American Athletic
Jordan Myers,Rice,Conference USA
Jordon Brookshire,San Diego State,Mountain West
Jaydon Grant,Oregon State,Pac-12
Cameron Dicker,Texas,Big 12
John Waggoner,Iowa,Big Ten
" Team",Maryland,Big Ten
Ra'Mello Dotson,Kansas,Big 12
Antwan Owens,Georgia Tech,ACC
Thomas Pannunzio,Colorado State,Mountain West
Jalen Green,Texas,Big 12
Cam Porter,Northwestern,Big Ten
Allie Green IV,Tulsa,American Athletic
Shawn Jennings,South Alabama,Sun Belt
Frank Gore Jr.,Southern Mississippi,Conference USA
John Torchio,Wisconsin,Big Ten
Tomari Fox,North Carolina,ACC
Jacoby Clarke,Baylor,Big 12
Randall St. Felix,South Florida,American Athletic
Richard Dames,Florida International,Conference USA
Devin Kaufusi,Utah,Pac-12
Jonathan Kim,North Carolina,ACC
Jordan Fox,Stanford,Pac-12
Levi Bell,Louisiana Tech,Conference USA
Gerry Vaughn,Iowa State,Big 12
Eli Wilson,Appalachian State,Sun Belt
Donavon Greene,Wake Forest,ACC
Jonah Tavai,San Diego State,Mountain West
Isaiah McDuffie,Boston College,ACC
Whop Philyor,Indiana,Big Ten
Grayson Lewis,East Carolina,American Athletic
Dontae Wilson,Georgia State,Sun Belt
Leonard Johnson,Duke,ACC
