player_id,i_id,Player
361,10107,Solomon Thomas
366,10107,Christian McCaffrey
687,10107,Justin Reid
715,10107,Harrison Phillips
757,10107,Dalton Schultz
836,10107,Peter Kalambayi
937,10107,JJ Arcega-Whiteside
970,10107,Bobby Okereke
994,10107,Bryce Love
1046,10107,Jake Bailey
1060,10107,Kaden Smith
1275,10107,Colby Parkinson
1378,10107,Casey Toohill
129,6256,Vernon Butler
236,6256,Kenneth Dixon
311,6256,Jeff Driskel
442,6256,Carlos Henderson
539,6256,Trent Taylor
554,6256,Xavier Woods
823,6256,Boston Scott
966,6256,Jaylon Ferguson
1280,6256,L'Jarius Sneed
1281,6256,Amik Robertson
130,10551,Germain Ifedi
193,10551,Brandon Williams
283,10551,Drew Kaser
359,10551,Myles Garrett
409,10551,Justin Evans
437,10551,Daeshon Hall
478,10551,Josh Reynolds
521,10551,Jermaine Eluemunor
665,10551,Christian Kirk
744,10551,Armani Watts
797,10551,Damion Ratley
928,10551,Erik McCoy
956,10551,Jace Sternberger
1033,10551,Kingsley Keke
1043,10551,Daylon Mack
1066,10551,Trayveon Williams
1097,10551,Donovan Wilson
1105,10551,Cullen Gillaspia
1212,10551,Justin Madubuike
1335,10551,Braden Mann
132,8002,Emmanuel Ogbah
557,8002,Vincent Taylor
613,8002,Chris Carson
678,8002,James Washington
695,8002,Mason Rudolph
767,8002,Tre Flowers
851,8002,Marcell Ateman
995,8002,Justice Hill
1138,8002,Jordan Brailford
135,11186,Hunter Henry
259,11186,Jonathan Williams
274,11186,Alex Collins
297,11186,Sebastian Tretola
305,11186,Brandon Allen
492,11186,Deatrich Wise Jr.
516,11186,Jeremy Sprinkle
568,11186,Jeremiah Ledbetter
637,11186,Frank Ragnow
849,11186,David Williams
1000,11186,Hjalte Froholdt
1031,11186,Dre Greenlaw
1074,11186,Armon Watts
1236,11186,McTelvin Agim
1361,11186,Kamren Curl
137,7049,Chris Jones
169,7049,Will Redmond
237,7049,Dak Prescott
573,7049,Justin Senior
699,7049,Martinas Rankin
833,7049,Jordan Thomas
862,7049,Hunter Bradley
870,7049,Logan Cooke
898,7049,Jeffery Simmons
905,7049,Montez Sweat
906,7049,Johnathan Abram
924,7049,Elgton Jenkins
1083,7049,Gerri Green
1203,7049,Willie Gay Jr.
1230,7049,Cameron Dantzler
1247,7049,Tyre Phillips
1385,7049,Tommy Stevens
1394,7049,Brian Cole II
139,11082,Noah Spence
140,11514,Sterling Shepard
203,11514,Charles Tapper
244,11514,Zack Sanchez
287,11514,Devante Bond
407,11514,Joe Mixon
471,11514,Dede Westbrook
475,11514,Samaje Perine
556,11514,Jordan Evans
618,11514,Baker Mayfield
702,11514,Orlando Brown Jr.
705,11514,Mark Andrews
781,11514,Ogbonnia Okoronkwo
880,11514,Kyler Murray
904,11514,Marquise Brown
918,11514,Cody Ford
978,11514,Bobby Evans
996,11514,Dru Samia
1005,11514,Ben Powers
1053,11514,Austin Seibert
1095,11514,Rodney Anderson
1156,11514,CeeDee Lamb
1162,11514,Kenneth Murray
1193,11514,Jalen Hurts
1223,11514,Neville Gallimore
142,1414,Kamalei Correa
