i_id,wranking,nranking,year
4597,301,21,2018
4597,301,23,2017
4597,301,22,2016
4600,201,2,2020
4600,301,6,2019
4600,201,3,2018
4600,201,2,2017
4600,301,7,2016
4601,401,50,2020
4601,401,40,2019
4601,401,36,2018
4601,401,34,2017
4602,101,7,2020
4602,151,9,2019
4602,151,8,2018
4602,151,7,2017
4602,151,7,2016
4603,701,103,2020
4603,701,91,2019
4659,1,1,2020
4659,1,1,2019
4659,1,1,2018
4659,1,1,2017
4659,1,1,2016
4662,601,8,2020
4662,601,8,2019
4664,801,182,2020
4664,801,182,2019
4699,901,132,2020
4700,901,132,2020
4705,401,50,2020
4705,501,59,2019
4707,57,3,2020
4707,47,1,2019
4707,47,1,2018
4707,42,1,2017
4707,47,1,2016
4708,301,20,2020
4713,801,121,2020
4723,701,46,2020
4723,501,37,2019
4723,401,35,2018
4723,401,35,2017
4781,501,15,2020
4781,501,15,2019
4781,301,10,2017
4790,601,85,2020
4790,601,73,2019
4795,151,5,2020
4795,151,6,2019
4795,151,6,2018
4795,151,6,2017
4795,151,6,2016
4813,701,6,2020
4813,701,6,2019
4813,401,6,2016
4841,901,191,2020
4845,901,132,2020
4845,701,91,2019
4846,301,33,2020
4846,401,40,2019
4846,401,36,2018
4846,401,34,2017
4847,501,59,2019
4848,101,7,2020
4848,101,5,2019
4848,151,8,2018
4848,201,10,2017
4848,201,10,2016
4856,601,25,2020
4856,501,17,2019
4861,601,85,2020
4861,601,73,2019
4862,201,23,2020
4862,301,28,2019
4862,301,24,2018
4862,301,19,2017
4862,401,32,2016
4912,601,18,2020
4912,601,16,2019
5008,901,9,2020
5008,801,7,2019
5153,101,42,2020
5153,101,46,2019
5153,101,47,2018
5153,101,49,2017
5153,101,51,2016
5180,25,4,2020
5180,23,4,2019
5180,24,4,2018
5180,27,4,2017
5191,501,1,2020
5191,401,1,2019
5191,401,1,2018
5191,301,1,2017
5191,301,1,2016
5192,701,5,2019
5193,701,5,2020
5193,701,5,2019
5194,901,10,2020
5194,601,3,2019
5195,701,5,2020
5195,701,5,2019
5196,601,2,2020
5196,501,2,2019
5197,901,10,2020
5197,901,11,2019
5198,901,10,2020
5198,801,9,2019
5216,101,42,2020
5216,101,46,2019
5216,101,47,2018
5216,101,49,2017
5216,101,51,2016
5222,301,95,2020
5222,301,95,2019
5222,301,96,2018
5222,301,100,2017
5222,201,72,2016
5233,901,31,2020
5233,901,30,2019
5238,301,13,2020
5368,701,31,2020
5368,601,25,2019
5388,201,66,2020
5388,201,67,2019
5388,201,70,2018
5388,201,71,2017
5388,201,72,2016
5391,901,10,2020
5391,801,8,2019
5395,901,10,2020
5395,801,8,2019
5398,601,2,2020
5398,801,8,2019
5399,401,1,2020
5399,401,1,2019
5399,401,1,2018
5399,401,1,2017
5399,401,1,2016
5485,401,2,2020
5485,301,1,2019
5485,401,2,2018
5485,401,2,2017
5485,401,1,2016
5489,301,16,2020
5489,201,9,2019
5489,201,10,2018
5489,301,15,2017
5489,201,9,2016
5500,701,5,2020
5500,801,9,2019
5516,501,72,2020
5516,601,73,2019
5517,301,33,2020
5517,401,40,2019
5518,151,14,2020
5518,201,18,2019
5518,201,13,2018
5518,301,19,2017
5518,201,10,2016
5519,401,50,2020
5519,401,40,2019
5523,901,13,2020
5523,601,8,2019
5545,15,12,2020
5545,16,13,2019
5545,18,15,2018
5545,18,15,2017
5545,16,14,2016
5569,151,7,2016
5575,701,20,2020
5575,701,23,2019
5640,201,6,2020
5640,201,6,2019
5640,201,6,2018
5640,201,6,2017
5640,201,6,2016
5641,97,2,2020
5641,85,2,2019
5641,86,2,2018
5641,90,2,2017
5641,93,2,2016
5643,901,34,2019
5646,701,20,2020
5646,701,23,2019
5647,701,21,2020
5647,701,22,2019
5655,401,115,2020
5655,301,95,2019
5655,401,118,2018
5657,701,10,2020
5657,701,9,2019
5657,401,4,2018
5657,401,7,2017
5657,401,5,2016
5722,201,11,2020
5722,201,11,2019
5722,201,15,2018
5722,201,16,2017
5722,201,15,2016
5723,45,1,2020
5723,38,1,2019
5723,44,1,2018
5723,44,1,2017
5723,44,1,2016
5732,901,9,2020
5732,801,7,2019
5736,601,44,2020
5736,801,51,2019
5739,301,9,2020
5739,301,10,2019
5739,301,10,2018
5739,301,10,2017
5739,301,10,2016
5760,501,134,2020
5760,501,138,2019
5760,401,118,2018
5760,401,120,2017
5778,701,1,2019
5785,701,20,2020
5785,901,34,2019
5786,101,1,2020
5786,101,1,2019
5786,101,1,2018
5786,101,1,2017
5786,101,1,2016
5787,201,3,2020
5787,201,3,2019
5787,201,3,2018
5787,201,3,2017
5787,201,3,2016
5789,401,4,2020
5789,401,4,2019
5789,301,4,2018
5789,401,4,2017
5789,301,4,2016
5790,901,38,2020
5790,701,22,2019
5791,151,2,2020
5791,151,2,2019
5791,101,1,2018
5791,101,1,2017
5791,101,1,2016
5793,47,7,2020
5793,51,7,2019
5793,56,7,2018
5793,46,7,2017
5793,50,7,2016
5801,501,15,2020
5801,601,18,2019
5808,401,11,2020
5808,401,11,2019
5808,401,13,2018
5808,401,14,2017
5808,401,13,2016
5810,701,21,2020
5810,701,22,2019
5811,201,2,2020
5811,201,3,2019
5811,201,3,2018
5811,201,2,2017
5811,201,4,2016
5812,201,2,2020
5812,201,3,2019
5812,201,3,2018
5812,201,2,2017
5812,151,2,2016
5813,801,25,2020
5813,801,30,2019
5814,701,103,2020
5814,901,121,2019
5818,34,2,2020
5818,32,2,2019
5818,35,2,2018
5818,35,2,2017
5818,32,2,2016
5819,301,7,2020
5819,301,6,2019
5819,301,6,2018
5819,401,8,2017
5819,301,7,2016
5820,301,7,2020
5820,401,9,2019
5820,401,8,2017
5821,901,34,2019
5822,301,9,2020
5822,201,8,2019
5822,201,8,2018
5822,201,8,2017
5822,201,7,2016
5946,301,16,2020
5946,301,16,2019
5946,301,16,2018
5946,301,15,2017
5946,301,15,2016
5984,901,27,2020
5984,901,27,2019
6006,301,29,2020
6006,301,27,2019
6006,301,29,2018
6006,301,29,2017
6017,401,50,2020
6017,301,28,2019
6017,301,24,2018
6017,301,19,2017
6017,301,19,2016
6018,901,8,2020
6018,901,8,2019
6036,301,13,2020
6036,201,10,2019
6036,201,10,2018
6036,301,12,2017
6036,201,7,2016
6095,701,176,2020
6095,601,156,2019
6097,601,36,2020
6098,80,3,2020
6098,82,4,2019
6098,74,3,2018
6098,88,4,2017
6098,93,3,2016
6110,901,49,2020
6125,901,132,2020
6174,801,7,2020
6174,801,8,2019
6183,301,7,2020
6183,301,7,2019
6183,301,9,2018
6183,201,6,2017
6183,301,9,2016
6186,801,13,2020
6191,701,46,2020
6191,701,47,2019
6192,801,55,2020
6192,801,51,2019
6202,801,55,2020
6202,801,51,2019
6203,151,16,2020
6203,151,17,2019
6203,151,17,2018
6203,151,18,2017
6203,151,16,2016
6204,201,21,2020
6204,201,22,2019
6204,151,17,2018
6204,201,21,2017
6204,151,16,2016
6237,501,37,2020
6237,701,47,2019
6245,301,95,2020
6245,301,95,2019
6245,301,96,2018
6245,301,100,2017
6245,301,99,2016
6270,501,134,2020
6270,601,156,2019
6280,801,13,2020
6280,901,13,2019
6283,151,5,2020
6283,101,4,2019
6283,101,4,2018
6283,101,4,2017
6283,101,4,2016
6468,401,20,2019
6468,401,18,2018
6468,401,18,2017
6468,401,19,2016
6559,201,10,2020
6559,201,10,2019
6559,201,10,2018
6559,201,10,2017
6559,201,10,2016
6564,501,1,2020
6564,501,1,2019
6568,201,9,2020
6568,201,9,2019
6568,201,10,2018
6568,151,9,2017
6568,201,9,2016
6583,401,1,2020
6583,401,1,2019
6598,801,51,2019
6615,801,3,2020
6615,801,4,2019
6622,801,39,2020
6622,801,37,2019
6678,901,9,2020
6711,601,3,2020
6711,601,3,2019
6721,4,3,2020
6721,4,3,2019
6721,4,3,2018
6721,4,3,2017
6721,5,4,2016
6731,601,5,2020
6731,601,5,2019
6740,101,42,2020
6741,101,46,2019
6741,81,39,2018
6741,71,36,2017
6741,86,44,2016
6751,78,3,2020
6751,90,3,2019
6751,70,3,2018
6751,67,4,2017
6751,63,3,2016
6758,98,4,2020
6758,90,3,2019
6758,86,4,2018
6758,66,3,2017
6758,83,4,2016
6784,601,155,2020
6784,601,156,2019
6790,701,4,2019
6791,401,6,2020
6791,501,7,2019
6791,401,4,2016
6792,501,8,2020
6792,401,5,2019
6792,401,5,2018
6793,901,7,2020
6793,901,7,2019
6794,301,95,2020
6794,401,117,2019
6794,301,96,2018
6794,201,71,2017
6794,201,72,2016
6795,201,2,2020
6795,201,2,2019
6795,201,2,2018
6795,201,3,2017
6795,201,3,2016
6796,901,7,2020
6815,801,25,2020
6821,601,21,2020
6821,501,19,2019
6916,101,42,2020
6916,101,46,2019
6916,101,47,2018
6916,101,49,2017
6916,101,51,2016
6918,701,176,2020
6918,701,172,2019
6934,801,6,2020
6934,701,2,2019
6943,901,56,2019
6966,601,19,2020
6966,801,28,2019
6987,701,91,2019
7049,501,134,2020
7049,501,138,2019
7049,401,118,2018
7063,601,155,2020
7063,601,156,2019
7087,85,6,2020
7087,73,3,2019
7087,91,5,2018
7087,78,3,2017
7087,79,4,2016
7096,501,138,2019
7097,801,182,2020
7143,401,3,2020
7143,401,3,2019
7143,401,3,2018
7144,93,1,2020
7144,87,1,2019
7144,86,1,2018
7144,93,1,2017
7144,87,1,2016
7212,601,27,2020
7212,701,28,2019
7339,901,6,2019
7405,801,25,2020
7405,701,23,2019
7406,83,3,2020
7406,90,3,2019
7406,83,3,2018
7406,84,3,2017
7406,72,3,2016
7407,401,50,2020
7407,401,40,2019
7407,401,36,2018
7408,401,50,2020
7408,401,40,2019
7409,301,33,2020
7409,401,40,2019
7409,301,24,2018
7409,401,34,2017
7410,701,103,2020
7410,801,107,2019
7411,401,50,2020
7411,401,40,2019
7411,401,36,2018
7411,401,34,2017
7411,401,32,2016
7412,501,72,2020
7412,601,73,2019
7413,101,7,2020
7413,151,9,2019
7413,151,8,2018
7413,201,10,2017
7413,201,10,2016
7414,301,33,2020
7414,401,40,2019
7414,401,36,2018
7414,401,34,2017
7415,901,132,2020
7416,401,50,2020
7416,401,40,2019
7416,401,36,2018
7417,701,103,2020
7417,601,73,2019
7418,301,33,2020
7418,301,28,2019
7418,301,24,2018
7418,401,34,2017
7418,401,32,2016
7419,201,23,2020
7419,201,18,2019
7419,301,24,2018
7419,301,19,2017
7419,301,19,2016
7420,801,121,2020
7420,901,121,2019
7421,91,2,2020
7421,73,2,2019
7421,96,2,2018
7421,101,2,2017
7421,101,2,2016
7423,901,34,2020
7423,801,30,2019
7459,201,1,2020
7459,201,1,2019
7459,201,1,2018
7459,201,1,2017
7459,151,1,2016
7467,701,10,2020
7467,601,8,2019
7468,301,3,2020
7468,301,2,2019
7468,301,3,2018
7468,301,3,2017
7469,401,5,2016
7470,401,4,2020
7470,501,4,2019
7470,301,3,2017
7470,401,5,2016
7471,901,13,2020
7471,901,12,2019
7505,501,2,2020
7505,501,2,2019
7506,901,33,2019
7508,601,5,2019
7509,701,5,2020
7510,901,11,2019
7513,601,8,2020
7513,801,11,2019
7514,901,13,2020
7515,201,1,2020
7515,151,1,2019
7515,151,1,2018
7515,151,1,2017
7515,151,1,2016
7516,801,12,2020
7516,901,12,2019
7518,601,3,2020
7518,601,3,2019
7518,401,2,2018
7518,401,2,2017
7522,401,4,2020
7522,501,4,2019
7522,401,4,2018
7522,301,3,2017
7522,301,3,2016
7525,701,1,2020
7525,801,1,2019
7526,801,3,2020
7526,801,3,2019
7527,501,72,2020
7527,501,59,2019
7529,601,4,2020
7529,501,4,2019
7529,401,3,2018
7529,301,2,2017
7529,301,2,2016
7530,701,2,2020
7530,701,2,2019
7531,501,2,2020
7531,501,2,2019
7531,401,1,2016
7532,80,1,2020
7532,67,1,2019
7532,85,1,2018
7532,91,1,2017
7532,83,1,2016
7533,501,6,2020
7533,501,4,2019
7534,301,1,2020
7534,301,1,2019
7534,301,1,2018
7534,301,1,2017
7534,301,1,2016
7540,601,73,2019
7608,901,191,2020
7608,901,193,2019
7615,901,193,2019
7615,401,120,2017
7622,601,6,2020
7622,401,3,2019
7647,27,19,2020
7647,30,22,2019
7647,32,24,2018
7647,29,22,2017
7647,29,22,2016
7657,201,21,2020
7657,201,22,2019
7657,201,22,2018
7657,201,21,2017
7657,301,29,2016
7669,901,7,2019
7673,901,34,2020
7673,901,34,2019
7674,801,25,2020
7674,801,30,2019
7676,701,103,2020
7676,701,91,2019
7692,201,66,2020
7692,201,67,2019
7692,151,59,2018
7692,201,71,2017
7692,201,72,2016
7705,501,72,2020
7705,701,91,2019
7735,601,6,2020
7735,601,6,2019
7743,901,132,2020
7750,601,85,2020
7750,801,107,2019
7750,401,32,2016
7770,201,72,2016
7771,201,66,2020
7771,201,67,2019
7771,201,70,2018
7771,201,71,2017
7772,301,33,2020
7772,401,40,2019
7772,401,36,2018
7772,401,34,2017
7773,501,134,2020
7773,501,138,2019
7796,901,60,2020
7796,901,56,2019
7797,501,72,2020
7797,501,59,2019
7827,601,85,2020
7827,601,73,2019
7827,401,34,2017
7836,201,23,2020
7836,301,28,2019
7836,301,24,2018
7839,30,21,2020
7839,29,21,2019
7839,25,18,2018
7839,22,18,2017
7839,26,20,2016
7843,601,5,2020
7843,601,4,2019
7844,101,2,2020
7844,101,2,2019
7844,101,2,2018
7844,101,2,2017
7844,101,2,2016
7855,701,46,2020
7860,501,4,2020
7860,401,3,2019
7860,401,3,2018
7860,401,3,2017
7860,401,3,2016
7930,401,50,2020
7930,501,59,2019
7930,301,19,2017
7930,401,32,2016
7979,601,155,2020
7979,701,172,2019
7991,401,11,2020
7991,401,11,2019
7991,301,10,2018
7991,301,10,2017
7991,301,10,2016
8002,501,134,2020
8002,501,138,2019
8002,401,118,2018
8002,401,120,2017
8002,401,120,2016
8011,701,176,2020
8011,601,156,2019
8036,801,26,2020
8046,601,12,2020
8046,801,12,2019
8053,201,66,2020
8053,201,67,2019
8053,151,59,2018
8053,201,71,2017
8053,151,62,2016
8055,201,66,2020
8055,201,67,2019
8055,151,59,2018
8055,151,61,2017
8055,151,62,2016
8062,701,20,2020
8062,601,18,2019
8062,401,14,2017
8062,401,13,2016
8063,151,5,2020
8063,151,6,2019
8063,101,4,2018
8063,101,4,2017
8063,96,4,2016
8240,36,2,2020
8248,801,28,2019
8278,501,2,2019
8279,501,2,2020
8302,301,14,2019
8302,301,15,2018
8302,301,15,2017
8302,301,14,2016
8305,401,19,2016
8306,14,1,2020
8388,201,9,2020
8388,201,10,2019
8388,201,9,2018
8388,201,10,2017
8388,201,10,2016
8394,301,33,2020
8394,401,40,2019
8394,401,36,2018
8394,401,34,2017
8394,401,32,2016
8395,49,2,2020
8395,53,2,2019
8395,57,2,2018
8395,71,2,2017
8395,71,2,2016
8420,101,42,2020
8420,98,44,2019
8420,74,37,2018
8420,85,43,2017
8420,77,41,2016
8465,40,1,2017
8465,39,1,2016
8530,501,37,2019
8531,301,7,2020
8531,401,9,2019
8531,401,9,2018
8531,301,7,2017
8531,201,4,2016
8541,201,4,2019
8541,201,2,2018
8541,201,3,2017
8541,201,3,2016
8544,701,23,2020
8544,601,18,2019
8544,301,4,2016
8545,501,14,2020
8545,501,14,2019
8546,201,4,2020
8549,601,25,2020
8549,501,17,2019
8550,301,6,2020
8550,401,8,2019
8550,401,8,2018
8550,401,8,2017
