,institution
597,American College of Hairstyling-Cedar Rapids
598,American College of Hairstyling-Des Moines
599,American College of Health Professions
600,American College of Healthcare
601,American College of Medical Technology
602,American College of Technology
603,American College of Traditional Chinese Medicine
604,American Commercial College
605,American Commercial College of Texas
606,American Commercial College-Abilene
607,American Commercial College-Lubbock
608,American Commercial College-Odessa
609,American Commercial College-San Angelo
610,American Commercial College-Shreveport
611,American Commercial College-Wichita Falls
612,American Conservatory Theater
613,American Educational College
614,American Film Institute Conservatory
615,American Graduate School of Management
616,American Health Institute
617,American Home Inspectors Training
618,American Indian College of the Assemblies of God Inc
619,American Indian OIC Inc
620,American Institute
621,American Institute of Alternative Medicine
622,American Institute of Baking
623,American Institute of Beauty
624,American Institute of Health Sciences
625,American Institute of Massage Therapy
626,American Institute of Medical Sciences & Education
627,American Institute of Medical Technology
628,American Institute of Medical-Dental Technology
629,American Institute of Technology
630,American Institute-School of Health Careers
631,American InterContinental University-Atlanta
632,American InterContinental University-Houston
633,American InterContinental University-Online
634,American InterContinental University-South Florida
635,American Intercontinental University
636,American Intercontinental University Online
637,American Intercontinental University-Dunwoody Campus
638,American International College
639,American Jewish University
640,American Medical Sciences Center
641,American Military University
642,American Musical and Dramatic Academy
643,American Professional Institute
644,American Public University
645,American Public University System
646,American River College
647,American Samoa Community College
648,American School of Business
649,American School of Technology
650,American Sentinel University
651,American Technical Institute
652,American Technological College
653,American Trade School
654,American University
655,American University of Beirut
656,American University of Health Sciences
657,American University of Puerto Rico
658,Americana Beauty College #2
659,Americana College
660,Americare Institute
661,Americare School of Allied Health
662,Americare School of Nursing
663,Amesed
664,Amherst College
665,Amirkabir University of Technology
666,Amridge University
667,Ana Visage Academy
668,Ana Visage Institute
669,"Anabaptist Mennonite Biblical Seminary, Inc."
670,Anamarc College-El Paso
671,Anamarc College-Santa Teresa
672,Anamarc Educational Institute
673,Ancilla College
674,Anderson University
675,Andover College
676,Andover Newton Theological School
677,Andrew College
678,Andrews Academy of Cosmetology
679,Andrews University
680,Angeles College
681,Angeles College of Nursing
682,Angeles Institute
683,Angelina College
684,Angelo State University
685,Angley College
686,Anhui Agricultural University
687,Anhui Medical University
688,Anhui University
689,Ankara University
690,Ann Marie's World of Beauty School
691,Anna Maria College
692,Anna University
693,Anne Arundel Community College
694,Anoka Technical College
695,Anoka-Ramsey Community College
696,Anoka-Ramsey Community College-Coon Rapids Campus
697,Anson College of Cosmetology
698,Antelope Valley College
699,Antelope Valley Medical College
700,Anthem Career College-Memphis
701,Anthem Career College-Nashville
702,Anthem College
703,Anthem College-Atlanta
704,Anthem College-Brookfield
705,Anthem College-Fenton
706,Anthem College-Irving
707,Anthem College-Kansas City
708,Anthem College-Maryland Heights
709,Anthem College-Minnesota
710,Anthem College-Orlando
711,Anthem College-Phoenix
712,Anthem College-Portland
713,Anthem Institute - Manhattan
714,Anthem Institute-Cherry Hill
715,Anthem Institute-Jersey City
716,Anthem Institute-Las Vegas
717,Anthem Institute-Manhattan
718,Anthem Institute-North Brunswick
719,Anthem Institute-Parsippany
720,Anthem Institute-Springfield
721,Antilles School of Technical Careers
722,Antioch College
723,Antonelli College
724,Antonelli College-Cincinnati
725,Antonelli Institute
726,Antonelli Medical and Professional Institute
727,Apex Academy of Hair Design Inc
728,Apex School of Theology
729,Apex Technical School
730,Apollo Career Center
731,Apollo College
732,Apollo College-Phoenix Inc
733,Apollo College-Portland Inc
734,Apostolic Bible Institute Inc
735,Appalachian Beauty School
736,Appalachian Bible College
737,Appalachian College of Pharmacy
738,Appalachian School of Law
739,Appalachian State University
740,Applied Technology Services
741,Aquinas College
742,Aquinas Institute of Theology
743,Arapahoe Community College
744,Arcadia University
745,Argosy University-Atlanta
746,Argosy University-Atlanta Campus
747,Argosy University-Chicago
748,Argosy University-Chicago Campus
749,Argosy University-Chicago West
750,Argosy University-Denver
