,instname,city,zip,tuition01,tuition02,tuition03,nettuition01,net_student_tuition,private03,stable_operating_rev,total03_revenue,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,total_executive_admin_managerial,total_faculty_all,full_time_employees,all_employees,salarytotal
439,Rice University,Houston,77005,,,66224000.0,38541224.0,37339804.0,98482832.0,105937980.0,750483968.0,4274.0,24.0,481.0,224.0,325.0,1848.0,,862.0,510.0,92.0,607.0,1875.0,2123.0,38684174.0
440,Redstone Institute-Houston,Houston,77061,,,5175805.0,5175805.0,5175805.0,,5205110.0,5205110.0,369.0,1.0,50.0,53.0,100.0,159.0,,6.0,0.0,,,,,
441,Aviation Institute of Maintenance,Houston,77061,,,5379925.0,5359725.0,4753257.0,,5580786.0,5580786.0,402.0,1.0,15.0,64.0,146.0,158.0,,16.0,2.0,,,,,
442,Aviation Institute of Maintenance-Houston,Houston,77061,,,3440351.0,3440351.0,3440351.0,,3440351.0,3440351.0,105.0,2.0,8.0,11.0,36.0,44.0,4.0,0.0,0.0,6.0,13.0,23.0,27.0,
443,Ranger College,Ranger,76470,,,815785.0,423939.0,-374756.0,500.0,4461483.0,5709302.0,827.0,5.0,2.0,168.0,103.0,537.0,,5.0,7.0,9.0,52.0,69.0,113.0,772844.0
444,DELTA QUALA TRAINING INC,FT WORTH,76106,,,,,,,,,,,,,,,,,,,,,,
445,PROFESSIONAL CAREER COLLEGE,RICHARDSON,75080,,,1180284.0,1180284.0,1022056.0,,1341668.0,1341668.0,215.0,0.0,0.0,0.0,18.0,169.0,,0.0,0.0,10.0,9.0,19.0,19.0,
446,Prairie View A & M University,Prairie View,77446,,,16537390.0,14358317.0,893645.0,1475227.0,86917663.0,97372536.0,6271.0,0.0,57.0,5501.0,110.0,450.0,,4.0,146.0,79.0,283.0,860.0,917.0,12317936.0
447,Paul Quinn College,Dallas,75241,,,2922878.0,1998017.0,-1947575.0,2874456.0,6671266.0,9886415.0,670.0,0.0,3.0,601.0,35.0,18.0,,0.0,13.0,18.0,49.0,108.0,116.0,756164.0
448,Paris Junior College,Paris,75460,,,3844935.0,3326001.0,1217399.0,,17376218.0,19844568.0,2906.0,45.0,25.0,404.0,83.0,2345.0,,0.0,4.0,24.0,147.0,163.0,261.0,2765873.0
449,Panola College,Carthage,75633,,,1766100.0,1287956.0,-143260.0,17179.0,11071431.0,12817903.0,1522.0,4.0,3.0,272.0,46.0,1196.0,,0.0,1.0,8.0,102.0,132.0,174.0,2423411.0
450,PAGE PARKES CENTER OF MODELING AND ACTING,HOUSTON,77098,,,,,,,,,,,,,,,,,,,,,,
451,Our Lady of the Lake University-San Antonio,San Antonio,78207-468,,,29833040.0,25149228.0,22235798.0,1631098.0,32835954.0,39601368.0,3564.0,10.0,62.0,325.0,1905.0,1131.0,,104.0,27.0,25.0,269.0,437.0,591.0,5883562.0
452,Odessa College,Odessa,79764,,,4223440.0,3463833.0,1225556.0,139181.0,29750223.0,32840816.0,4777.0,36.0,57.0,191.0,1686.0,2804.0,,0.0,3.0,13.0,420.0,355.0,729.0,4584015.0
453,Ocean Corporation,Houston,77099,,,2140810.0,2140810.0,1916394.0,,2166254.0,2196756.0,128.0,2.0,1.0,4.0,12.0,109.0,,0.0,0.0,,,,,
454,Oblate School of Theology,San Antonio,78216-669,,,1003023.0,1003023.0,1003023.0,2197369.0,3336896.0,6014978.0,144.0,0.0,0.0,4.0,35.0,73.0,,0.0,0.0,13.0,18.0,53.0,59.0,420154.0
455,Northeast Texas Community College,Mount Pleasant,75455,,,1952985.0,1905736.0,149876.0,70721.0,10957086.0,12551734.0,1956.0,11.0,8.0,170.0,113.0,1654.0,,0.0,0.0,15.0,100.0,157.0,246.0,1834144.0
456,University of North Texas,Denton,76203-127,,,84762048.0,76418160.0,59628149.0,12187895.0,259018681.0,287704320.0,26493.0,218.0,999.0,2276.0,2001.0,19109.0,,639.0,1251.0,119.0,1870.0,2425.0,3663.0,40083055.0
457,North Lake College,Irving,75038-389,,,7013418.0,6871449.0,5486615.0,,26028563.1894531,27253056.0,7030.0,43.0,654.0,934.0,1064.0,3953.0,,43.0,339.0,37.0,666.0,223.0,1181.0,3380867.0
458,Neilson Beauty College,Dallas,75208,,,186338.0,186338.0,93169.0,,352401.0,259232.0,74.0,0.0,0.0,0.0,73.0,0.0,,0.0,0.0,,,,,
459,Navarro College,Corsicana,75110,,,4113439.0,3905022.0,1540234.0,168338.0,19335978.0,22167744.0,3611.0,9.0,110.0,699.0,271.0,2379.0,,0.0,143.0,42.0,234.0,209.0,374.0,3108709.0
460,International Beauty College,Irving,75061-423,,,116175.0,116175.0,62919.0,,403217.0,349980.0,102.0,0.0,65.0,14.0,11.0,0.0,,0.0,0.0,,,,,
461,Tint School of Makeup and Cosmetology,Irving,75061-4235,,,762398.0,762398.0,458319.0,,864320.0,864320.0,53.0,0.0,3.0,9.0,32.0,8.0,0.0,1.0,0.0,1.0,2.0,4.0,4.0,
462,Tint School of Makeup and Cosmetology-Irving,Irving,75061-4235,,,750055.0,750055.0,492497.0,,802473.0,544915.0,67.0,4.0,3.0,16.0,37.0,7.0,0.0,0.0,0.0,1.0,2.0,4.0,5.0,
463,UNITED STATES NATIONAL TENNIS ACADEMY,Dallas,75204-5881,,,,,,,,,,,,,,,,,,,,,,
464,Everest Institute-San Antonio,San Antonio,78213,,,9998831.0,9997656.0,7519694.0,,9997656.0,9998831.0,1033.0,0.0,3.0,77.0,652.0,146.0,,155.0,0.0,,,,,
465,Mountain View College,Dallas,75211-659,,,3617717.0,3577744.0,1117600.0,6695.0,18963511.0,20930044.0,5121.0,35.0,190.0,1453.0,1722.0,1666.0,,24.0,31.0,24.0,367.0,198.0,807.0,3681991.0
466,Southern Careers Institute-Austin,Austin,78704,,,4655742.0,4655742.0,3032157.0,,4655742.0,4655742.0,142.0,0.0,3.0,39.0,64.0,33.0,3.0,0.0,0.0,,,,,
467,MODERN BARBER COLLEGE,HOUSTON,77002,,,,,,,,,,,,,,,,,,,,,,
468,Wade College,Dallas,75207,,,1676616.0,1676616.0,1352591.0,,1676616.0,1715444.0,171.0,0.0,0.0,39.0,25.0,100.0,,0.0,0.0,4.0,8.0,12.0,16.0,94912.0
469,Mims Classic Beauty College,San Antonio,78216-821,,,197184.0,197184.0,56256.0,,262270.0,262679.0,60.0,0.0,0.0,0.0,27.0,23.0,,0.0,0.0,,,,,
470,Midwestern State University,Wichita Falls,76308-209,,,18340296.0,15708269.0,9066331.0,2492195.0,47423399.0,55229864.0,5765.0,49.0,146.0,407.0,406.0,4411.0,,0.0,346.0,38.0,294.0,495.0,1063.0,8957698.0
471,Midland College,Midland,79705,,,4118945.0,3462276.0,772209.0,5845181.0,25571157.0,34202476.0,4733.0,22.0,58.0,258.0,1200.0,3150.0,,0.0,45.0,38.0,253.0,269.0,759.0,3537331.0
472,Metroplex Beauty School,Mesquite,75149-340,,,,-14256.0,-185064.0,,172358.0,395686.0,79.0,0.0,11.0,13.0,10.0,45.0,,0.0,0.0,,,,,
473,COVENANT HEALTH SYSTEMS SCHOOL OF RADIOLOGIC,LUBBOCK,79410,,,,,,,,,,,,,,,,,,,,,,
474,Covenant School of Nursing and Allied Health,Lubbock,79410-109,,,438863.0,436688.0,321259.0,,1555761.0,1666840.0,128.0,0.0,3.0,0.0,24.0,94.0,,0.0,0.0,,,,,
475,MEMORIAL HOSPITAL SCHOOL OF RADIOLOGIC TECHNOLOGY,HOUSTON,77074,,,,,,,,,,,,,,,,,,,,,,
476,MEMORIAL HERMANN MEMORIAL CITY HOSP SCH OF VOC NUR,HOUSTON,77024-2434,,,,,,,,,,,,,,,,,,,,,,
477,McMurry University,Abilene,79697,,,11066059.0,8434960.0,6932987.0,11326616.0,11390950.0,25909660.0,1339.0,11.0,22.0,106.0,145.0,1025.0,,18.0,12.0,10.0,78.0,218.0,223.0,3112120.0
478,McLennan Community College,Waco,76708,,,5886841.0,5508795.0,182376.0,,28433999.0,33708264.0,5589.0,17.0,87.0,839.0,656.0,3969.0,,0.0,21.0,30.0,271.0,419.0,546.0,6799841.0
479,MAYO-HILL SCHOOL OF MODELING,HOUSTON,77063-1620,,,,,,,,,,,,,,,,,,,,,,
480,MARY LYNNES BEAUTY SCHOOL,TEXARKANA,75502,,,,,,,,,,,,,,,,,,,,,,
481,University of Mary Hardin-Baylor,Belton,76513-259,,,17746312.0,15480924.0,10778819.0,2403065.0,22092516.0,29913272.0,2566.0,23.0,49.0,269.0,239.0,1959.0,,0.0,27.0,45.0,218.0,264.0,386.0,4402226.0
482,College of the Mainland,Texas City,77591-249,,,2513338.0,2467653.0,1007249.0,75326.0,26833696.0,28122832.0,3333.0,68.0,16.0,590.0,524.0,2117.0,,0.0,18.0,30.0,380.0,276.0,588.0,3308597.0
483,Lubbock Christian University,Lubbock,79407-209,,,11726439.0,7972153.0,5526145.0,1607313.0,17168669.0,18986246.0,1462.0,9.0,10.0,58.0,149.0,1210.0,,0.0,26.0,32.0,68.0,182.0,214.0,2167269.0
484,Lubbock Hair Academy,Lubbock,79410,,,,,,,,,,,,,,,,,,,,,,
485,Lon Morris College,Jacksonville,75766-080,,,2492873.0,1052859.0,373479.0,7085934.0,3084212.5078125,12524686.0,338.0,2.0,4.0,38.0,27.0,252.0,,0.0,15.0,10.0,31.0,66.0,83.0,700145.0
486,LINDSEY-COOPER REFRIGERATION SCHOOL INCORPORATED,IRVING,75060,,,,,,,,,,,,,,,,,,,,,,
487,Lincoln Technical Institute,Grand Prairie,75052,,,4101827.0,4049744.0,3667030.0,,4118356.0,4170439.0,352.0,2.0,9.0,62.0,125.0,150.0,,2.0,2.0,,,,,
488,Lincoln College of Technology,Grand Prairie,75052,,,16643801.0,16643801.0,11149587.0,,16744948.0,22138015.0,481.0,1.0,6.0,95.0,74.0,139.0,0.0,166.0,0.0,,,,,
489,Lincoln College of Technology-Grand Prairie,Grand Prairie,75052,,,20076808.0,20076808.0,11858825.0,,20249467.0,28294791.0,1839.0,4.0,29.0,387.0,516.0,604.0,5.0,294.0,0.0,,,,,2031041.0
490,LeTourneau University,Longview,75607-700,,,25005476.0,20945676.0,19437362.0,4189973.0,26256626.0,32109124.0,2805.0,18.0,33.0,395.0,166.0,2068.0,,70.0,55.0,34.0,173.0,205.0,363.0,2392161.0
491,Lee College,Baytown,77520,,,4588051.0,4054874.0,1743836.0,348076.0,31426461.0,34431600.0,5906.0,25.0,57.0,1011.0,1055.0,3715.0,,0.0,43.0,23.0,368.0,336.0,674.0,9273735.0
492,LATIN AMERICAN BIBLE INSITUTE,SAN ANTONIO,78254,,,,,,,,,,,,,,,,,,,,,,
493,LARRYS BARBER AND HAIRSTYLING COLLEGE,DALLAS,75232,,,,,,,,,,,,,,,,,,,,,,
494,Texas A & M International University,Laredo,78041-190,,,6045406.0,5065338.0,1494880.0,113602.0,40171687.0,44085296.0,3209.0,2.0,18.0,7.0,2823.0,185.0,,0.0,174.0,31.0,140.0,370.0,382.0,5597889.0
495,Laredo Community College,Laredo,78040-439,,,6478450.0,6188473.0,-2150968.0,157990.0,36261923.8125,43628024.0,7457.0,2.0,41.0,10.0,7118.0,170.0,,0.0,116.0,29.0,330.0,486.0,626.0,8913494.0
496,Laredo Beauty College Inc,Laredo,78040,,,3759858.0,3759858.0,3199283.0,,12314260.0,12314260.0,123.0,0.0,0.0,0.0,121.0,0.0,,0.0,0.0,,,,,
497,KINGS WAY MISSIONARY INSTITUTE,MCALLEN,78501,,,,,,,,,,,,,,,,,,,,,,
498,VOGUE COLLEGE OF COSMETOLOGY 21,KILLEEN,76541,,,,,,,,,,,,,,,,,,,,,,
499,Kilgore College,Kilgore,75662-329,,,5338893.0,4924718.40625,1915180.40625,,26195143.40625,29578984.0,4115.0,14.0,31.0,695.0,126.0,3140.0,,0.0,109.0,1.0,198.0,292.0,356.0,5151249.0
500,K D Studio,Dallas,75207,,,911694.0,890994.0,470123.0,,1318411.0,1759982.0,134.0,0.0,5.0,52.0,15.0,62.0,,0.0,0.0,11.0,19.0,12.0,35.0,
501,KD College Conservatory of Film and Dramatic Arts,Dallas,75207,,,2902920.0,2902920.0,2215605.0,,3593235.0,3306802.0,185.0,1.0,3.0,82.0,31.0,66.0,0.0,2.0,0.0,4.0,37.0,12.0,55.0,123016.0
502,Jarvis Christian College,Hawkins,75765-147,,,2573846.0,1314476.0,56480.0,2219873.0,6466338.0,11843236.0,519.0,0.0,0.0,488.0,0.0,7.0,,0.0,18.0,24.0,67.0,114.0,142.0,1036000.0
503,Austin Business College,Austin,78741,,,317547.0,317547.0,-8639.0,,1158828.0,1158828.0,399.0,0.0,7.0,106.0,172.0,107.0,,0.0,7.0,10.0,13.0,24.0,25.0,106287.0
504,ITT Technical Institute-Houston West,Houston,77063-3751,,,7219017.0,7219017.0,6221500.0,,7219017.0,7219017.0,405.0,0.0,17.0,104.0,165.0,117.0,,2.0,0.0,6.0,22.0,44.0,51.0,638032.0
505,ITT Technical Institute-Arlington,Arlington,76011,,,10783510.0,10783510.0,9543291.0,,10783510.0,10783510.0,666.0,4.0,21.0,148.0,189.0,291.0,,13.0,0.0,8.0,30.0,49.0,68.0,578632.0
506,INTERNATIONAL TRAVEL INSTITUTE,HOUSTON,77057,,,,,,,,,,,,,,,,,,,,,,
507,INTERNATIONAL BIBLE COLLEGE,SAN ANTONIO,78228,,,,,,,,,,,,,,,,,,,,,,
508,University of the Incarnate Word,San Antonio,78209,,,32338488.0,31050628.0,27452737.0,3027706.0,39884339.0,41337324.0,3637.0,8.0,51.0,228.0,1815.0,1194.0,,200.0,141.0,33.0,124.0,459.0,459.0,5198590.0
509,IMAGE MAKER SCHOOL OF HAIR DESIGN,FT WORTH,76112,,,,,,,,,,,,,,,,,,,,,,
510,Huston-Tillotson University,Austin,78702-279,,,3299054.0,1990192.0,810488.0,4722287.0,6329349.0,12075453.0,547.0,0.0,23.0,409.0,40.0,34.0,,5.0,36.0,12.0,59.0,133.0,173.0,1181979.0
511,JOE G DAVIS SCHOOL OF VOCATIONAL NURSING,HUNTSVILLE,77340,,,,,,,,,,,,,,,,,,,,,,
512,Howard Payne University,Brownwood,76801-279,,,10121244.0,8769879.0,6141910.0,1802915.0,13232237.0,20405712.0,1496.0,9.0,45.0,104.0,135.0,1154.0,,40.0,9.0,7.0,133.0,203.0,255.0,3156533.0
513,University of Houston,Houston,77204-201,,,119319592.0,104885728.0,78207956.0,24142634.0,336650235.0,397836544.0,32651.0,166.0,5543.0,4259.0,5227.0,14279.0,,876.0,2301.0,66.0,1111.0,3420.0,3739.0,51522231.0
514,University of Houston-Victoria,Victoria,77901,,,3271874.0,2950391.0,2358911.0,295297.0,13698922.0,15129028.0,1526.0,1.0,54.0,160.0,215.0,1066.0,,0.0,30.0,5.0,84.0,126.0,193.0,1900229.0
515,HOUSTON SCHOOL OF FLORAL DESIGN,HOUSTON,77063,,,,,,,,,,,,,,,,,,,,,,
516,HOUSTON MONTESSORI CENTER,HOUSTON,77024-1330,,,,,,,,,,,,,,,,,,,,,,
517,University of Houston-Downtown,Houston,77002-101,,,18556572.0,17452100.0,10060921.0,1783763.0,46214734.0,54561100.0,8712.0,18.0,1009.0,2526.0,2818.0,2118.0,,10.0,213.0,40.0,444.0,477.0,746.0,8527446.0
518,Houston Community College System,Houston,77266-751,,,47417584.0,43791200.0,26997926.0,,173180979.0,191539824.0,37882.0,114.0,5491.0,9074.0,9583.0,13064.0,,0.0,556.0,164.0,2996.0,1597.0,4706.0,27616696.0
519,Houston Community College,Houston,77266-7517,,,106517131.0,94790188.0,15735432.0,1555967.0,338891841.0,386210627.0,54942.0,136.0,5331.0,14652.0,15836.0,10157.0,,3054.0,5776.0,132.0,3193.0,2033.0,5701.0,48566273.0
520,University of Houston-Clear Lake,Houston,77058-109,,,19235128.0,19105242.0,16673809.0,497767.0,58644076.0,60490444.0,7114.0,26.0,488.0,594.0,800.0,4702.0,,0.0,504.0,13.0,171.0,564.0,583.0,9534640.0
521,Houston Baptist University,Houston,77074-329,,,20915136.0,17413184.0,13881222.0,4256781.0,19749806.0,28365690.0,2362.0,0.0,327.0,405.0,274.0,1262.0,,0.0,94.0,33.0,136.0,282.0,296.0,5436708.0
522,Hill College,Hillsboro,76645,,,1920711.0,1304546.0,-71944.0,138441.0,11593347.0,13460518.0,2448.0,21.0,17.0,101.0,195.0,2048.0,,1.0,65.0,11.0,147.0,151.0,251.0,2114669.0
523,HENDRICK MEDICAL CENTER SCHOOL OF RADIOGRAPHY,ABILENE,79601-2316,,,,,,,30915.0,30915.0,19.0,0.0,0.0,0.0,0.0,15.0,,0.0,0.0,,,,,
524,Trinity Valley Community College,Athens,75751,,,2727049.0,2344185.0,165612.0,156518.0,20913183.0,23475684.0,3620.0,22.0,23.0,411.0,142.0,2993.0,,0.0,29.0,13.0,211.0,271.0,365.0,4789948.0
525,Hardin-Simmons University,Abilene,79698,,,16389108.0,13300823.0,11007730.0,12289787.0,19449015.0,36139544.0,2291.0,15.0,16.0,71.0,147.0,1836.0,,202.0,4.0,28.0,183.0,283.0,355.0,4902371.0
526,Hallmark Institute of Technology,San Antonio,78230-173,,,5412654.0,5412654.0,4514872.0,,5734265.0,5734265.0,,,,,,,,,,,,,,
527,Hallmark College of Technology/Hallmark College of Aeronautics,San Antonio,78230-1736,,,8963552.0,8963552.0,6998262.0,,8994026.0,9006656.0,771.0,3.0,12.0,95.0,474.0,185.0,,2.0,0.0,8.0,43.0,64.0,86.0,618289.0
528,GREGG SCHOOL OF AUCTIONEERING,LOCKNEY,79241,,,,,,,,,,,,,,,,,,,,,,
529,Grayson County College,Denison,75020-829,,,2927181.0,2218081.0,234068.0,295829.0,16540045.0,19694050.0,3338.0,63.0,17.0,202.0,97.0,2937.0,,0.0,22.0,22.0,171.0,184.0,308.0,3612385.0
530,GRAHAMS BARBER COLLEGE INC,DALLAS,75215,,,,,,,,,,,,,,,,,,,,,,
531,Galveston College,Galveston,77550-749,,,2110823.0,1938841.0,577888.0,246608.0,13219772.0625,14539381.0,2223.0,12.0,48.0,431.0,488.0,1216.0,,0.0,28.0,27.0,159.0,148.0,288.0,1750848.0
532,Franklin Beauty School,Houston,77021-290,,,522742.0,522742.0,289931.0,,540715.0,313149.0,116.0,0.0,0.0,113.0,0.0,0.0,,0.0,0.0,,,,,
533,Frank Phillips College,Borger,79008-511,,,1243244.0,1048389.0,266076.0,166428.0,6279373.0,7263760.0,1222.0,14.0,3.0,37.0,128.0,1034.0,,0.0,6.0,77.0,28.0,85.0,150.0,1022226.0
534,Fort Worth Beauty School,Fort Worth,76116,,,353822.0,353822.0,-25823.0,,404665.0,405950.0,130.0,0.0,44.0,0.0,32.0,5.0,,0.0,0.0,,,,,
535,FLETCHER AVIATION GROUP,HOUSTON,77061,,,,,,,,,,,,,,,,,,,,,,
536,Art Institute of Dallas,Dallas,75231-599,,,17526475.0,16833733.0,15455169.0,,19208965.0,18807015.0,1532.0,10.0,48.0,97.0,119.0,566.0,,691.0,1.0,15.0,94.0,128.0,176.0,1358429.0
537,The Art Institute of Dallas,Dallas,75231-5993,,,22376142.0,21352572.0,19699943.0,,24070336.0,26118846.0,1312.0,5.0,39.0,71.0,121.0,354.0,,722.0,0.0,23.0,72.0,153.0,182.0,2142195.0
538,South University-The Art Institute of Dallas,Dallas,75231-5993,,,43654170.0,42527941.0,32018403.0,,50619834.0,45923659.0,2241.0,20.0,55.0,238.0,245.0,766.0,6.0,901.0,10.0,,,,,3382006.0
539,Exposito School of Hair Design Ltd,Amarillo,79109-320,,,44657.0,44657.0,-72096.0,,331183.0,331183.0,53.0,0.0,0.0,0.0,0.0,43.0,,0.0,0.0,,,,,
540,Exposito School of Hair Design,Amarillo,79109-3208,,,397360.0,397360.0,164689.0,,566935.0,566935.0,81.0,0.0,0.0,5.0,21.0,52.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,
541,ESS COLLEGE OF BUSINESS,DALLAS,75206,,,5068893.0,5068893.0,3985148.0,,5809573.0,4930369.0,427.0,0.0,0.0,178.0,129.0,105.0,,0.0,0.0,14.0,30.0,45.0,59.0,
542,ESPANOLAS BEAUTY COLLEGE INC,HOUSTON,77020,,,,,,,,,,,,,,,,,,,,,,
543,Episcopal Theological Seminary of the Southwest,Austin,78705,,,398619.0,-189446.0,-189446.0,2119576.0,1727550.0,6630988.0,114.0,0.0,0.0,6.0,3.0,103.0,,0.0,2.0,9.0,11.0,37.0,41.0,344020.0
544,Western Technical College,El Paso,79901,,,1112016.0,933951.0,124153.0,,2662376.0,2975138.0,317.0,0.0,0.0,5.0,277.0,30.0,,5.0,0.0,2.0,15.0,41.0,41.0,369909.0
545,El Paso Community College,El Paso,79915-190,,,23668908.0,22941100.0,-1411724.0,,95905973.0,117255728.0,18680.0,108.0,118.0,490.0,15553.0,1945.0,,0.0,466.0,57.0,1189.0,1165.0,2749.0,15403564.0
546,El Centro College,Dallas,75202-360,,,4197435.0,4055481.0,1720128.0,642378.0,22849921.0,25541478.0,4187.0,29.0,127.0,1657.0,857.0,1396.0,,9.0,112.0,33.0,490.0,253.0,848.0,5176415.0
547,Eastfield College,Mesquite,75150-209,,,5060223.0,4944506.0,2153264.0,22624.0,25323874.0,27588274.0,7533.0,39.0,427.0,1569.0,1266.0,4130.0,,55.0,47.0,30.0,545.0,285.0,1036.0,5031016.0
548,Texas A & M University-Commerce,Commerce,75429-301,,,18992172.0,15871055.0,11285706.0,1165798.0,67237736.0,75291744.0,7908.0,101.0,99.0,1144.0,414.0,5894.0,,5.0,251.0,76.0,458.0,755.0,1009.0,11324836.0
549,Texas A & M University-Texarkana,Texarkana,75505,,,3102672.0,2978907.0,1217623.0,274387.0,12718211.0,13423158.0,1152.0,13.0,4.0,133.0,13.0,989.0,,0.0,0.0,13.0,32.0,104.0,108.0,1659322.0
550,Careers Unlimited,Tyler,75702,,,195382.0,195382.0,4761.0,,217481.0,217481.0,47.0,0.0,0.0,35.0,0.0,10.0,,0.0,0.0,,,,,
551,East Texas Baptist University,Marshall,75670-149,,,8802681.0,5424178.0,3168060.0,5942450.0,9260350.0,19657500.0,1301.0,10.0,3.0,75.0,43.0,1130.0,,0.0,40.0,9.0,96.0,187.0,246.0,2322939.0
552,DIANES SCHOOL OF MODELING,AMARILLO,79102,,,,,,,,,,,,,,,,,,,,,,
553,Del Mar College,Corpus Christi,78404-389,,,8009007.0,7556848.0,1528293.0,,55367587.0,60824524.0,9968.0,10.0,118.0,179.0,5244.0,4273.0,,0.0,144.0,30.0,662.0,637.0,1116.0,11277283.0
554,University of Dallas,Irving,75062-473,,,31680452.0,23845208.0,22937420.0,7352538.0,31797208.0,50276872.0,3211.0,18.0,178.0,198.0,286.0,2003.0,,121.0,407.0,6.0,304.0,278.0,621.0,5779076.0
555,Dallas Theological Seminary,Dallas,75204,,,6969810.0,5667352.0,5667352.0,11718347.0,8864748.0,22458380.0,1585.0,3.0,104.0,152.0,24.0,1058.0,,117.0,127.0,13.0,69.0,214.0,398.0,2593702.0
556,Dallas Institute of Funeral Service,Dallas,75227-431,,,967843.0,967843.0,649434.0,,1162285.0,1162285.0,,,,,,,,,,,,,,
557,Dallas County Community College District,Dallas,75202,,,1160314.0,1157741.0,1157741.0,,43661752.0,43664325.0,,,,,,,,,,,,,,
558,Dallas Christian College,Dallas,75234-729,,,1766324.0,1534137.0,1316794.0,820093.0,2464058.0,3063498.0,253.0,0.0,0.0,38.0,18.0,186.0,,0.0,8.0,7.0,31.0,31.0,79.0,214000.0
559,Dallas Baptist University,Dallas,75211-929,,,24443068.0,20918492.0,19817660.0,3500662.0,23537581.0,30240646.0,3921.0,117.0,76.0,786.0,250.0,2256.0,,219.0,217.0,20.0,87.0,272.0,301.0,3436876.0
560,CRISWELL COLLEGE,DALLAS,75246,,,,,,,,,,,,,,,,,,,,,,
561,Court Reporting Institute-Wheeler Institute of Texas,Dallas,75247,,,2451330.0,2451330.0,1837193.0,,2778966.0,3366218.0,463.0,0.0,8.0,123.0,93.0,239.0,,0.0,0.0,6.0,16.0,23.0,43.0,210475.0
562,COTHRON AVIATION INC,ARLINGTON,76018,,,,,,,,,,,,,,,,,,,,,,
563,Texas A & M University-Corpus Christi,Corpus Christi,78412-550,,,16719887.0,14783793.0,9637413.0,1885159.0,70108830.0,77470760.0,6604.0,39.0,135.0,202.0,2538.0,3611.0,,0.0,79.0,44.0,360.0,694.0,856.0,9896607.0
564,North Central Texas College,Gainesville,76240-469,,,3703719.0,3572438.0,1749980.0,100000.0,16773198.0,18616346.0,4257.0,51.0,80.0,209.0,255.0,3585.0,,0.0,77.0,20.0,250.0,180.0,369.0,2909939.0
565,PACE TRAVEL SCHOOL,AUSTIN,78768-4903,,,,,,,,,,,,,,,,,,,,,,
566,Conlee's College of Cosmetology,Kerrville,78028-445,,,61774.0,61123.0,25715.0,,133207.0,139069.0,33.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,
567,Concordia University at Austin,Austin,78705-279,,,6659893.0,5368893.0,4323863.0,1925559.0,7807373.0,9920679.0,770.0,3.0,4.0,39.0,94.0,559.0,,52.0,19.0,7.0,77.0,93.0,140.0,1200405.0
568,Concordia University Texas,Austin,78705-2799,,,14543941.0,10731571.0,8669628.0,1460274.0,14912929.0,16071633.0,1211.0,3.0,17.0,103.0,189.0,755.0,,143.0,1.0,26.0,170.0,126.0,272.0,1441641.0
569,Concordia University-Texas,Austin,78726,,,33781557.0,26838221.0,21326042.0,2325626.0,31733410.0,34676578.0,2573.0,12.0,58.0,479.0,538.0,1298.0,0.0,187.0,1.0,,,,,3060800.0
570,CLERICAL ART SCHOOL,HOUSTON,77057,,,,,,,,,285.0,0.0,38.0,72.0,74.0,99.0,,0.0,0.0,,,,,
571,Clarendon College,Clarendon,79226,,,762347.0,697638.0,87573.0,66582.0,4381865.4921875,5174013.0,837.0,8.0,3.0,74.0,76.0,670.0,,0.0,6.0,10.0,61.0,63.0,105.0,909987.0
572,CITIZEN MEDICAL CENTER SCHOOL OF RADIOLOGICAL TECH,VICTORIA,77901,,,,,,,,,,,,,,,,,,,,,,
573,Cisco Junior College,Cisco,76437,,,2595997.0,2169237.0,463830.0,3500.0,9511137.0,11721474.0,2636.0,16.0,36.0,259.0,355.0,1935.0,,0.0,35.0,7.0,140.0,137.0,210.0,2176222.0
574,Cisco College,Cisco,76437,,,6976223.0,6134520.0,1040495.0,466211.0,17757122.0,17654467.0,3759.0,15.0,44.0,321.0,677.0,2617.0,,44.0,41.0,,,,,2929918.0
575,Institute of Cosmetology & Esthetics,Houston,77036-212,,,254006.0,254006.0,142487.0,,371262.0,482781.0,72.0,0.0,28.0,12.0,0.0,0.0,,0.0,2.0,,,,,
576,CHRIST FOR THE NATIONS INSTITUTE,DALLAS,75224,,,,,,,,,,,,,,,,,,,,,,
577,Charles and Sues School of Hair Design,Bryan,77802,,,378071.0,378071.0,297502.0,,534088.0,470043.0,31.0,0.0,0.0,8.0,6.0,0.0,,0.0,0.0,,,,,
578,Central Texas College,Killeen,76549-419,,,12327415.0,11920530.0,7353314.0,,64122519.0,68793200.0,14636.0,158.0,564.0,4313.0,1948.0,6982.0,,567.0,104.0,74.0,1454.0,695.0,2155.0,5790547.0
579,Cedar Valley College,Lancaster,75134-379,,,2221233.0,2177419.0,837759.0,13261.0,14861457.0,16021179.0,2977.0,14.0,42.0,1364.0,264.0,1241.0,,45.0,7.0,27.0,240.0,176.0,511.0,2282202.0
580,Capitol City Careers,Austin,78735,,,892712.0,892712.0,716432.0,,933868.0,909406.0,103.0,0.0,0.0,0.0,27.0,65.0,,0.0,0.0,,,,,
