,instname,city,zip,tuition01,tuition02,tuition03,nettuition01,net_student_tuition,private03,stable_operating_rev,total03_revenue,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,total_executive_admin_managerial,total_faculty_all,full_time_employees,all_employees,salarytotal
213,Academy of Oriental Medicine at Austin,Austin,78757,,,2249703.0,2249703.0,2249703.0,,3445090.0,3455877.0,204.0,0.0,16.0,5.0,19.0,156.0,0.0,8.0,0.0,10.0,32.0,34.0,84.0,424260.0
214,American College of Acupuncture and Oriental Med,Houston,70063-410,,,729390.0,720890.0,685897.0,,893446.0,893446.0,98.0,0.0,44.0,4.0,5.0,34.0,,9.0,0.0,4.0,5.0,5.0,13.0,
215,SUCCESS INSTITUTE OF BUSINESS,HOUSTON,77092,,,,,,,,,,,,,,,,,,,,,,
216,JPS Institute for Health Career Development,Fort  Worth,76119,,,342412.0,332012.0,229394.0,,1438058.0,1537076.0,123.0,0.0,4.0,27.0,16.0,76.0,,0.0,0.0,,,,,
217,BROWN INSTITUTE OF COURT REPORTING AND BUSINESS,LONGVIEW,75601-5120,,,293677.0,293677.0,209154.0,,357129.0,360952.0,58.0,0.0,0.0,0.0,0.0,51.0,,0.0,0.0,,,,,
218,TEXAS STATE HORSESHOEING SCHOOL,KENNEDALE,46060-7211,,,,,,,,,,,,,,,,,,,,,,
219,CORPUS CHRISTI AVIATION,CORPUS CHRISTI,78415,,,,,,,,,,,,,,,,,,,,,,
220,GLASSON FLIGHT TRAINING,CORPUS CHRISTI,78415,,,,,,,,,,,,,,,,,,,,,,
221,CAREER BLAZERS LEARNING CENTERS OF HOUSTON,HOUSTON,77056,,,,,,,,,,,,,,,,,,,,,,
222,HOUSTON AREA PLUMBING JOINT APPRENTICESHIP COMM,HOUSTON,77009,,,,,,,,,,,,,,,,,,,,,,
223,MRC SCHOOL OF MASSAGE,HOUSTON,77098,,,,,,,,,,,,,,,,,,,,,,
