i_id,city,state,zip
9882,Durant,OK,74701-060
9883,Midfield,AL,35228-223
9884,Columbia,SC,29210
9885,North Charleston,SC,29406
9886,Jacksonville,FL,32256
9887,North Charleston,SC,29406
9888,Columbia,SC,29210
9889,Jacksonville,FL,32256
9890,Charlotte,NC,28217
9891,Vidalia,GA,30474
9892,South Easton,MA,2375
9893,Lakeland,FL,33801-603
9894,Collegedale,TN,37315-037
9895,Magnolia,AR,71753
9896,Camden,AR,71701
9897,Fullerton,CA,92831-169
9898,North Hollywood,CA,91601-3100
9899,Los Angeles,CA,90013
9900,Anaheim,CA,92801
9901,El Cajon,CA,92019-110
9902,Los Angeles,CA,90017
9903,Whittier,CA,90604
9904,Jacksonville,FL,32211-5123
9905,Laredo,TX,78041
9906,San Antonio,TX,78212
9907,San Antonio,TX,78212
9908,Corpus Christi,TX,78414
9909,Laredo,TX,78041
9910,Pharr,TX,78577
9911,Austin,TX,78704
9912,Brownsville,TX,78520
9913,Corpus Christi,TX,78414
9914,Corpus Christi,TX,78410
9915,Harlingen,TX,78550
9916,Pharr,TX,78577
9917,San Antonio,TX,78221
9918,Pharr,TX,78577
9919,San Antonio,TX,78221
9920,Dawsonville,GA,30534-9913
9921,Montgomery,AL,36117-355
9922,Memphis,TN,38104-221
9923,Tuskegee,AL,36083-068
9924,New Haven,CT,06515-135
9925,Griffin,GA,30223-2042
9927,Carbondale,IL,62901-451
9928,Edwardsville,IL,62026-100
9929,Carbondale,IL,62901-680
9930,Memphis,TN,38118-323
9931,South Portland,ME,04106-169
9933,Orangeburg,SC,29115
9934,Dallas,TX,75275-022
9935,Bethany,OK,73008
9936,Las Vegas,NV,89121-733
9937,North Dartmouth,MA,02747-125
9938,Manchester,NH,3106
9939,Ardmore,OK,73401
9940,Ashland,OR,97520
9941,Marietta,GA,30060-289
9942,Durant,OK,74701
9943,Hillsboro,OH,45133
9944,Orlando,FL,32809
9945,Winter Park,FL,32792
9946,Baton Rouge,LA,70813
9947,New Orleans,LA,70126
9948,Shreveport,LA,71107
9950,Baton Rouge,LA,70813
9951,Cedar City,UT,84720
9952,Bennington,VT,05201-600
9953,Buena Vista,VA,24416
9954,Central,SC,29630-102
9955,Mount Gay,WV,25637
9956,Valhalla,NY,10595
9957,Charlton,MA,1507
9958,Petersburg,VA,23803-513
9959,Petersburg,VA,23803-5133
9960,Alberta,VA,23821
9961,Santa Fe,NM,87505
9962,Cedar City,UT,84720
9963,Bolivar,MO,65613-259
9964,El Paso,TX,79925
9965,El Paso,TX,79925
9966,Tempe,AZ,85282
9967,Fort Myers,FL,33907-110
9968,Middleburg Heights,OH,44130-349
9969,Thomasville,GA,31792
9970,Albuquerque,NM,87109
9971,Tempe,AZ,85281
9972,Austin,TX,78735
9974,Liberal,KS,67901-159
9975,Marshall,MN,56258
9976,Summit,MS,39666-000
9978,San Antonio,TX,78221-013
9979,Altus,OK,73521
9980,Memphis,TN,38134-769
9981,Uvalde,TX,78801-629
9983,Tucson,AZ,85716
9984,Richlands,VA,24641-110
9985,Fennimore,WI,53809-977
