i_id,Institution,Location,Enrollment,Endowment (millions),Nickname,Conference,c_id
1542,Brown University,"Providence, Rhode Island","10,257","$4,700 ",Bears,Ivy League,10209
2705,Columbia University,"New York City, New York","30,810","$10,870 ",Lions,Ivy League,10209
2832,Cornell University,"Ithaca, New York","24,027","$7,230 ",Big Red,Ivy League,10209
3081,Dartmouth College,"Hanover, New Hampshire","6,608","$5,490 ",Big Green,Ivy League,10209
4659,Harvard University,"Cambridge, Massachusetts","20,739","$38,300 ",Crimson,Ivy League,10209
11536,University of Pennsylvania,"Philadelphia, Pennsylvania","22,432","$13,780 ",Quakers,Ivy League,10209
8606,Princeton University,"Princeton, New Jersey","8,374","$25,920 ",Tigers,Ivy League,10209
12510,Yale University,"New Haven, Connecticut","13,609","$29,350 ",Bulldogs,Ivy League,10209
2824,Coppin State University,"Baltimore, Maryland","2,348",,Eagles,MEAC,5741
3177,Delaware State University,"Dover, Delaware","4,768",,Hornets,MEAC,5741
4841,Howard University,"Washington, D.C.","9,399",,Bison/Lady Bison,MEAC,5741
11420,University of Maryland Eastern Shore,"Princess Anne, Maryland","2,888",,Hawks,MEAC,5741
7134,Morgan State University,"Baltimore, Maryland","7,763",,Bears,MEAC,5741
7679,Norfolk State University,"Norfolk, Virginia","5,601",,Spartans,MEAC,5741
7690,North Carolina Central University,"Durham, North Carolina","8,011",,Eagles,MEAC,5741
9809,South Carolina State University,"Orangeburg, South Carolina","2,479",,Bulldogs/Lady Bulldogs,MEAC,5741
1556,Bryant University,"Smithfield, Rhode Island","3,499","$174,200,000 ",Bulldogs,NEC,3381
2286,Central Connecticut State University,"New Britain, Connecticut","9,546","$63,000,000 ",Blue Devils,NEC,3381
3895,Fairleigh Dickinson University,"Teaneck, New Jersey","8,590","$100,000,000 ",Knights,NEC,3381
6217,Long Island University,Brooklyn and,"16,958","$96,987,000 ",Sharks,NEC,3381
6859,Merrimack College,"North Andover, Massachusetts","3,726","$50,568,000 ",Warriors,NEC,3381
7166,Mount St. Mary's University,"Emmitsburg, Maryland","1,889","$47,605,000 ",Mountaineers,NEC,3381
9396,Sacred Heart University,"Fairfield, Connecticut","5,974","$137,027,000 ",Pioneers,NEC,3381
10090,St. Francis College,"Brooklyn, New York","2,363","$77,536,000 ",Terriers,NEC,3381
9420,Saint Francis University,"Loretto, Pennsylvania","2,111","$44,863,000 ",Red Flash,NEC,3381
12162,Wagner College,"Staten Island, New York","1,762","$82,141,000 ",Seahawks,NEC,3381
919,Austin Peay State University,"Clarksville, Tennessee","10,344",,Governors,NEC,3381
3442,Eastern Illinois University,"Charleston, Illinois","8,626",,Panthers,OVC,1493
7214,Murray State University,"Murray, Kentucky","10,495",,Racers,OVC,1493
9863,Southeast Missouri State University,"Cape Girardeau, Missouri","11,978",,Redhawks,OVC,1493
10507,Tennessee State University,"Nashville, Tennessee","8,775",,Tigers/Lady Tigers,OVC,1493
10508,Tennessee Technological University,"Cookeville, Tennessee","10,492",,Golden Eagles,OVC,1493
10793,The University of Tennessee,"Martin, Tennessee","6,705",,Skyhawks,OVC,1493
654,American University,"Washington, D.C.","6,028","$708,000,000 ",Eagles,Patriot League,5961
11095,United States Military Academy,"West Point, New York","4,686",N/A,Black Knights,Patriot League,5961
1432,Boston University,"Boston, Massachusetts","15,803","$2,430,000,000 ",Terriers,Patriot League,5961
1582,Bucknell University,"Lewisburg, Pennsylvania","3,650","$801,000,000 ",Bison,Patriot League,5961
2590,Colgate University,"Hamilton, New York","2,837","$908,000,000 ",Raiders,Patriot League,5961
2649,College of the Holy Cross,"Worcester, Massachusetts","3,174","$767,600,000 ",Crusaders,Patriot League,5961
5961,Lafayette College,"Easton, Pennsylvania","2,382","$693,700,000 ",Leopards,Patriot League,5961
6095,Lehigh University,"Bethlehem, Pennsylvania","5,047","$1,400,000,000 ",Mountain Hawks,Patriot League,5961
6271,Loyola University Maryland,"Baltimore, Maryland","4,068","$206,000,000 ",Greyhounds,Patriot League,5961
11096,United States Naval Academy,"Annapolis, Maryland","4,400",N/A,Midshipmen,Patriot League,5961
1606,Butler University,"Indianapolis, Indiana","3,897",,Bulldogs,PFL,4593
3091,Davidson College,"Davidson, North Carolina","1,950",,Wildcats,PFL,4593
11291,University of Dayton,"Dayton, Ohio","8,353",,Flyers,PFL,4593
3280,Drake University,"Des Moines, Iowa","3,164",,Bulldogs,PFL,4593
6675,Marist College,"Poughkeepsie, New York","6,200",,Red Foxes,PFL,4593
7130,Morehead State University,"Morehead, Kentucky","11,358",,Eagles,PFL,4593
8595,Presbyterian College,"Clinton, South Carolina","1,172",,Blue Hose,PFL,4593
11697,University of St Thomas,"St. Paul, Minnesota","9,878",,Tommies,PFL,4593
11654,University of San Diego,"San Diego, California","4,904",,Toreros,PFL,4593
10149,Stetson University,"DeLand, Florida","4,330",,Hatters,PFL,4593
11913,Valparaiso University,"Valparaiso, Indiana","2,917",,Beacons,PFL,4593
10793,The University of Tennessee at Chattanooga,"Chattanooga, Tennessee","11,728",$147.10 ,Mocs,SoCon,3853
2476,Citadel Military College of South Carolina,"Charleston, South Carolina","3,693",$305.80 ,Bulldogs,SoCon,3853
3427,East Tennessee State University,"Johnson City, Tennessee","9,151",$130.10 ,Buccaneers,SoCon,3853
4146,Furman University,"Greenville, South Carolina","2,629",$694 ,Paladins,SoCon,3853
6833,Mercer University,"Macon, Georgia","9,026",$424 ,Bears,SoCon,3853
9506,Samford University,"Homewood, Alabama","5,729",$297 ,Bulldogs,SoCon,3853
11497,University of North Carolina at Greensboro,"Greensboro, North Carolina","19,764",$310.30 ,Spartans,SoCon,3853
12005,Virginia Military Institute,"Lexington, Virginia","1,772",$539.60 ,Keydets,SoCon,3853
12296,Western Carolina University,"Cullowhee, North Carolina","12,243",$88.90 ,Catamounts,SoCon,3853
12428,Wofford College,"Spartanburg, South Carolina","1,773",$208.10 ,Terriers,SoCon,3853
4830,Houston Baptist University,"Houston, Texas","4,120",,Huskies,SLC,8827
11789,University of the Incarnate Word,"San Antonio, Texas","10,984",,Cardinals,SLC,8827
6761,McNeese State University,"Lake Charles, Louisiana","7,648",,Cowboys/Cowgirls,SLC,8827
11489,University of New Orleans,"New Orleans, Louisiana","8,151",,Privateers,SLC,8827
7666,Nicholls State University,"Thibodaux, Louisiana","6,366",,Colonels,SLC,8827
7837,Northwestern State University of Louisiana,"Natchitoches, Louisiana","10,979",,Demons/Lady Demons,SLC,8827
9881,Southeastern Louisiana University,"Hammond, Louisiana","14,327",,Lions/Lady Lions,SLC,8827
10546,Texas A & M University-Corpus Christi,"Corpus Christi, Texas","11,929",,Islanders,SLC,8827
466,Alabama A & M University,"Normal, Alabama","6,172",,Bulldogs (men's),SWAC,1593
468,Alabama State University,"Montgomery, Alabama","4,190",,Hornets (men's),SWAC,1593
1337,Bethune-Cookman University,"Daytona Beach, Florida","2,901",,Wildcats (men's),SWAC,1593
3989,Florida Agricultural and Mechanical University,"Tallahassee, Florida","9,626",,Rattlers (men's),SWAC,1593
5480,Jackson State University,"Jackson, Mississippi","6,375",,Tigers (men's),SWAC,1593
7051,Mississippi Valley State University,"Itta Bena, Mississippi","2,147",,Delta Devils (men's),SWAC,1593
491,Alcorn State University,"Lorman, Mississippi","3,523",,Braves (men's),SWAC,1593
4355,Grambling State University,"Grambling, Louisiana","5,438",,Tigers (men's),SWAC,1593
8585,Prairie View A & M University,"Prairie View, Texas","9,350",,Panthers (men's),SWAC,1593
9950,Southern University,"Baton Rouge, Louisiana","7,140",,Jaguars (men's),SWAC,1593
10571,Texas Southern University,"Houston, Texas","7,524",,Tigers (men's),SWAC,1593
11194,University of Arkansas at Pine Bluff,"Pine Bluff, Arkansas","2,498",,Golden Lions (men's),SWAC,1593
341,Abilene Christian University,"Abilene, Texas","5,334","$638,000,000 ",Wildcats,WAC,7676
1999,California Baptist University,"Riverside, California","11,491","$103,827,086 ",Lancers,WAC,7676
2422,Chicago State University,"Chicago, Illinois","2,620","$5,157,070 ",Cougars,WAC,7676
3244,Dixie State College of Utah,"St. George, Utah","12,650","$16,300,000 ",Trailblazers,WAC,7676
4356,Grand Canyon University,"Phoenix, Arizona","25,000","$21,600,000 ",Antelopes,WAC,7676
5993,Lamar University,"Beaumont, Texas","17,488","$128,500,000[10]",Cardinals & Lady Cardinals,WAC,7676
7615,New Mexico State University,"Las Cruces, New Mexico","21,694","$176,266,000 ",Aggies,WAC,7676
9504,Sam Houston State University,"Huntsville, Texas","21,679","$116,839,000 ",Bearkats,WAC,7676
9661,Seattle University,"Seattle, Washington","7,755","$241,200,000 ",Redhawks,WAC,7676
10145,Stephen F Austin State University,"Nacogdoches, Texas","11,946","$81,700,000 ",Lumberjacks & Ladyjacks,WAC,7676
10456,Tarleton State University,"Stephenville, Texas","13,996","$42,000,000 ",Texans,WAC,7676
12576,The University of Texas at Rio Grande Valley,"Edinburg, Texas","32,419","$46,130,000 ",Vaqueros,WAC,7676
11829,Utah Valley University,"Orem, Utah","41,728","$34,800,000 ",Wolverines,WAC,7676
11082,Eastern Kentucky University,"Richmond, Kentucky","15,816",$54 ,Colonels,OVC,1493
8420,Pennsylvania State University,,,,,Big Ten,7907
1468,Brigham Young University,,,,,Independent,5923
11414,University of Manitoba,,,,,Foreign,1
12306,Western Michigan University,,,,,MAC,6845
11429,University of Massachusetts Amherst,,,,,Independent,5923
4359,Grand Valley State University,,,,,DIV-II,3948
16381,Navy,,,,,Independent,5923
6128,Liberty University,,,,,Independent,5923
11287,University of Connecticut,,,,,Independent,5923
1275,Bellarmine University,"Louisville, Kentucky","3,369",,Knights,ASUN,5497
11256,University of Central Arkansas,"Conway, Arkansas","10,869",,Bears & Sugar Bears,ASUN,5497
11082,Eastern Kentucky University,"Richmond, Kentucky","16,959",,Colonels,ASUN,5497
4008,Florida Gulf Coast University,"Fort Myers, Florida","15,076",,Eagles,ASUN,5497
5484,Jacksonville University,"Jacksonville, Florida","4,213",,Dolphins,ASUN,5497
5483,Jacksonville State University,"Jacksonville, Alabama","9,238",,Gamecocks,ASUN,5497
5748,Kennesaw State University,"Kennesaw, Georgia","41,181",,Owls,ASUN,5497
6128,Liberty University,"Lynchburg, Virginia","15,000",,Flames & Lady Flames,ASUN,5497
6187,Lipscomb University,"Nashville, Tennessee","4,620",,Bisons,ASUN,5497
11491,University of North Alabama,"Florence, Alabama","7,650",,Lions,ASUN,5497
11502,University of North Florida,"Jacksonville, Florida","16,309",,Ospreys,ASUN,5497
10149,Stetson University,"DeLand, Florida","4,330",,Hatters,ASUN,5497
11639,University of Rhode Island,,,,,CAA,8725
28760,Saint John's University in Collegeville,,,,,DIV-III,6358
