University,State,World Ranking,National Ranking,Year,Coeficient
University of California-Merced,CA,401,115,2020,4
University of Maine,ME,401,115,2020,4
University of North Texas,TX,401,115,2020,4
University of Oklahoma - Norman,OK,401,115,2020,4
Utah State University,UT,401,115,2020,4
Wake Forest University,NC,401,115,2020,4
West Virginia University,WV,401,115,2020,4
Auburn University,AL,501,138,2019,4
Baylor University,TX,501,138,2019,4
Georgia State University,GA,501,138,2019,4
Mississippi State University,MS,501,138,2019,4
Montana State University,MT,501,138,2019,4
Northern Arizona University,AZ,501,138,2019,4
Oklahoma State University,OK,501,138,2019,4
Rush University,IL,501,138,2019,4
San Diego State University,CA,501,138,2019,4
Southern Methodist University,TX,501,138,2019,4
Texas Tech University,TX,501,138,2019,4
University of Maine,ME,501,138,2019,4
Auburn University,AL,501,134,2020,4
Baylor University,TX,501,134,2020,4
Boston College,MA,501,134,2020,4
Clemson University,SC,501,134,2020,4
Loyola University Chicago,IL,501,134,2020,4
Mississippi State University,MS,501,134,2020,4
Northern Arizona University,AZ,501,134,2020,4
Oklahoma State University,OK,501,134,2020,4
Rush University,IL,501,134,2020,4
Southern Methodist University,TX,501,134,2020,4
Thomas Jefferson University,PA,501,134,2020,4
University of Idaho,ID,501,134,2020,4
University of Nevada-Las Vegas,NV,501,134,2020,4
University of New England,ME,501,24,2020,4
University of Wyoming,WY,501,134,2020,4
Wayne State University,MI,501,134,2020,4
Brescia University,KY,601,25,2019,4
Colorado School of Mines,CO,601,156,2019,4
Lehigh University,PA,601,156,2019,4
Loyola University Chicago,IL,601,156,2019,4
Medical College of Wisconsin,WI,601,156,2019,4
Northwest University,WA,601,73,2019,4
Old Dominion University,VA,601,156,2019,4
Syracuse University,NY,601,156,2019,4
The University of Texas at San Antonio,TX,601,156,2019,4
University of Idaho,ID,601,156,2019,4
University of Louisville,KY,601,156,2019,4
University of Nebraska Medical Center,NE,601,156,2019,4
University of New England,ME,601,26,2019,4
University of Rhode Island,RI,601,156,2019,4
Colorado School of Mines,CO,601,155,2020,4
Concordia University,OR,601,21,2020,4
Medical College of Wisconsin,WI,601,155,2020,4
Northwest University,WA,601,85,2020,4
Ohio University,OH,601,155,2020,4
Swarthmore College,PA,601,155,2020,4
Syracuse University,NY,601,155,2020,4
The University of Texas at San Antonio,TX,601,155,2020,4
Tulane University,LA,601,155,2020,4
University of Louisville,KY,601,155,2020,4
University of Nebraska Medical Center,NE,601,155,2020,4
University of Texas at El Paso,TX,601,155,2020,4
University of Toledo,OH,601,155,2020,4
University of Wisconsin-Milwaukee,WI,601,155,2020,4
Amherst College,MA,701,172,2019,4
East Carolina University,NC,701,172,2019,4
Michigan Technological University,MI,701,172,2019,4
Ohio University,OH,701,172,2019,4
Stevens Institute of Technology,NJ,701,172,2019,4
Swarthmore College,PA,701,172,2019,4
University of Arkansas for Medical Sciences,AR,701,172,2019,4
University of Nevada-Las Vegas,NV,701,172,2019,4
University of Texas at El Paso,TX,701,172,2019,4
Brescia University,KY,701,31,2020,4
Lehigh University,PA,701,176,2020,4
Michigan Technological University,MI,701,176,2020,4
Old Dominion University,VA,701,176,2020,4
University of Arkansas for Medical Sciences,AR,701,176,2020,4
College of William and Mary,VA,801,182,2019,3
Concordia University,OR,801,26,2019,3
Haverford College,PA,801,182,2019,3
Lincoln University,MO,801,8,2019,3
Portland State University,OR,801,182,2019,3
The University of Akron,OH,801,182,2019,3
University of Arkansas at Little Rock,AR,801,182,2019,3
University of Mississippi,MS,801,182,2019,3
