University,State,Zip Code,World Ranking,National Ranking,Year,Coeficient
Stevens Institute of Technology,NJ,07030-599,901,191,2020,3
Stony Brook University,NY,11794,201,72,2016,5
Stony Brook University,NY,11794,201,71,2017,5
Stony Brook University,NY,11794,301,96,2018,5
Stony Brook University,NY,11794,201,67,2019,5
Stony Brook University,NY,11794,201,66,2020,5
Swarthmore College,PA,19081,701,172,2019,4
Swarthmore College,PA,19081,601,155,2020,4
Syracuse University,NY,13244-110,601,156,2019,4
Syracuse University,NY,13244-110,601,155,2020,4
Temple University,PA,19122-609,301,99,2016,5
Temple University,PA,19122-609,301,100,2017,5
Temple University,PA,19122-609,301,96,2018,5
Temple University,PA,19122-609,301,95,2019,5
Temple University,PA,19122-609,301,95,2020,5
Texas A&M University,TX,77843,101,51,2016,6
Texas A&M University,TX,77843,101,49,2017,6
Texas A&M University,TX,77843,151,59,2018,6
Texas A&M University,TX,77843,151,59,2019,6
Texas A&M University,TX,77843,151,57,2020,6
Texas Tech University,TX,79409-500,401,120,2016,4
Texas Tech University,TX,79409-500,401,118,2018,4
Texas Tech University,TX,79409-500,501,138,2019,4
Texas Tech University,TX,79409-500,401,115,2020,4
The University of Akron,OH,44325,801,182,2019,3
The University of Akron,OH,44325,901,191,2020,3
The University of New Mexico - Albuquerque,NM,87131,201,72,2016,5
The University of New Mexico - Albuquerque,NM,87131,301,100,2017,5
The University of New Mexico - Albuquerque,NM,87131,301,96,2018,5
The University of New Mexico - Albuquerque,NM,87131,301,95,2019,5
The University of New Mexico - Albuquerque,NM,87131,301,95,2020,5
The University of Texas at Austin,TX,78712,44,30,2016,8
The University of Texas at Austin,TX,78712,51,30,2017,7
The University of Texas at Austin,TX,78712,40,27,2018,8
The University of Texas at Austin,TX,78712,45,28,2019,8
The University of Texas at Austin,TX,78712,41,25,2020,8
The University of Texas at San Antonio,TX,78249,601,156,2019,4
The University of Texas at San Antonio,TX,78249,601,155,2020,4
Thomas Jefferson University,PA,19107,301,99,2016,5
Thomas Jefferson University,PA,19107,401,120,2017,4
Thomas Jefferson University,PA,19107,401,118,2018,4
Thomas Jefferson University,PA,19107,401,117,2019,4
Thomas Jefferson University,PA,19107,501,134,2020,4
Tufts University,MA,02155-555,101,51,2016,6
Tufts University,MA,02155-555,151,61,2017,6
Tufts University,MA,02155-555,151,59,2018,6
Tufts University,MA,02155-555,151,59,2019,6
Tufts University,MA,02155-555,151,57,2020,6
Tulane University,LA,70118,401,117,2019,4
Tulane University,LA,70118,601,155,2020,4
Union College,NY,12308-231,901,193,2019,3
University of Alabama at Birmingham,AL,35294-011,201,72,2016,5
University of Alabama at Birmingham,AL,35294-011,201,71,2017,5
University of Alabama at Birmingham,AL,35294-011,201,70,2018,5
University of Alabama at Birmingham,AL,35294-011,201,67,2019,5
University of Alabama at Birmingham,AL,35294-011,301,95,2020,5
University of Arizona,AZ,85721-006,101,51,2016,6
University of Arizona,AZ,85721-006,99,48,2017,7
University of Arizona,AZ,85721-006,101,47,2018,6
University of Arizona,AZ,85721-006,101,46,2019,6
University of Arizona,AZ,85721-006,101,42,2020,6
University of Arkansas at Little Rock,AR,72204,801,182,2019,3
University of Arkansas at Little Rock,AR,72204,901,191,2020,3
University of Arkansas for Medical Sciences,AR,72205,701,172,2019,4
University of Arkansas for Medical Sciences,AR,72205,701,176,2020,4
University of California-Merced,CA,95343,401,115,2020,4
"University of California, Berkeley",CA,94720,3,3,2016,10
"University of California, Berkeley",CA,94720,5,4,2017,10
"University of California, Berkeley",CA,94720,5,4,2018,10
"University of California, Berkeley",CA,94720,5,4,2019,10
"University of California, Berkeley",CA,94720,5,4,2020,10
"University of California, Los Angeles",CA,90095,12,10,2016,8
"University of California, Los Angeles",CA,90095,12,10,2017,8
"University of California, Los Angeles",CA,90095,11,9,2018,8
"University of California, Los Angeles",CA,90095,11,9,2019,8
"University of California, Los Angeles",CA,90095,13,11,2020,8
University of Central Florida,FL,32816,401,120,2016,4
University of Central Florida,FL,32816,301,100,2017,5
University of Central Florida,FL,32816,301,96,2018,5
University of Central Florida,FL,32816,301,95,2019,5
University of Central Florida,FL,32816,301,95,2020,5
University of Chicago,IL,60637,10,8,2016,9
University of Chicago,IL,60637,10,8,2017,9
University of Chicago,IL,60637,10,8,2018,9
University of Chicago,IL,60637,10,8,2019,9
University of Chicago,IL,60637,10,8,2020,9
University of Cincinnati,OH,45221,201,72,2016,5
University of Cincinnati,OH,45221,301,100,2017,5
University of Cincinnati,OH,45221,301,96,2018,5
University of Cincinnati,OH,45221,301,95,2019,5
University of Cincinnati,OH,45221,201,66,2020,5
University of Colorado at Boulder,CO,80309-001,38,27,2016,8
University of Colorado at Boulder,CO,80309-001,43,27,2017,8
University of Colorado at Boulder,CO,80309-001,38,26,2018,8
University of Colorado at Boulder,CO,80309-001,38,25,2019,8
University of Colorado at Boulder,CO,80309-001,44,27,2020,8
University of Connecticut,CT,6269,301,99,2016,5
University of Connecticut,CT,6269,301,100,2017,5
University of Connecticut,CT,6269,301,96,2018,5
University of Connecticut,CT,6269,201,67,2019,5
University of Connecticut,CT,6269,201,66,2020,5
University of Delaware,DE,19716,151,62,2016,6
University of Delaware,DE,19716,151,61,2017,6
University of Delaware,DE,19716,201,70,2018,5
University of Delaware,DE,19716,201,67,2019,5
University of Delaware,DE,19716,201,66,2020,5
University of Denver,CO,80208,901,193,2019,3
University of Denver,CO,80208,901,191,2020,3
University of Florida,FL,32611,90,45,2016,7
University of Florida,FL,32611,88,46,2017,7
University of Florida,FL,32611,86,41,2018,7
University of Florida,FL,32611,95,41,2019,7
University of Florida,FL,32611,88,37,2020,7
University of Hawaii at Manoa,HI,96822-230,151,62,2016,6
University of Hawaii at Manoa,HI,96822-230,201,71,2017,5
University of Hawaii at Manoa,HI,96822-230,201,70,2018,5
University of Hawaii at Manoa,HI,96822-230,201,67,2019,5
University of Hawaii at Manoa,HI,96822-230,301,95,2020,5
University of Houston,TX,77204-201,201,72,2016,5
University of Houston,TX,77204-201,201,71,2017,5
University of Houston,TX,77204-201,201,70,2018,5
University of Houston,TX,77204-201,201,67,2019,5
University of Houston,TX,77204-201,201,66,2020,5
University of Idaho,ID,83844-228,601,156,2019,4
University of Idaho,ID,83844-228,501,134,2020,4
University of Illinois at Chicago,IL,60607,201,72,2016,5
University of Illinois at Chicago,IL,60607,201,71,2017,5
University of Illinois at Chicago,IL,60607,201,70,2018,5
University of Illinois at Chicago,IL,60607,201,67,2019,5
University of Illinois at Chicago,IL,60607,201,66,2020,5
University of Illinois at Urbana-Champaign,IL,61801,30,23,2016,8
University of Illinois at Urbana-Champaign,IL,61801,37,26,2017,8
University of Illinois at Urbana-Champaign,IL,61801,41,28,2018,8
University of Illinois at Urbana-Champaign,IL,61801,38,25,2019,8
University of Illinois at Urbana-Champaign,IL,61801,45,28,2020,8
