"institution","wranking","nranking","year","city","state","zip"
"University of North Texas",301,99,2016,"Denton","TX","76203-127"
"University of Oregon",301,99,2016,"Eugene","OR","97403"
"Wayne State University",301,99,2016,"Detroit","MI","48202"
"Temple University",301,99,2016,"Philadelphia","PA","19122-609"
"University of North Texas",301,100,2017,"Denton","TX","76203-127"
"University of Connecticut",301,100,2017,"Storrs","CT","6269"
"Virginia Polytechnic Institute and State University",301,100,2017,"Blacksburg","VA","24061-013"
"University of Kentucky",301,100,2017,"Lexington","KY","40506-003"
"Brandeis University",301,100,2017,"Waltham","MA","02454-911"
"Brigham Young University",301,100,2017,"Provo","UT","84602"
"Temple University",301,100,2017,"Philadelphia","PA","19122-609"
"University of Vermont",301,100,2017,"Burlington","VT","05405-016"
"Boston College",301,100,2017,"Chestnut Hill","MA","2467"
"Wayne State University",301,100,2017,"Detroit","MI","48202"
"University of Central Florida",301,100,2017,"Orlando","FL","32816"
"University of Vermont",301,96,2018,"Burlington","VT","05405-016"
"Boston College",301,96,2018,"Chestnut Hill","MA","2467"
"Medical University of South Carolina",301,96,2018,"Charleston","SC","29425-010"
"Stony Brook University",301,96,2018,"Stony Brook","NY","11794"
"Temple University",301,96,2018,"Philadelphia","PA","19122-609"
"University of Central Florida",301,96,2018,"Orlando","FL","32816"
"University of Connecticut",301,96,2018,"Storrs","CT","6269"
"University of Kentucky",301,96,2018,"Lexington","KY","40506-003"
"University of North Texas",301,96,2018,"Denton","TX","76203-127"
"University of Oregon",301,96,2018,"Eugene","OR","97403"
"Washington State University",301,96,2018,"Pullman","WA","99164-100"
"Yeshiva University",301,96,2018,"New York","NY","10033-329"
"University of Notre Dame",301,95,2019,"Notre Dame","IN","46556"
"University of Central Florida",301,95,2019,"Orlando","FL","32816"
"Brandeis University",301,95,2019,"Waltham","MA","02454-911"
"Washington State University",301,95,2019,"Pullman","WA","99164-100"
"Georgetown University",301,95,2019,"Washington","DC","20057"
"Rensselaer Polytechnic Institute",301,95,2019,"Troy","NY","12180-359"
"Temple University",301,95,2019,"Philadelphia","PA","19122-609"
"Kansas State University",301,95,2019,"Manhattan","KS","66506"
"Dartmouth College",301,95,2019,"Hanover","NH","03755-352"
"University of Vermont",301,95,2019,"Burlington","VT","05405-016"
"University of Kentucky",301,95,2019,"Lexington","KY","40506-003"
"University of Oregon",301,95,2019,"Eugene","OR","97403"
"University of Kentucky",301,95,2020,"Lexington","KY","40506-003"
"University of Alabama at Birmingham",301,95,2020,"Birmingham","AL","35294-011"
"University of Oregon",301,95,2020,"Eugene","OR","97403"
