"player_id","pick","year","t_name","c_name","state"
1186,46,2020,"Pennsylvania State University","Big Ten","PA"
1186,46,2020,"Pennsylvania State University","Big Ten","PA"
1186,46,2020,"Pennsylvania State University","Big Ten","PA"
1186,46,2020,"Pennsylvania State University","Big Ten","PA"
1186,46,2020,"Pennsylvania State University","Big Ten","PA"
1186,46,2020,"Pennsylvania State University","Big Ten","PA"
1186,46,2020,"Pennsylvania State University","Big Ten","PA"
1186,46,2020,"Pennsylvania State University","Big Ten","PA"
1186,46,2020,"Pennsylvania State University","Big Ten","PA"
1186,46,2020,"Pennsylvania State University","Big Ten","PA"
146,46,2016,"The University of Alabama","SEC","AL"
664,46,2018,"University of Mississippi","SEC","MS"
1187,47,2020,"Auburn University","SEC","AL"
147,47,2016,"Ohio State University","Big Ten","OH"
665,47,2018,"Texas A&M University","SEC","TX"
665,47,2018,"Texas A&M University","SEC","TX"
406,47,2017,"University of Houston","AAC","TX"
927,47,2019,"University of Utah","PAC-12","UT"
148,48,2016,"Indiana State University","MVFC","IN"
928,48,2019,"Texas A&M University","SEC","TX"
928,48,2019,"Texas A&M University","SEC","TX"
407,48,2017,"University of Oklahoma","Big 12","OK"
407,48,2017,"University of Oklahoma","Big 12","OK"
407,48,2017,"University of Oklahoma","Big 12","OK"
407,48,2017,"University of Oklahoma","Big 12","OK"
666,48,2018,"University of South Carolina","SEC","SC"
1188,48,2020,"University of Tennessee","SEC","TN"
1188,48,2020,"University of Tennessee","SEC","TN"
1188,48,2020,"University of Tennessee","SEC","TN"
1188,48,2020,"University of Tennessee","SEC","TN"
667,49,2018,"South Dakota State University","MVFC","SD"
929,49,2019,"Texas Christian University","Big 12","TX"
408,49,2017,"The University of Alabama","SEC","AL"
149,49,2016,"The University of Alabama","SEC","AL"
1189,49,2020,"University of Notre Dame","ACC","IN"
409,50,2017,"Texas A&M University","SEC","TX"
409,50,2017,"Texas A&M University","SEC","TX"
930,50,2019,"The University of Alabama","SEC","AL"
668,50,2018,"The University of Texas at Austin","Big 12","TX"
150,50,2016,"University of Notre Dame","ACC","IN"
1190,50,2020,"University of Utah","PAC-12","UT"
410,51,2017,"Florida State University","ACC","FL"
151,51,2016,"Pennsylvania State University","Big Ten","PA"
151,51,2016,"Pennsylvania State University","Big Ten","PA"
151,51,2016,"Pennsylvania State University","Big Ten","PA"
151,51,2016,"Pennsylvania State University","Big Ten","PA"
151,51,2016,"Pennsylvania State University","Big Ten","PA"
151,51,2016,"Pennsylvania State University","Big Ten","PA"
