player_id,Pick,Round,Year,College,Conference,State,Coeficient
442,82,3,2017,Louisiana Tech University,C-USA,LA,5
701,82,3,2018,University of Louisiana at Lafayette,SBC,LA,5
963,82,3,2019,University of North Carolina at Charlotte,C-USA,NC,5
1223,82,3,2020,University of Oklahoma,Big 12,OK,5
184,83,3,2016,University of Georgia,SEC,GA,5
443,83,3,2017,Youngstown State University,MVFC,OH,5
702,83,3,2018,University of Oklahoma,Big 12,OK,5
964,83,3,2019,Michigan State University,Big Ten,MI,5
1224,83,3,2020,Louisiana State University - Baton Rouge,SEC,LA,5
185,84,3,2016,Virginia Polytechnic Institute and State University,ACC,VA,5
444,84,3,2017,Pennsylvania State University,Big Ten,PA,5
703,84,3,2018,North Carolina State University - Raleigh,ACC,NC,5
965,84,3,2019,Western Illinois University,MVFC,IL,5
1225,84,3,2020,The University of Alabama,SEC,AL,5
186,85,3,2016,Ohio State University,Big Ten,OH,5
445,85,3,2017,Troy University,SBC,AL,5
704,85,3,2018,University of Tennessee,SEC,TN,5
966,85,3,2019,Louisiana Tech University,C-USA,LA,5
1226,85,3,2020,University of Utah,PAC-12,UT,5
187,86,3,2016,Rutgers University,Big Ten,NJ,5
446,86,3,2017,University of Toledo,MAC,OH,5
705,86,3,2018,University of Oklahoma,Big 12,OK,5
967,86,3,2019,San Diego State University,MW,CA,5
1227,86,3,2020,University of Utah,PAC-12,UT,5
188,87,3,2016,Utah State University,MW,UT,5
447,87,3,2017,"University of California, Berkeley",PAC-12,CA,5
706,87,3,2018,Louisiana State University - Baton Rouge,SEC,LA,5
968,87,3,2019,The University of Alabama,SEC,AL,5
1228,87,3,2020,The University of Alabama,SEC,AL,5
189,88,3,2016,Utah State University,MW,UT,5
448,88,3,2017,"University of California, Los Angeles",PAC-12,CA,5
707,88,3,2018,Vanderbilt University,SEC,TN,5
969,88,3,2019,University of Utah,PAC-12,UT,5
1229,88,3,2020,The University of Texas at Austin,Big 12,TX,5
190,89,3,2016,South Carolina State University,MEAC,SC,5
449,89,3,2017,The University of Texas at Austin,Big 12,TX,5
708,89,3,2018,Texas Christian University,Big 12,TX,5
970,89,3,2019,Stanford University,PAC-12,CA,5
1230,89,3,2020,Mississippi State University,SEC,MS,5
191,90,3,2016,University of Notre Dame,ACC,IN,5
450,90,3,2017,University of Central Florida,AAC,FL,5
709,90,3,2018,University of South Florida,AAC,FL,5
971,90,3,2019,Pennsylvania State University,Big Ten,PA,5
1231,90,3,2020,Florida State University,ACC,FL,5
192,91,3,2016,North Carolina State University - Raleigh,ACC,NC,5
451,91,3,2017,Boston College,ACC,MA,5
710,91,3,2018,University of Central Florida,AAC,FL,5
1232,91,3,2020,"University of California, Los Angeles",PAC-12,CA,5
193,92,3,2016,Texas A&M University,SEC,TX,5
452,92,3,2017,University of Michigan-Ann Arbor,Big Ten,MI,5
973,92,3,2019,University of South Carolina,SEC,SC,5
1233,92,3,2020,The University of Texas at Austin,Big 12,TX,5
194,93,3,2016,University of South Carolina,SEC,SC,5
453,93,3,2017,Auburn University,SEC,AL,5
712,93,3,2018,The University of Alabama,SEC,AL,5
974,93,3,2019,University of Notre Dame,ACC,IN,5
1234,93,3,2020,Appalachian State University,SBC,NC,5
195,94,3,2016,Ohio State University,Big Ten,OH,5
454,94,3,2017,University of Tennessee,SEC,TN,5
975,94,3,2019,Auburn University,SEC,AL,5
1235,94,3,2020,University of Cincinnati,AAC,OH,5
196,95,3,2016,University of Michigan-Ann Arbor,Big Ten,MI,5
455,95,3,2017,University of Michigan-Ann Arbor,Big Ten,MI,5
714,95,3,2018,University of Southern Mississippi,C-USA,MS,5
976,95,3,2019,Old Dominion University,C-USA,VA,5
1236,95,3,2020,University of Arkansas,SEC,AR,5
197,96,3,2016,University of Nebraska - Lincoln,Big Ten,MA,5
456,96,3,2017,Northern Illinois University,MAC,IL,5
715,96,3,2018,Stanford University,PAC-12,CA,5
977,96,3,2019,University of Mississippi,SEC,MS,5
1237,96,3,2020,Texas Christian University,Big 12,TX,5
198,97,3,2016,Boise State University,MW,ID,4
457,97,3,2017,Clemson University,ACC,SC,4
716,97,3,2018,University of Michigan-Ann Arbor,Big Ten,MI,4
978,97,3,2019,University of Oklahoma,Big 12,OK,4
1238,97,3,2020,Louisiana State University - Baton Rouge,SEC,LA,4
199,98,3,2016,Boston College,ACC,MA,4
458,98,3,2017,Grambling State University,SWAC,LA,4
717,98,3,2018,University of Central Florida,AAC,FL,4
979,98,3,2019,Murray State University,OVC,KY,4
1239,98,3,2020,Ohio State University,Big Ten,OH,4
201,99,4,2016,University of Wisconsin - Madison,Big Ten,WI,4
459,99,3,2017,West Virginia University,Big 12,WV,4
718,99,3,2018,Boston College,ACC,MA,4
