,player_id,pick,year,t_name,c_name,state
638,444,84,2017,Pennsylvania State University,Big Ten,PA
650,1225,84,2020,The University of Alabama,SEC,AL
651,185,84,2016,Virginia Polytechnic Institute and State University,ACC,VA
652,965,84,2019,Western Illinois University,MVFC,IL
653,966,85,2019,Louisiana Tech University,C-USA,LA
654,186,85,2016,Ohio State University,Big Ten,OH
655,445,85,2017,Troy University,SBC,AL
656,704,85,2018,University of Tennessee,SEC,TN
660,1226,85,2020,University of Utah,PAC-12,UT
661,187,86,2016,Rutgers University,Big Ten,NJ
662,967,86,2019,San Diego State University,MW,CA
663,705,86,2018,University of Oklahoma,Big 12,OK
667,446,86,2017,University of Toledo,MAC,OH
668,1227,86,2020,University of Utah,PAC-12,UT
669,706,87,2018,Louisiana State University - Baton Rouge,SEC,LA
670,1228,87,2020,The University of Alabama,SEC,AL
671,968,87,2019,The University of Alabama,SEC,AL
672,447,87,2017,"University of California, Berkeley",PAC-12,CA
673,188,87,2016,Utah State University,MW,UT
674,1229,88,2020,The University of Texas at Austin,Big 12,TX
675,448,88,2017,"University of California, Los Angeles",PAC-12,CA
678,969,88,2019,University of Utah,PAC-12,UT
679,189,88,2016,Utah State University,MW,UT
680,707,88,2018,Vanderbilt University,SEC,TN
681,1230,89,2020,Mississippi State University,SEC,MS
682,190,89,2016,South Carolina State University,MEAC,SC
683,970,89,2019,Stanford University,PAC-12,CA
684,708,89,2018,Texas Christian University,Big 12,TX
685,449,89,2017,The University of Texas at Austin,Big 12,TX
686,1231,90,2020,Florida State University,ACC,FL
687,971,90,2019,Pennsylvania State University,Big Ten,PA
699,450,90,2017,University of Central Florida,AAC,FL
700,191,90,2016,University of Notre Dame,ACC,IN
701,709,90,2018,University of South Florida,AAC,FL
702,451,91,2017,Boston College,ACC,MA
703,192,91,2016,North Carolina State University - Raleigh,ACC,NC
704,1232,91,2020,"University of California, Los Angeles",PAC-12,CA
707,710,91,2018,University of Central Florida,AAC,FL
708,193,92,2016,Texas A&M University,SEC,TX
710,1233,92,2020,The University of Texas at Austin,Big 12,TX
711,452,92,2017,University of Michigan-Ann Arbor,Big Ten,MI
712,973,92,2019,University of South Carolina,SEC,SC
713,1234,93,2020,Appalachian State University,SBC,NC
714,453,93,2017,Auburn University,SEC,AL
715,712,93,2018,The University of Alabama,SEC,AL
716,974,93,2019,University of Notre Dame,ACC,IN
717,194,93,2016,University of South Carolina,SEC,SC
718,975,94,2019,Auburn University,SEC,AL
719,195,94,2016,Ohio State University,Big Ten,OH
720,1235,94,2020,University of Cincinnati,AAC,OH
721,454,94,2017,University of Tennessee,SEC,TN
725,976,95,2019,Old Dominion University,C-USA,VA
726,1236,95,2020,University of Arkansas,SEC,AR
727,455,95,2017,University of Michigan-Ann Arbor,Big Ten,MI
728,196,95,2016,University of Michigan-Ann Arbor,Big Ten,MI
729,714,95,2018,University of Southern Mississippi,C-USA,MS
730,456,96,2017,Northern Illinois University,MAC,IL
731,715,96,2018,Stanford University,PAC-12,CA
732,1237,96,2020,Texas Christian University,Big 12,TX
733,977,96,2019,University of Mississippi,SEC,MS
734,197,96,2016,University of Nebraska - Lincoln,Big Ten,MA
738,198,97,2016,Boise State University,MW,ID
739,457,97,2017,Clemson University,ACC,SC
740,1238,97,2020,Louisiana State University - Baton Rouge,SEC,LA
741,716,97,2018,University of Michigan-Ann Arbor,Big Ten,MI
742,978,97,2019,University of Oklahoma,Big 12,OK
746,199,98,2016,Boston College,ACC,MA
747,458,98,2017,Grambling State University,SWAC,LA
748,979,98,2019,Murray State University,OVC,KY
749,1239,98,2020,Ohio State University,Big Ten,OH
750,717,98,2018,University of Central Florida,AAC,FL
751,718,99,2018,Boston College,ACC,MA
752,1240,99,2020,Central Connecticut State University,NEC,CT
753,980,99,2019,University of Kentucky,SEC,KY
754,201,99,2016,University of Wisconsin - Madison,Big Ten,WI
755,459,99,2017,West Virginia University,Big 12,WV
756,719,100,2018,Clemson University,ACC,SC
757,1241,100,2020,Clemson University,ACC,SC
758,460,100,2017,Florida International University,C-USA,FL
759,202,100,2016,Michigan State University,Big Ten,MI
760,981,100,2019,West Virginia University,Big 12,WV
761,721,101,2018,Indiana State University,MVFC,IN
762,461,101,2017,Lamar University,WAC,TX
763,203,101,2016,University of Oklahoma,Big 12,OK
767,1242,101,2020,Virginia Polytechnic Institute and State University,ACC,VA
768,982,101,2019,West Virginia University,Big 12,WV
769,983,102,2019,Boise State University,MW,ID
770,204,102,2016,Ohio State University,Big Ten,OH
771,722,102,2018,Ohio State University,Big Ten,OH
772,1243,102,2020,University of North Carolina at Charlotte,C-USA,NC
773,462,102,2017,University of North Carolina at Greensboro,SoCon,NC
774,463,103,2017,Florida Atlantic University,C-USA,FL
775,985,103,2019,Iowa State University,Big 12,IA
776,723,103,2018,Texas Tech University,Big 12,TX
777,1244,103,2020,University of Colorado Boulder,PAC-12,CO
778,205,103,2016,University of Notre Dame,ACC,IN
779,724,104,2018,North Carolina State University - Raleigh,ACC,NC
780,986,104,2019,North Carolina State University - Raleigh,ACC,NC
781,206,104,2016,Temple University,AAC,PA
782,464,104,2017,University of Iowa,Big Ten,IA
783,1245,104,2020,University of Utah,PAC-12,UT
784,725,105,2018,Florida State University,ACC,FL
785,987,105,2019,Florida State University,ACC,FL
786,207,105,2016,University of Cincinnati,AAC,OH
787,1246,105,2020,University of Dayton,PFL,OH
788,465,105,2017,University of Pittsburgh,ACC,PA
789,988,106,2019,Eastern Michigan University,MAC,MI
790,1247,106,2020,Mississippi State University,SEC,MS
791,726,106,2018,University of Iowa,Big Ten,IA
792,466,106,2017,University of Michigan-Ann Arbor,Big Ten,MI
793,208,106,2016,"University of Minnesota, Twin Cities",Big Ten,MN
794,1249,107,2020,Appalachian State University,SBC,NC
795,467,107,2017,Louisiana State University - Baton Rouge,SEC,LA
796,209,107,2016,University of Cincinnati,AAC,OH
797,989,107,2019,University of Iowa,Big Ten,IA
798,727,107,2018,University of Miami,ACC,FL
799,1250,108,2020,Louisiana State University - Baton Rouge,SEC,LA
800,210,108,2016,North Carolina Central University,MEAC,NC
801,990,108,2019,University of Notre Dame,ACC,IN
802,469,108,2017,University of Wisconsin - Madison,Big Ten,WI
803,211,109,2016,Clemson University,ACC,SC
804,1251,109,2020,Clemson University,ACC,SC
805,991,109,2019,Michigan State University,Big Ten,MI
806,729,109,2018,Pennsylvania State University,Big Ten,PA
818,470,109,2017,University of Iowa,Big Ten,IA
819,1252,110,2020,"University of California, Los Angeles",PAC-12,CA
822,471,110,2017,University of Oklahoma,Big 12,OK
826,992,110,2019,University of Utah,PAC-12,UT
827,730,110,2018,University of Wisconsin - Madison,Big Ten,WI
828,212,110,2016,Western Kentucky University,C-USA,KY
829,731,111,2018,Michigan State University,Big Ten,MI
830,993,111,2019,Ohio State University,Big Ten,OH
831,213,111,2016,Southern Utah University,Big Sky Conference,UT
832,472,111,2017,University of Colorado Boulder,PAC-12,CO
